Campeonato,Rodada,Data,Home,Away,Gols_home,Gols_away,GOLS_1T_HOME,GOLS_1T_AWAY,GOLS_2T_HOME,GOLS_2T_AWAY
alemanha-bundesliga-2023-2024,RODADA 14,2024-12-10,Köln,Mainz,0,0,0,0,,
alemanha-bundesliga-2023-2024,RODADA 14,2024-12-10,Stuttgart,Leverkusen,1,1,1,0,,
alemanha-bundesliga-2023-2024,RODADA 14,2024-12-09,Dortmund,RB Leipzig,2,3,1,1,,
alemanha-bundesliga-2023-2024,RODADA 14,2024-12-09,Bremen,Augsburg,2,0,1,0,,
alemanha-bundesliga-2023-2024,RODADA 14,2024-12-09,Frankfurt,Bayern,5,1,3,1,,
alemanha-bundesliga-2023-2024,RODADA 14,2024-12-09,Heidenheim,Darmstadt,3,2,1,0,,
alemanha-bundesliga-2023-2024,RODADA 14,2024-12-09,Union Berlin,Monchengladbach,3,1,1,0,,
alemanha-bundesliga-2023-2024,RODADA 14,2024-12-09,Wolfsburg,Freiburg,0,1,0,0,,
alemanha-bundesliga-2023-2024,RODADA 14,2024-12-08,Hoffenheim,Bochum,3,1,2,0,,
alemanha-bundesliga-2023-2024,RODADA 13,2024-12-03,Augsburg,Frankfurt,2,1,1,0,,
alemanha-bundesliga-2023-2024,RODADA 13,2024-12-03,Leverkusen,Dortmund,1,1,0,1,,
alemanha-bundesliga-2023-2024,RODADA 13,2024-12-03,Mainz,Freiburg,0,1,0,0,,
alemanha-bundesliga-2023-2024,RODADA 13,2024-12-02,Stuttgart,Bremen,2,0,1,0,,
alemanha-bundesliga-2023-2024,RODADA 13,2024-12-02,Bochum,Wolfsburg,3,1,2,1,,
alemanha-bundesliga-2023-2024,RODADA 13,2024-12-02,Monchengladbach,Hoffenheim,2,1,0,0,,
alemanha-bundesliga-2023-2024,RODADA 13,2024-12-02,RB Leipzig,Heidenheim,2,1,2,1,,
alemanha-bundesliga-2023-2024,RODADA 13,2024-12-01,Darmstadt,Köln,0,1,0,0,,
alemanha-bundesliga-2023-2024,RODADA 12,2024-11-26,Hoffenheim,Mainz,1,1,0,1,,
alemanha-bundesliga-2023-2024,RODADA 12,2024-11-26,Heidenheim,Bochum,0,0,0,0,,
alemanha-bundesliga-2023-2024,RODADA 12,2024-11-25,Frankfurt,Stuttgart,1,2,1,2,,
alemanha-bundesliga-2023-2024,RODADA 12,2024-11-25,Bremen,Leverkusen,0,3,0,2,,
alemanha-bundesliga-2023-2024,RODADA 12,2024-11-25,Dortmund,Monchengladbach,4,2,3,2,,
alemanha-bundesliga-2023-2024,RODADA 12,2024-11-25,Freiburg,Darmstadt,1,1,1,1,,
alemanha-bundesliga-2023-2024,RODADA 12,2024-11-25,Union Berlin,Augsburg,1,1,0,1,,
alemanha-bundesliga-2023-2024,RODADA 12,2024-11-25,Wolfsburg,RB Leipzig,2,1,1,0,,
alemanha-bundesliga-2023-2024,RODADA 12,2024-11-24,Köln,Bayern,0,1,0,1,,
alemanha-bundesliga-2023-2024,RODADA 11,2024-11-12,RB Leipzig,Freiburg,3,1,1,1,,
