Campeonato,Rodada,Data,Home,Away,Gols_home,Gols_away,Gols_1T_home,Gols_1T_away,Gols_2T_home,Gols_2T_away
alemanha-bundesliga-2021-2022,FINAL,2022-05-23,Hamburger SV,Hertha,0,2,0,1,,
alemanha-bundesliga-2021-2022,FINAL,2022-05-19,Hertha,Hamburger SV,0,1,0,0,,
alemanha-bundesliga-2021-2022,RODADA 34,2022-05-14,Augsburg,Furth,2,1,1,1,,
alemanha-bundesliga-2021-2022,RODADA 34,2022-05-14,Bielefeld,RB Leipzig,1,1,0,0,,
alemanha-bundesliga-2021-2022,RODADA 34,2022-05-14,Dortmund,Hertha,2,1,0,1,,
alemanha-bundesliga-2021-2022,RODADA 34,2022-05-14,Leverkusen,Freiburg,2,1,0,0,,
alemanha-bundesliga-2021-2022,RODADA 34,2022-05-14,Mainz,Frankfurt,2,2,1,2,,
alemanha-bundesliga-2021-2022,RODADA 34,2022-05-14,Monchengladbach,Hoffenheim,5,1,3,1,,
alemanha-bundesliga-2021-2022,RODADA 34,2022-05-14,Stuttgart,Köln,2,1,1,0,,
alemanha-bundesliga-2021-2022,RODADA 34,2022-05-14,Union Berlin,Bochum,3,2,2,0,,
alemanha-bundesliga-2021-2022,RODADA 34,2022-05-14,Wolfsburg,Bayern,2,2,1,2,,
alemanha-bundesliga-2021-2022,RODADA 33,2022-05-08,RB Leipzig,Augsburg,4,0,1,0,,
alemanha-bundesliga-2021-2022,RODADA 33,2022-05-08,Bayern,Stuttgart,2,2,2,1,,
alemanha-bundesliga-2021-2022,RODADA 33,2022-05-08,Frankfurt,Monchengladbach,1,1,0,1,,
alemanha-bundesliga-2021-2022,RODADA 33,2022-05-07,Hertha,Mainz,1,2,1,1,,
alemanha-bundesliga-2021-2022,RODADA 33,2022-05-07,Freiburg,Union Berlin,1,4,0,3,,
alemanha-bundesliga-2021-2022,RODADA 33,2022-05-07,Furth,Dortmund,1,3,0,1,,
alemanha-bundesliga-2021-2022,RODADA 33,2022-05-07,Hoffenheim,Leverkusen,2,4,2,1,,
alemanha-bundesliga-2021-2022,RODADA 33,2022-05-07,Köln,Wolfsburg,0,1,0,1,,
alemanha-bundesliga-2021-2022,RODADA 33,2022-05-06,Bochum,Bielefeld,2,1,1,1,,
alemanha-bundesliga-2021-2022,RODADA 32,2022-05-02,Leverkusen,Frankfurt,2,0,1,0,,
alemanha-bundesliga-2021-2022,RODADA 32,2022-05-02,Monchengladbach,RB Leipzig,3,1,2,1,,
alemanha-bundesliga-2021-2022,RODADA 32,2022-04-30,Hoffenheim,Freiburg,3,4,1,1,,
alemanha-bundesliga-2021-2022,RODADA 32,2022-04-30,Augsburg,Köln,1,4,0,2,,
alemanha-bundesliga-2021-2022,RODADA 32,2022-04-30,Bielefeld,Hertha,1,1,0,0,,
alemanha-bundesliga-2021-2022,RODADA 32,2022-04-30,Dortmund,Bochum,3,4,2,2,,
alemanha-bundesliga-2021-2022,RODADA 32,2022-04-30,Mainz,Bayern,3,1,2,1,,
alemanha-bundesliga-2021-2022,RODADA 32,2022-04-30,Stuttgart,Wolfsburg,1,1,0,1,,
alemanha-bundesliga-2021-2022,RODADA 32,2022-04-29,Union Berlin,Furth,1,1,0,1,,
alemanha-bundesliga-2021-2022,RODADA 31,2022-04-24,Hertha,Stuttgart,2,0,1,0,,
alemanha-bundesliga-2021-2022,RODADA 31,2022-04-24,Bochum,Augsburg,0,2,0,2,,
alemanha-bundesliga-2021-2022,RODADA 31,2022-04-23,Bayern,Dortmund,3,1,2,0,,
alemanha-bundesliga-2021-2022,RODADA 31,2022-04-23,Frankfurt,Hoffenheim,2,2,1,1,,
alemanha-bundesliga-2021-2022,RODADA 31,2022-04-23,Freiburg,Monchengladbach,3,3,0,2,,
alemanha-bundesliga-2021-2022,RODADA 31,2022-04-23,Furth,Leverkusen,1,4,1,2,,
alemanha-bundesliga-2021-2022,RODADA 31,2022-04-23,Köln,Bielefeld,3,1,2,1,,
alemanha-bundesliga-2021-2022,RODADA 31,2022-04-23,RB Leipzig,Union Berlin,1,2,0,0,,
alemanha-bundesliga-2021-2022,RODADA 31,2022-04-22,Wolfsburg,Mainz,5,0,5,0,,
alemanha-bundesliga-2021-2022,RODADA 30,2022-04-17,Leverkusen,RB Leipzig,0,1,0,0,,
alemanha-bundesliga-2021-2022,RODADA 30,2022-04-17,Hoffenheim,Furth,0,0,0,0,,
alemanha-bundesliga-2021-2022,RODADA 30,2022-04-17,Union Berlin,Frankfurt,2,0,2,0,,
alemanha-bundesliga-2021-2022,RODADA 30,2022-04-17,Bielefeld,Bayern,0,3,0,2,,
alemanha-bundesliga-2021-2022,RODADA 30,2022-04-16,Monchengladbach,Köln,1,3,0,3,,
alemanha-bundesliga-2021-2022,RODADA 30,2022-04-16,Augsburg,Hertha,0,1,0,0,,
alemanha-bundesliga-2021-2022,RODADA 30,2022-04-16,Dortmund,Wolfsburg,6,1,5,0,,
alemanha-bundesliga-2021-2022,RODADA 30,2022-04-16,Freiburg,Bochum,3,0,2,0,,
alemanha-bundesliga-2021-2022,RODADA 30,2022-04-16,Mainz,Stuttgart,0,0,0,0,,
alemanha-bundesliga-2021-2022,RODADA 29,2022-04-10,RB Leipzig,Hoffenheim,3,0,3,0,,
alemanha-bundesliga-2021-2022,RODADA 29,2022-04-10,Frankfurt,Freiburg,1,2,0,1,,
alemanha-bundesliga-2021-2022,RODADA 29,2022-04-10,Bochum,Leverkusen,0,0,0,0,,
alemanha-bundesliga-2021-2022,RODADA 29,2022-04-09,Hertha,Union Berlin,1,4,0,1,,
alemanha-bundesliga-2021-2022,RODADA 29,2022-04-09,Bayern,Augsburg,1,0,0,0,,
alemanha-bundesliga-2021-2022,RODADA 29,2022-04-09,Furth,Monchengladbach,0,2,0,2,,
alemanha-bundesliga-2021-2022,RODADA 29,2022-04-09,Köln,Mainz,3,2,0,1,,
alemanha-bundesliga-2021-2022,RODADA 29,2022-04-09,Wolfsburg,Bielefeld,4,0,2,0,,
alemanha-bundesliga-2021-2022,RODADA 29,2022-04-08,Stuttgart,Dortmund,0,2,0,1,,
alemanha-bundesliga-2021-2022,RODADA 26,2022-04-06,Augsburg,Mainz,2,1,1,0,,
alemanha-bundesliga-2021-2022,RODADA 28,2022-04-03,Monchengladbach,Mainz,1,1,1,0,,
alemanha-bundesliga-2021-2022,RODADA 28,2022-04-03,Augsburg,Wolfsburg,3,0,1,0,,
alemanha-bundesliga-2021-2022,RODADA 28,2022-04-02,Dortmund,RB Leipzig,1,4,0,2,,
alemanha-bundesliga-2021-2022,RODADA 28,2022-04-02,Bielefeld,Stuttgart,1,1,0,1,,
alemanha-bundesliga-2021-2022,RODADA 28,2022-04-02,Frankfurt,Furth,0,0,0,0,,
alemanha-bundesliga-2021-2022,RODADA 28,2022-04-02,Freiburg,Bayern,1,4,0,0,,
alemanha-bundesliga-2021-2022,RODADA 28,2022-04-02,Hoffenheim,Bochum,1,2,0,1,,
alemanha-bundesliga-2021-2022,RODADA 28,2022-04-02,Leverkusen,Hertha,2,1,2,1,,
alemanha-bundesliga-2021-2022,RODADA 28,2022-04-01,Union Berlin,Köln,1,0,0,0,,
alemanha-bundesliga-2021-2022,RODADA 27,2022-03-20,Köln,Dortmund,1,1,1,1,,
alemanha-bundesliga-2021-2022,RODADA 27,2022-03-20,Wolfsburg,Leverkusen,0,2,0,0,,
alemanha-bundesliga-2021-2022,RODADA 27,2022-03-20,RB Leipzig,Frankfurt,0,0,0,0,,
alemanha-bundesliga-2021-2022,RODADA 27,2022-03-19,Bayern,Union Berlin,4,0,3,0,,
alemanha-bundesliga-2021-2022,RODADA 27,2022-03-19,Furth,Freiburg,0,0,0,0,,
alemanha-bundesliga-2021-2022,RODADA 27,2022-03-19,Hertha,Hoffenheim,3,0,1,0,,
alemanha-bundesliga-2021-2022,RODADA 27,2022-03-19,Mainz,Bielefeld,4,0,1,0,,
alemanha-bundesliga-2021-2022,RODADA 27,2022-03-19,Stuttgart,Augsburg,3,2,1,2,,
alemanha-bundesliga-2021-2022,RODADA 27,2022-03-18,Bochum,Monchengladbach,0,2,0,0,,
alemanha-bundesliga-2021-2022,RODADA 25,2022-03-16,Mainz,Dortmund,0,1,0,0,,
alemanha-bundesliga-2021-2022,RODADA 26,2022-03-13,Furth,RB Leipzig,1,6,1,4,,
alemanha-bundesliga-2021-2022,RODADA 26,2022-03-13,Dortmund,Bielefeld,1,0,1,0,,
alemanha-bundesliga-2021-2022,RODADA 26,2022-03-13,Frankfurt,Bochum,2,1,0,1,,
alemanha-bundesliga-2021-2022,RODADA 26,2022-03-13,Leverkusen,Köln,0,1,0,0,,
alemanha-bundesliga-2021-2022,RODADA 26,2022-03-12,Monchengladbach,Hertha,2,0,1,0,,
alemanha-bundesliga-2021-2022,RODADA 26,2022-03-12,Freiburg,Wolfsburg,3,2,2,0,,
alemanha-bundesliga-2021-2022,RODADA 26,2022-03-12,Hoffenheim,Bayern,1,1,1,1,,
alemanha-bundesliga-2021-2022,RODADA 26,2022-03-12,Union Berlin,Stuttgart,1,1,1,0,,
alemanha-bundesliga-2021-2022,RODADA 25,2022-03-06,Köln,Hoffenheim,0,1,0,0,,
alemanha-bundesliga-2021-2022,RODADA 25,2022-03-05,Stuttgart,Monchengladbach,3,2,1,2,,
alemanha-bundesliga-2021-2022,RODADA 25,2022-03-05,Bayern,Leverkusen,1,1,1,1,,
alemanha-bundesliga-2021-2022,RODADA 25,2022-03-05,Bochum,Furth,2,1,1,0,,
alemanha-bundesliga-2021-2022,RODADA 25,2022-03-05,Hertha,Frankfurt,1,4,0,1,,
alemanha-bundesliga-2021-2022,RODADA 25,2022-03-05,RB Leipzig,Freiburg,1,1,0,1,,
alemanha-bundesliga-2021-2022,RODADA 25,2022-03-05,Wolfsburg,Union Berlin,1,0,1,0,,
alemanha-bundesliga-2021-2022,RODADA 25,2022-03-04,Bielefeld,Augsburg,0,1,0,0,,
alemanha-bundesliga-2021-2022,RODADA 24,2022-02-27,Augsburg,Dortmund,1,1,0,1,,
alemanha-bundesliga-2021-2022,RODADA 24,2022-02-27,Bochum,RB Leipzig,0,1,0,0,,
alemanha-bundesliga-2021-2022,RODADA 24,2022-02-26,Frankfurt,Bayern,0,1,0,0,,
alemanha-bundesliga-2021-2022,RODADA 24,2022-02-26,Freiburg,Hertha,3,0,1,0,,
alemanha-bundesliga-2021-2022,RODADA 24,2022-02-26,Furth,Köln,1,1,0,0,,
alemanha-bundesliga-2021-2022,RODADA 24,2022-02-26,Leverkusen,Bielefeld,3,0,1,0,,
alemanha-bundesliga-2021-2022,RODADA 24,2022-02-26,Monchengladbach,Wolfsburg,2,2,1,2,,
