Campeonato,Rodada,Data,Home,Away,Gols_home,Gols_away,GOLS_1T_HOME,GOLS_1T_AWAY,GOLS_2T_HOME,GOLS_2T_AWAY
america-copa-libertadores-2020,FINAL,2020-01-30,Palmeiras (Bra),Santos (Bra),1,0,0,0,,
america-copa-libertadores-2020,SEMIFINAIS,2020-01-13,Santos (Bra),Boca Juniors (Arg),3,0,1,0,,
america-copa-libertadores-2020,SEMIFINAIS,2020-01-12,Palmeiras (Bra),River Plate (Arg),0,2,0,2,,
america-copa-libertadores-2020,SEMIFINAIS,2020-01-06,Boca Juniors (Arg),Santos (Bra),0,0,0,0,,
america-copa-libertadores-2020,SEMIFINAIS,2020-01-05,River Plate (Arg),Palmeiras (Bra),0,3,0,1,,
america-copa-libertadores-2020,QUARTAS DE FINAL,2020-12-23,Boca Juniors (Arg),Racing Club (Arg),2,0,1,0,,
america-copa-libertadores-2020,QUARTAS DE FINAL,2020-12-17,Nacional (Uru),River Plate (Arg),2,6,1,2,,
america-copa-libertadores-2020,QUARTAS DE FINAL,2020-12-16,Racing Club (Arg),Boca Juniors (Arg),1,0,0,0,,
america-copa-libertadores-2020,QUARTAS DE FINAL,2020-12-16,Santos (Bra),Grêmio (Bra),4,1,2,0,,
america-copa-libertadores-2020,QUARTAS DE FINAL,2020-12-15,Palmeiras (Bra),Libertad (Par),3,0,1,0,,
america-copa-libertadores-2020,QUARTAS DE FINAL,2020-12-10,River Plate (Arg),Nacional (Uru),2,0,0,0,,
america-copa-libertadores-2020,OITAVAS DE FINAL,2020-12-09,Boca Juniors (Arg),Internacional (Bra),1,1,0,0,0,1
america-copa-libertadores-2020,QUARTAS DE FINAL,2020-12-09,Grêmio (Bra),Santos (Bra),1,1,0,1,,
america-copa-libertadores-2020,QUARTAS DE FINAL,2020-12-08,Libertad (Par),Palmeiras (Bra),1,1,0,1,,
america-copa-libertadores-2020,OITAVAS DE FINAL,2020-12-03,Grêmio (Bra),Guarani (Par),2,0,1,0,,
america-copa-libertadores-2020,OITAVAS DE FINAL,2020-12-02,Internacional (Bra),Boca Juniors (Arg),0,1,0,0,,
america-copa-libertadores-2020,OITAVAS DE FINAL,2020-12-02,Wilstermann (Bol),Libertad (Par),0,2,0,0,,
america-copa-libertadores-2020,OITAVAS DE FINAL,2020-12-02,Nacional (Uru),Ind. del Valle (Ecu),1,0,0,0,0,0
america-copa-libertadores-2020,OITAVAS DE FINAL,2020-12-02,Palmeiras (Bra),Delfin (Ecu),5,0,1,0,,
america-copa-libertadores-2020,OITAVAS DE FINAL,2020-12-01,Flamengo (Bra),Racing Club (Arg),1,2,0,0,1,1
america-copa-libertadores-2020,OITAVAS DE FINAL,2020-12-01,River Plate (Arg),Athletico-PR (Bra),1,0,0,0,,
america-copa-libertadores-2020,OITAVAS DE FINAL,2020-12-01,Santos (Bra),LDU Quito (Ecu),0,1,0,0,,
america-copa-libertadores-2020,OITAVAS DE FINAL,2020-11-26,Guarani (Par),Grêmio (Bra),0,2,0,0,,
america-copa-libertadores-2020,OITAVAS DE FINAL,2020-11-25,Libertad (Par),Wilstermann (Bol),3,1,0,0,,
america-copa-libertadores-2020,OITAVAS DE FINAL,2020-11-25,Delfin (Ecu),Palmeiras (Bra),1,3,0,2,,
america-copa-libertadores-2020,OITAVAS DE FINAL,2020-11-25,Ind. del Valle (Ecu),Nacional (Uru),0,0,0,0,,
america-copa-libertadores-2020,OITAVAS DE FINAL,2020-11-24,Racing Club (Arg),Flamengo (Bra),1,1,1,1,,
america-copa-libertadores-2020,OITAVAS DE FINAL,2020-11-24,Athletico-PR (Bra),River Plate (Arg),1,1,0,0,,
america-copa-libertadores-2020,OITAVAS DE FINAL,2020-11-24,LDU Quito (Ecu),Santos (Bra),1,2,1,1,,
america-copa-libertadores-2020,RODADA 6,2020-10-22,Boca Juniors (Arg),Caracas (Ven),3,0,3,0,,
america-copa-libertadores-2020,RODADA 6,2020-10-22,Grêmio (Bra),América de Cali (Col),1,1,0,0,,
america-copa-libertadores-2020,RODADA 6,2020-10-22,Libertad (Par),Ind. Medellín (Col),2,4,1,1,,
america-copa-libertadores-2020,RODADA 6,2020-10-22,U. Católica (Chi),Internacional (Bra),2,1,1,1,,
america-copa-libertadores-2020,RODADA 6,2020-10-21,Bolivar (Bol),Guarani (Par),2,3,0,1,,
america-copa-libertadores-2020,RODADA 6,2020-10-21,Flamengo (Bra),Junior (Col),3,1,2,0,,
america-copa-libertadores-2020,RODADA 6,2020-10-21,Ind. del Valle (Ecu),Barcelona SC (Ecu),2,0,1,0,,
america-copa-libertadores-2020,RODADA 6,2020-10-21,Palmeiras (Bra),Tigre (Arg),5,0,1,0,,
america-copa-libertadores-2020,RODADA 6,2020-10-21,Nacional (Uru),A. Lima (Per),2,0,2,0,,
america-copa-libertadores-2020,RODADA 6,2020-10-21,Racing Club (Arg),Estudiantes M. (Ven),2,1,0,0,,
america-copa-libertadores-2020,RODADA 6,2020-10-20,Colo Colo (Chi),Wilstermann (Bol),0,1,0,0,,
america-copa-libertadores-2020,RODADA 6,2020-10-20,Penarol (Uru),Athletico-PR (Bra),3,2,1,2,,
america-copa-libertadores-2020,RODADA 6,2020-10-20,River Plate (Arg),LDU Quito (Ecu),3,0,0,0,,
america-copa-libertadores-2020,RODADA 6,2020-10-20,São Paulo (Bra),Binacional (Per),5,1,2,1,,
america-copa-libertadores-2020,RODADA 6,2020-10-20,Olimpia Asuncion (Par),Delfin (Ecu),0,1,0,0,,
america-copa-libertadores-2020,RODADA 6,2020-10-20,Santos (Bra),Defensa y Justicia (Arg),2,1,0,0,,
america-copa-libertadores-2020,RODADA 5,2020-10-01,Delfin (Ecu),Defensa y Justicia (Arg),3,0,1,0,,
america-copa-libertadores-2020,RODADA 5,2020-10-01,Tigre (Arg),Guarani (Par),1,3,1,1,,
america-copa-libertadores-2020,RODADA 5,2020-10-01,Olimpia Asuncion (Par),Santos (Bra),2,3,2,2,,
america-copa-libertadores-2020,RODADA 5,2020-09-30,A. Lima (Per),Estudiantes M. (Ven),2,2,1,1,,
america-copa-libertadores-2020,RODADA 5,2020-09-30,Flamengo (Bra),Ind. del Valle (Ecu),4,0,2,0,,
america-copa-libertadores-2020,RODADA 5,2020-09-30,Junior (Col),Barcelona SC (Ecu),0,2,0,1,,
america-copa-libertadores-2020,RODADA 5,2020-09-30,River Plate (Arg),São Paulo (Bra),2,1,2,1,,
america-copa-libertadores-2020,RODADA 5,2020-09-30,Caracas (Ven),Ind. Medellín (Col),0,2,0,0,,
america-copa-libertadores-2020,RODADA 5,2020-09-30,Nacional (Uru),Racing Club (Arg),1,2,0,1,,
america-copa-libertadores-2020,RODADA 5,2020-09-30,Palmeiras (Bra),Bolivar (Bol),5,0,1,0,,
america-copa-libertadores-2020,RODADA 5,2020-09-29,América de Cali (Col),Internacional (Bra),0,0,0,0,,
america-copa-libertadores-2020,RODADA 5,2020-09-29,Athletico-PR (Bra),Wilstermann (Bol),0,0,0,0,,
america-copa-libertadores-2020,RODADA 5,2020-09-29,Boca Juniors (Arg),Libertad (Par),0,0,0,0,,
america-copa-libertadores-2020,RODADA 5,2020-09-29,LDU Quito (Ecu),Binacional (Per),4,0,2,0,,
america-copa-libertadores-2020,RODADA 5,2020-09-29,Grêmio (Bra),U. Católica (Chi),2,0,0,0,,
america-copa-libertadores-2020,RODADA 5,2020-09-29,Penarol (Uru),Colo Colo (Chi),3,0,1,0,,
america-copa-libertadores-2020,RODADA 4,2020-09-24,Delfin (Ecu),Santos (Bra),1,2,0,1,,
