Campeonato,Rodada,Data,Home,Away,Gols_home,Gols_away,GOLS_1T_HOME,GOLS_1T_AWAY,GOLS_2T_HOME,GOLS_2T_AWAY
america-copa-sul-americana-2019,FINAL,2019-11-09,Ind. del Valle (Ecu),Colón (Arg),3,1,2,0,,
america-copa-sul-americana-2019,SEMIFINAIS,2019-09-26,Atlético-MG (Bra),Colón (Arg),2,2,1,0,2,1
america-copa-sul-americana-2019,SEMIFINAIS,2019-09-25,Ind. del Valle (Ecu),Corinthians (Bra),2,2,0,1,,
america-copa-sul-americana-2019,SEMIFINAIS,2019-09-19,Colón (Arg),Atlético-MG (Bra),2,1,0,1,,
america-copa-sul-americana-2019,SEMIFINAIS,2019-09-18,Corinthians (Bra),Ind. del Valle (Ecu),0,2,0,1,,
america-copa-sul-americana-2019,QUARTAS DE FINAL,2019-08-29,Fluminense (Bra),Corinthians (Bra),1,1,0,0,,
america-copa-sul-americana-2019,QUARTAS DE FINAL,2019-08-27,La Equidad (Col),Atlético-MG (Bra),1,3,0,1,,
america-copa-sul-americana-2019,QUARTAS DE FINAL,2019-08-22,Corinthians (Bra),Fluminense (Bra),0,0,0,0,,
america-copa-sul-americana-2019,QUARTAS DE FINAL,2019-08-20,Atlético-MG (Bra),La Equidad (Col),2,1,1,1,,
america-copa-sul-americana-2019,QUARTAS DE FINAL,2019-08-15,Colón (Arg),Zulia (Ven),4,0,0,0,,
america-copa-sul-americana-2019,QUARTAS DE FINAL,2019-08-13,Ind. del Valle (Ecu),Independiente (Arg),1,0,0,0,,
america-copa-sul-americana-2019,QUARTAS DE FINAL,2019-08-08,Zulia (Ven),Colón (Arg),1,0,0,0,,
america-copa-sul-americana-2019,QUARTAS DE FINAL,2019-08-06,Independiente (Arg),Ind. del Valle (Ecu),2,1,0,0,,
america-copa-sul-americana-2019,OITAVAS DE FINAL,2019-08-01,U. Catolica (Ecu),Independiente (Arg),3,2,1,0,,
america-copa-sul-americana-2019,OITAVAS DE FINAL,2019-08-01,Wanderers (Uru),Corinthians (Bra),1,2,0,0,,
america-copa-sul-americana-2019,OITAVAS DE FINAL,2019-07-31,Atlético-MG (Bra),Botafogo (Bra),2,0,0,0,,
america-copa-sul-americana-2019,OITAVAS DE FINAL,2019-07-30,Fluminense (Bra),Penarol (Uru),3,1,2,0,,
america-copa-sul-americana-2019,OITAVAS DE FINAL,2019-07-30,Sporting Cristal (Per),Zulia (Ven),3,2,0,1,,
america-copa-sul-americana-2019,OITAVAS DE FINAL,2019-07-25,Corinthians (Bra),Wanderers (Uru),2,0,1,0,,
america-copa-sul-americana-2019,OITAVAS DE FINAL,2019-07-25,Independiente (Arg),U. Catolica (Ecu),1,0,0,0,,
america-copa-sul-americana-2019,OITAVAS DE FINAL,2019-07-24,Botafogo (Bra),Atlético-MG (Bra),0,1,0,1,,
america-copa-sul-americana-2019,OITAVAS DE FINAL,2019-07-23,Penarol (Uru),Fluminense (Bra),1,2,0,1,,
america-copa-sul-americana-2019,OITAVAS DE FINAL,2019-07-23,Zulia (Ven),Sporting Cristal (Per),1,0,0,0,,
america-copa-sul-americana-2019,OITAVAS DE FINAL,2019-07-18,Argentinos Juniors (Arg),Colón (Arg),0,2,0,0,0,1
america-copa-sul-americana-2019,OITAVAS DE FINAL,2019-07-17,Ind. del Valle (Ecu),Caracas (Ven),2,0,0,0,,
america-copa-sul-americana-2019,OITAVAS DE FINAL,2019-07-16,La Equidad (Col),Royal Pari (Bol),2,1,0,1,,
america-copa-sul-americana-2019,OITAVAS DE FINAL,2019-07-11,Colón (Arg),Argentinos Juniors (Arg),0,1,0,1,,
america-copa-sul-americana-2019,OITAVAS DE FINAL,2019-07-10,Caracas (Ven),Ind. del Valle (Ecu),0,0,0,0,,
america-copa-sul-americana-2019,OITAVAS DE FINAL,2019-07-09,Royal Pari (Bol),La Equidad (Col),1,2,1,0,,
america-copa-sul-americana-2019,16 AVOS DE FINAL,2019-05-30,U. Católica (Chi),Ind. del Valle (Ecu),3,2,2,1,,
america-copa-sul-americana-2019,16 AVOS DE FINAL,2019-05-30,Cerro CA (Uru),Wanderers (Uru),0,1,0,1,,
america-copa-sul-americana-2019,16 AVOS DE FINAL,2019-05-30,Tolima (Col),Argentinos Juniors (Arg),0,0,0,0,,
america-copa-sul-americana-2019,16 AVOS DE FINAL,2019-05-30,Lara (Ven),Corinthians (Bra),0,2,0,1,,
america-copa-sul-americana-2019,16 AVOS DE FINAL,2019-05-29,Atl. Nacional (Col),Fluminense (Bra),1,0,1,0,,
america-copa-sul-americana-2019,16 AVOS DE FINAL,2019-05-29,Deportivo Santani (Par),La Equidad (Col),1,2,0,0,,
america-copa-sul-americana-2019,16 AVOS DE FINAL,2019-05-29,Macara (Ecu),Royal Pari (Bol),3,2,2,1,,
america-copa-sul-americana-2019,16 AVOS DE FINAL,2019-05-29,Botafogo (Bra),Sol De America (Par),4,0,2,0,,
america-copa-sul-americana-2019,16 AVOS DE FINAL,2019-05-29,Palestino (Chi),Zulia (Ven),0,1,0,0,,
america-copa-sul-americana-2019,16 AVOS DE FINAL,2019-05-29,Penarol (Uru),Dep. Cali (Col),2,0,0,0,,
america-copa-sul-americana-2019,16 AVOS DE FINAL,2019-05-28,Atlético-MG (Bra),Union La Calera (Chi),2,0,0,0,1,0
