Campeonato,Rodada,Data,Home,Away,Gols_home,Gols_away,Gols_1T_home,Gols_1T_away,Gols_2T_home,Gols_2T_away
brasil-campeonato-carioca-2020,FINAL,2020-07-15,Flamengo,Fluminense,1,0,0,0,,
brasil-campeonato-carioca-2020,FINAL,2020-07-12,Fluminense,Flamengo,1,2,0,1,,
brasil-campeonato-carioca-2020,FINAL,2020-07-08,Fluminense,Flamengo,2,1,1,0,1,1
brasil-campeonato-carioca-2020,SEMIFINAIS,2020-07-05,Flamengo,Volta Redonda,2,0,1,0,,
brasil-campeonato-carioca-2020,SEMIFINAIS,2020-07-05,Fluminense,Botafogo,0,0,0,0,,
brasil-campeonato-carioca-2020,RODADA 6,2020-07-04,América-RJ,Nova Iguaçu,1,1,0,1,,
brasil-campeonato-carioca-2020,RODADA 5,2020-07-02,Vasco,Madureira,1,0,0,0,,
brasil-campeonato-carioca-2020,RODADA 5,2020-07-02,Volta Redonda,Resende,2,1,0,0,,
brasil-campeonato-carioca-2020,RODADA 5,2020-07-02,Macaé,Fluminense,0,0,0,0,,
brasil-campeonato-carioca-2020,RODADA 5,2020-07-01,Flamengo,Boavista,2,0,1,0,,
brasil-campeonato-carioca-2020,RODADA 5,2020-07-01,Portuguesa-RJ,Botafogo,0,0,0,0,,
brasil-campeonato-carioca-2020,RODADA 5,2020-07-01,Bangu,Cabofriense,1,0,0,0,,
brasil-campeonato-carioca-2020,RODADA 4,2020-06-28,Fluminense,Volta Redonda,0,3,0,1,,
brasil-campeonato-carioca-2020,RODADA 4,2020-06-28,Vasco,Macaé,3,1,3,1,,
brasil-campeonato-carioca-2020,RODADA 4,2020-06-28,Madureira,Resende,0,2,0,0,,
brasil-campeonato-carioca-2020,RODADA 4,2020-06-28,Botafogo,Cabofriense,6,2,2,0,,
brasil-campeonato-carioca-2020,RODADA 5,2020-06-27,Americano,América-RJ,0,2,0,0,,
brasil-campeonato-carioca-2020,RODADA 4,2020-06-19,Portuguesa-RJ,Boavista,0,0,0,0,,
brasil-campeonato-carioca-2020,RODADA 4,2020-06-18,Bangu,Flamengo,0,3,0,1,,
brasil-campeonato-carioca-2020,RODADA 3,2020-03-16,Madureira,Volta Redonda,2,1,0,0,,
brasil-campeonato-carioca-2020,RODADA 3,2020-03-15,Vasco,Fluminense,0,2,0,1,,
brasil-campeonato-carioca-2020,RODADA 3,2020-03-15,Botafogo,Bangu,1,1,1,0,,
brasil-campeonato-carioca-2020,RODADA 3,2020-03-14,Boavista,Cabofriense,2,0,0,0,,
brasil-campeonato-carioca-2020,RODADA 3,2020-03-14,Flamengo,Portuguesa-RJ,2,1,0,0,,
brasil-campeonato-carioca-2020,RODADA 3,2020-03-14,Resende,Macaé,0,1,0,0,,
brasil-campeonato-carioca-2020,RODADA 4,2020-03-14,Nova Iguaçu,Americano,1,2,0,0,,
brasil-campeonato-carioca-2020,RODADA 2,2020-03-08,Fluminense,Resende,4,0,1,0,,
brasil-campeonato-carioca-2020,RODADA 2,2020-03-08,Volta Redonda,Vasco,0,0,0,0,,
brasil-campeonato-carioca-2020,RODADA 2,2020-03-07,Flamengo,Botafogo,3,0,0,0,,
brasil-campeonato-carioca-2020,RODADA 2,2020-03-07,Cabofriense,Portuguesa-RJ,1,4,0,2,,
brasil-campeonato-carioca-2020,RODADA 2,2020-03-07,Macaé,Madureira,0,3,0,1,,
brasil-campeonato-carioca-2020,RODADA 3,2020-03-07,Nova Iguaçu,América-RJ,0,2,0,1,,
brasil-campeonato-carioca-2020,RODADA 2,2020-03-06,Boavista,Bangu,2,1,1,0,,
brasil-campeonato-carioca-2020,RODADA 2,2020-03-04,América-RJ,Americano,0,1,0,0,,
brasil-campeonato-carioca-2020,RODADA 1,2020-03-01,Botafogo,Boavista,2,1,1,0,,
brasil-campeonato-carioca-2020,RODADA 1,2020-03-01,Fluminense,Madureira,5,1,3,1,,
brasil-campeonato-carioca-2020,RODADA 1,2020-02-29,Resende,Vasco,1,1,1,1,,
brasil-campeonato-carioca-2020,RODADA 1,2020-02-29,Cabofriense,Flamengo,1,4,1,1,,
brasil-campeonato-carioca-2020,RODADA 1,2020-02-29,Americano,Nova Iguaçu,2,1,0,0,,
brasil-campeonato-carioca-2020,RODADA 1,2020-02-28,Volta Redonda,Macaé,1,0,0,0,,
brasil-campeonato-carioca-2020,RODADA 1,2020-02-28,Bangu,Portuguesa-RJ,1,0,1,0,,
brasil-campeonato-carioca-2020,FINAL,2020-02-22,Boavista,Flamengo,1,2,1,1,,
brasil-campeonato-carioca-2020,RODADA 6,2020-02-19,Americano,Friburguense,1,2,0,1,,
brasil-campeonato-carioca-2020,RODADA 6,2020-02-19,Nova Iguaçu,América-RJ,2,2,1,1,,
brasil-campeonato-carioca-2020,RODADA 5,2020-02-16,Americano,América-RJ,2,0,1,0,,
brasil-campeonato-carioca-2020,SEMIFINAIS,2020-02-16,Boavista,Volta Redonda,1,1,1,0,,
brasil-campeonato-carioca-2020,RODADA 5,2020-02-15,Friburguense,Nova Iguaçu,1,0,1,0,,
brasil-campeonato-carioca-2020,SEMIFINAIS,2020-02-12,Fluminense,Flamengo,2,3,0,2,,
brasil-campeonato-carioca-2020,RODADA 6,2020-02-09,Cabofriense,Resende,2,3,1,1,,
brasil-campeonato-carioca-2020,RODADA 6,2020-02-09,Fluminense,Botafogo,3,0,3,0,,
brasil-campeonato-carioca-2020,RODADA 6,2020-02-09,Portuguesa-RJ,Vasco,2,3,1,2,,
brasil-campeonato-carioca-2020,RODADA 6,2020-02-08,Boavista,Volta Redonda,2,1,2,0,,
brasil-campeonato-carioca-2020,RODADA 6,2020-02-08,Flamengo,Madureira,2,0,0,0,,
brasil-campeonato-carioca-2020,RODADA 6,2020-02-08,Bangu,Macaé,1,0,1,0,,
brasil-campeonato-carioca-2020,RODADA 4,2020-02-08,América-RJ,Friburguense,2,2,2,1,,
brasil-campeonato-carioca-2020,RODADA 4,2020-02-08,Nova Iguaçu,Americano,0,4,0,0,,
brasil-campeonato-carioca-2020,RODADA 3,2020-02-05,América-RJ,Nova Iguaçu,1,2,1,1,,
brasil-campeonato-carioca-2020,RODADA 3,2020-02-05,Friburguense,Americano,1,2,1,1,,
brasil-campeonato-carioca-2020,RODADA 5,2020-02-03,Resende,Flamengo,1,3,0,0,,
brasil-campeonato-carioca-2020,RODADA 5,2020-02-03,Volta Redonda,Portuguesa-RJ,2,0,0,0,,
brasil-campeonato-carioca-2020,RODADA 5,2020-02-03,Macaé,Cabofriense,1,0,0,0,,
brasil-campeonato-carioca-2020,RODADA 5,2020-02-02,Botafogo,Vasco,1,0,0,0,,
brasil-campeonato-carioca-2020,RODADA 5,2020-02-01,Fluminense,Boavista,0,1,0,0,,
brasil-campeonato-carioca-2020,RODADA 5,2020-02-01,Madureira,Bangu,0,0,0,0,,
brasil-campeonato-carioca-2020,RODADA 4,2020-01-31,Vasco,Cabofriense,0,1,0,1,,
brasil-campeonato-carioca-2020,RODADA 4,2020-01-30,Botafogo,Resende,2,1,0,1,,
brasil-campeonato-carioca-2020,RODADA 4,2020-01-29,Flamengo,Fluminense,0,1,0,0,,
brasil-campeonato-carioca-2020,RODADA 4,2020-01-29,Bangu,Volta Redonda,0,1,0,0,,
brasil-campeonato-carioca-2020,RODADA 4,2020-01-29,Portuguesa-RJ,Macaé,4,1,3,0,,
brasil-campeonato-carioca-2020,RODADA 4,2020-01-28,Boavista,Madureira,3,1,3,0,,
brasil-campeonato-carioca-2020,RODADA 3,2020-01-26,Botafogo,Macaé,3,1,1,0,,
brasil-campeonato-carioca-2020,RODADA 3,2020-01-26,Bangu,Fluminense,1,5,1,2,,
brasil-campeonato-carioca-2020,RODADA 3,2020-01-26,Portuguesa-RJ,Resende,1,0,0,0,,
brasil-campeonato-carioca-2020,RODADA 3,2020-01-25,Boavista,Vasco,0,1,0,0,,
brasil-campeonato-carioca-2020,RODADA 3,2020-01-25,Flamengo,Volta Redonda,3,2,0,1,,
brasil-campeonato-carioca-2020,RODADA 3,2020-01-25,Cabofriense,Madureira,0,1,0,0,,
brasil-campeonato-carioca-2020,RODADA 2,2020-01-25,América-RJ,Americano,4,0,1,0,,
brasil-campeonato-carioca-2020,RODADA 2,2020-01-25,Nova Iguaçu,Friburguense,1,2,0,2,,
brasil-campeonato-carioca-2020,RODADA 2,2020-01-23,Fluminense,Portuguesa-RJ,2,0,0,0,,
brasil-campeonato-carioca-2020,RODADA 2,2020-01-23,Resende,Bangu,1,1,1,0,,
brasil-campeonato-carioca-2020,RODADA 2,2020-01-22,Vasco,Flamengo,0,1,0,1,,
brasil-campeonato-carioca-2020,RODADA 2,2020-01-22,Macaé,Boavista,0,3,0,1,,
brasil-campeonato-carioca-2020,RODADA 2,2020-01-22,Volta Redonda,Cabofriense,4,0,1,0,,
brasil-campeonato-carioca-2020,RODADA 2,2020-01-21,Madureira,Botafogo,2,0,1,0,,
brasil-campeonato-carioca-2020,RODADA 1,2020-01-19,Cabofriense,Fluminense,0,1,0,0,,
brasil-campeonato-carioca-2020,RODADA 1,2020-01-19,Vasco,Bangu,0,0,0,0,,
brasil-campeonato-carioca-2020,RODADA 1,2020-01-18,Volta Redonda,Botafogo,1,0,0,0,,
brasil-campeonato-carioca-2020,RODADA 1,2020-01-18,Resende,Boavista,0,0,0,0,,
brasil-campeonato-carioca-2020,RODADA 1,2020-01-18,Macaé,Flamengo,0,0,0,0,,
brasil-campeonato-carioca-2020,RODADA 1,2020-01-18,Madureira,Portuguesa-RJ,1,0,0,0,,
