Campeonato,Rodada,Data,Home,Away,Gols_home,Gols_away,Gols_1T_home,Gols_1T_away,Gols_2T_home,Gols_2T_away
brasil-campeonato-catarinense-2023,FINAL,2023-04-08,Brusque,Criciúma,0,1,0,0,,
brasil-campeonato-catarinense-2023,FINAL,2023-04-01,Criciúma,Brusque,1,0,0,0,,
brasil-campeonato-catarinense-2023,SEMIFINAIS,2023-03-29,Hercílio Luz,Criciúma,2,1,1,0,,
brasil-campeonato-catarinense-2023,SEMIFINAIS,2023-03-29,Brusque,Barra FC,3,1,2,0,,
brasil-campeonato-catarinense-2023,SEMIFINAIS,2023-03-26,Barra FC,Brusque,1,2,1,0,,
brasil-campeonato-catarinense-2023,SEMIFINAIS,2023-03-25,Criciúma,Hercílio Luz,2,0,2,0,,
brasil-campeonato-catarinense-2023,QUARTAS DE FINAL,2023-03-23,Chapecoense,Barra FC,1,2,1,0,,
brasil-campeonato-catarinense-2023,QUARTAS DE FINAL,2023-03-23,Brusque,Concordia,2,0,1,0,,
brasil-campeonato-catarinense-2023,QUARTAS DE FINAL,2023-03-22,Hercílio Luz,Figueirense,0,0,0,0,,
brasil-campeonato-catarinense-2023,QUARTAS DE FINAL,2023-03-21,Criciúma,Avaí,1,0,0,0,0,0
brasil-campeonato-catarinense-2023,QUARTAS DE FINAL,2023-03-19,Figueirense,Hercílio Luz,0,1,0,1,,
brasil-campeonato-catarinense-2023,QUARTAS DE FINAL,2023-03-19,Concordia,Brusque,0,0,0,0,,
brasil-campeonato-catarinense-2023,QUARTAS DE FINAL,2023-03-18,Barra FC,Chapecoense,2,0,1,0,,
brasil-campeonato-catarinense-2023,QUARTAS DE FINAL,2023-03-18,Avaí,Criciúma,0,0,0,0,,
brasil-campeonato-catarinense-2023,RODADA 11,2023-03-11,Atlético Catarinense,Marcílio Dias,1,2,0,1,,
brasil-campeonato-catarinense-2023,RODADA 11,2023-03-11,Avaí,Criciúma,2,2,0,0,,
brasil-campeonato-catarinense-2023,RODADA 11,2023-03-11,Barra FC,Chapecoense,0,0,0,0,,
brasil-campeonato-catarinense-2023,RODADA 11,2023-03-11,Brusque,Figueirense,3,2,2,0,,
brasil-campeonato-catarinense-2023,RODADA 11,2023-03-11,Concordia,Joinville,1,0,0,0,,
brasil-campeonato-catarinense-2023,RODADA 11,2023-03-11,Hercílio Luz,Camboriú,0,0,0,0,,
brasil-campeonato-catarinense-2023,RODADA 10,2023-03-07,Criciúma,Atlético Catarinense,2,0,0,0,,
brasil-campeonato-catarinense-2023,RODADA 10,2023-03-05,Camboriú,Barra FC,2,2,0,1,,
