Campeonato,Rodada,Data,Home,Away,Gols_home,Gols_away,Gols_1T_home,Gols_1T_away,Gols_2T_home,Gols_2T_away
brasil-campeonato-cearense-2019,FINAL,2019-04-21,Ceará,Fortaleza,0,1,0,1,,
brasil-campeonato-cearense-2019,FINAL,2019-04-14,Fortaleza,Ceará,2,0,1,0,,
brasil-campeonato-cearense-2019,SEMIFINAIS,2019-04-10,Ceará,Floresta EC,3,0,1,0,,
brasil-campeonato-cearense-2019,SEMIFINAIS,2019-04-03,Fortaleza,Guarany,1,0,1,0,,
brasil-campeonato-cearense-2019,SEMIFINAIS,2019-03-27,Floresta EC,Ceará,2,2,1,0,,
brasil-campeonato-cearense-2019,SEMIFINAIS,2019-03-27,Guarany,Fortaleza,0,1,0,1,,
brasil-campeonato-cearense-2019,RODADA 7,2019-03-20,Atlético-CE,Guarany,1,1,0,0,,
brasil-campeonato-cearense-2019,RODADA 7,2019-03-20,Barbalha,Horizonte,1,1,0,1,,
brasil-campeonato-cearense-2019,RODADA 7,2019-03-20,Ferroviário,Ceará,2,6,1,2,,
brasil-campeonato-cearense-2019,RODADA 7,2019-03-20,Fortaleza,Floresta EC,2,1,1,0,,
brasil-campeonato-cearense-2019,RODADA 5,2019-03-13,Guarany,Ferroviário,2,1,0,0,,
brasil-campeonato-cearense-2019,RODADA 6,2019-03-10,Ferroviário,Horizonte,1,1,1,0,,
brasil-campeonato-cearense-2019,RODADA 6,2019-03-10,Fortaleza,Ceará,0,0,0,0,,
brasil-campeonato-cearense-2019,RODADA 6,2019-03-09,Atlético-CE,Floresta EC,0,0,0,0,,
brasil-campeonato-cearense-2019,RODADA 6,2019-03-06,Guarany,Barbalha,4,1,1,0,,
brasil-campeonato-cearense-2019,RODADA 5,2019-03-06,Ceará,Atlético-CE,1,1,1,0,,
brasil-campeonato-cearense-2019,RODADA 5,2019-02-28,Floresta EC,Barbalha,1,0,0,0,,
brasil-campeonato-cearense-2019,RODADA 5,2019-02-27,Horizonte,Fortaleza,1,0,0,0,,
brasil-campeonato-cearense-2019,RODADA 4,2019-02-24,Barbalha,Ceará,1,1,1,0,,
brasil-campeonato-cearense-2019,RODADA 4,2019-02-24,Guarany,Floresta EC,0,1,0,0,,
brasil-campeonato-cearense-2019,RODADA 4,2019-02-23,Horizonte,Atlético-CE,0,3,0,1,,
brasil-campeonato-cearense-2019,RODADA 4,2019-02-21,Fortaleza,Ferroviário,0,0,0,0,,
brasil-campeonato-cearense-2019,RODADA 3,2019-02-20,Floresta EC,Horizonte,0,1,0,1,,
brasil-campeonato-cearense-2019,RODADA 3,2019-02-20,Ceará,Guarany,3,0,1,0,,
brasil-campeonato-cearense-2019,RODADA 3,2019-02-17,Atlético-CE,Fortaleza,2,1,2,1,,
brasil-campeonato-cearense-2019,RODADA 3,2019-02-16,Ferroviário,Barbalha,1,0,0,0,,
brasil-campeonato-cearense-2019,RODADA 2,2019-02-13,Ceará,Horizonte,2,0,0,0,,
