Campeonato,Rodada,Data,Home,Away,Gols_home,Gols_away,Gols_1T_home,Gols_1T_away,Gols_2T_home,Gols_2T_away
brasil-campeonato-gaucho-2021,FINAL,2021-05-23,Grêmio,Internacional,1,1,1,0,,
brasil-campeonato-gaucho-2021,FINAL,2021-05-16,Internacional,Grêmio,1,2,1,0,,
brasil-campeonato-gaucho-2021,SEMIFINAIS,2021-05-09,Grêmio,Caxias,2,0,1,0,,
brasil-campeonato-gaucho-2021,SEMIFINAIS,2021-05-08,Internacional,Juventude,4,1,2,0,,
brasil-campeonato-gaucho-2021,SEMIFINAIS,2021-05-02,Caxias,Grêmio,1,2,1,1,,
brasil-campeonato-gaucho-2021,SEMIFINAIS,2021-05-02,Juventude,Internacional,1,0,0,0,,
brasil-campeonato-gaucho-2021,RODADA 11,2021-04-24,Internacional,Esportivo,5,0,3,0,,
brasil-campeonato-gaucho-2021,RODADA 11,2021-04-24,Juventude,Brasil de Pelotas,2,1,2,0,,
brasil-campeonato-gaucho-2021,RODADA 11,2021-04-24,Novo Hamburgo,São José,1,3,0,2,,
brasil-campeonato-gaucho-2021,RODADA 11,2021-04-24,Pelotas,Caxias,1,1,1,0,,
brasil-campeonato-gaucho-2021,RODADA 11,2021-04-24,São Luiz,Aimoré,0,0,0,0,,
brasil-campeonato-gaucho-2021,RODADA 11,2021-04-24,Ypiranga,Grêmio,2,3,0,3,,
brasil-campeonato-gaucho-2021,RODADA 10,2021-04-20,Caxias,Ypiranga,2,2,1,1,,
brasil-campeonato-gaucho-2021,RODADA 10,2021-04-19,Esportivo,Juventude,2,2,2,2,,
brasil-campeonato-gaucho-2021,RODADA 10,2021-04-19,São José,Pelotas,1,1,1,0,,
brasil-campeonato-gaucho-2021,RODADA 10,2021-04-18,Brasil de Pelotas,São Luiz,1,0,1,0,,
brasil-campeonato-gaucho-2021,RODADA 10,2021-04-18,Grêmio,Novo Hamburgo,3,1,2,0,,
brasil-campeonato-gaucho-2021,RODADA 1,2021-04-16,Caxias,Grêmio,0,0,0,0,,
brasil-campeonato-gaucho-2021,RODADA 10,2021-04-14,Aimoré,Internacional,1,6,0,2,,
brasil-campeonato-gaucho-2021,RODADA 9,2021-04-09,Esportivo,Ypiranga,1,1,0,0,,
brasil-campeonato-gaucho-2021,RODADA 9,2021-04-05,Aimoré,Novo Hamburgo,2,0,2,0,,
brasil-campeonato-gaucho-2021,RODADA 9,2021-04-05,Brasil de Pelotas,Pelotas,0,0,0,0,,
brasil-campeonato-gaucho-2021,RODADA 9,2021-04-05,Caxias,Juventude,0,0,0,0,,
brasil-campeonato-gaucho-2021,RODADA 9,2021-04-04,São José,São Luiz,1,0,0,0,,
brasil-campeonato-gaucho-2021,RODADA 9,2021-04-03,Grêmio,Internacional,1,0,0,0,,
brasil-campeonato-gaucho-2021,RODADA 8,2021-04-01,Juventude,Aimoré,1,0,1,0,,
brasil-campeonato-gaucho-2021,RODADA 8,2021-04-01,Novo Hamburgo,Caxias,3,0,1,0,,
brasil-campeonato-gaucho-2021,RODADA 8,2021-04-01,Pelotas,Esportivo,0,2,0,2,,
