Campeonato,Rodada,Data,Home,Away,Gols_home,Gols_away,Gols_1T_home,Gols_1T_away,Gols_2T_home,Gols_2T_away
brasil-campeonato-goiano-2023,FINAL,2023-04-09,Goiás,Atlético-GO,3,2,1,1,3,1
brasil-campeonato-goiano-2023,FINAL,2023-04-02,Atlético-GO,Goiás,2,0,1,0,,
brasil-campeonato-goiano-2023,SEMIFINAIS,2023-03-20,Goiás,Anápolis,3,0,1,0,,
brasil-campeonato-goiano-2023,SEMIFINAIS,2023-03-19,Atlético-GO,Aparecidense,2,0,1,0,,
brasil-campeonato-goiano-2023,SEMIFINAIS,2023-03-11,Anápolis,Goiás,0,1,0,0,,
brasil-campeonato-goiano-2023,SEMIFINAIS,2023-03-11,Aparecidense,Atlético-GO,1,2,1,1,,
brasil-campeonato-goiano-2023,QUARTAS DE FINAL,2023-03-05,Goiás,Goiânia,2,0,1,0,,
brasil-campeonato-goiano-2023,QUARTAS DE FINAL,2023-03-05,Atlético-GO,Iporá,7,1,4,0,,
brasil-campeonato-goiano-2023,QUARTAS DE FINAL,2023-03-04,Clube Recreativo e Atlético Catalano,Aparecidense,1,0,0,0,,
brasil-campeonato-goiano-2023,QUARTAS DE FINAL,2023-03-04,Vila Nova,Anápolis,0,1,0,0,,
brasil-campeonato-goiano-2023,QUARTAS DE FINAL,2023-02-26,Aparecidense,Clube Recreativo e Atlético Catalano,3,0,1,0,,
brasil-campeonato-goiano-2023,QUARTAS DE FINAL,2023-02-25,Goiânia,Goiás,3,8,1,2,,
brasil-campeonato-goiano-2023,QUARTAS DE FINAL,2023-02-25,Iporá,Atlético-GO,0,1,0,0,,
brasil-campeonato-goiano-2023,QUARTAS DE FINAL,2023-02-21,Anápolis,Vila Nova,0,0,0,0,,
brasil-campeonato-goiano-2023,RODADA 11,2023-02-15,Anápolis,Grêmio Anápolis,1,1,1,0,,
brasil-campeonato-goiano-2023,RODADA 11,2023-02-15,Aparecidense,Vila Nova,0,0,0,0,,
brasil-campeonato-goiano-2023,RODADA 11,2023-02-15,Atlético-GO,Goianésia,3,0,1,0,,
brasil-campeonato-goiano-2023,RODADA 11,2023-02-15,Clube Recreativo e Atlético Catalano,Inhumas,2,0,1,0,,
brasil-campeonato-goiano-2023,RODADA 11,2023-02-15,Goiânia,Iporá,1,0,0,0,,
brasil-campeonato-goiano-2023,RODADA 11,2023-02-15,Morrinhos,Goiás,1,3,1,1,,
brasil-campeonato-goiano-2023,RODADA 10,2023-02-12,Goianésia,Anápolis,2,0,1,0,,
brasil-campeonato-goiano-2023,RODADA 10,2023-02-12,Grêmio Anápolis,Clube Recreativo e Atlético Catalano,2,2,0,1,,
brasil-campeonato-goiano-2023,RODADA 10,2023-02-12,Iporá,Aparecidense,2,1,1,0,,
brasil-campeonato-goiano-2023,RODADA 10,2023-02-12,Goiás,Goiânia,2,0,2,0,,
brasil-campeonato-goiano-2023,RODADA 10,2023-02-12,Inhumas,Atlético-GO,1,3,1,1,,
brasil-campeonato-goiano-2023,RODADA 10,2023-02-11,Vila Nova,Morrinhos,3,0,1,0,,
brasil-campeonato-goiano-2023,RODADA 9,2023-02-09,Grêmio Anápolis,Iporá,1,1,0,1,,
brasil-campeonato-goiano-2023,RODADA 9,2023-02-08,Anápolis,Aparecidense,0,0,0,0,,
brasil-campeonato-goiano-2023,RODADA 9,2023-02-08,Atlético-GO,Morrinhos,2,0,0,0,,
brasil-campeonato-goiano-2023,RODADA 9,2023-02-08,Clube Recreativo e Atlético Catalano,Goiânia,3,0,3,0,,
brasil-campeonato-goiano-2023,RODADA 9,2023-02-08,Goiás,Goianésia,2,0,1,0,,
brasil-campeonato-goiano-2023,RODADA 9,2023-02-07,Vila Nova,Inhumas,1,0,1,0,,
brasil-campeonato-goiano-2023,RODADA 8,2023-02-05,Aparecidense,Clube Recreativo e Atlético Catalano,1,0,0,0,,
brasil-campeonato-goiano-2023,RODADA 8,2023-02-05,Goiás,Grêmio Anápolis,3,0,2,0,,
brasil-campeonato-goiano-2023,RODADA 8,2023-02-05,Morrinhos,Anápolis,1,1,0,0,,
brasil-campeonato-goiano-2023,RODADA 8,2023-02-05,Goiânia,Atlético-GO,4,2,1,1,,
brasil-campeonato-goiano-2023,RODADA 8,2023-02-04,Goianésia,Vila Nova,0,2,0,1,,
brasil-campeonato-goiano-2023,RODADA 8,2023-02-04,Iporá,Inhumas,3,1,1,0,,
brasil-campeonato-goiano-2023,RODADA 7,2023-02-02,Atlético-GO,Clube Recreativo e Atlético Catalano,1,0,0,0,,
brasil-campeonato-goiano-2023,RODADA 7,2023-02-01,Anápolis,Goiânia,4,0,2,0,,
brasil-campeonato-goiano-2023,RODADA 7,2023-02-01,Aparecidense,Morrinhos,2,1,1,1,,
brasil-campeonato-goiano-2023,RODADA 7,2023-02-01,Vila Nova,Grêmio Anápolis,0,0,0,0,,
brasil-campeonato-goiano-2023,RODADA 7,2023-02-01,Inhumas,Goiás,0,1,0,0,,
brasil-campeonato-goiano-2023,RODADA 7,2023-02-01,Iporá,Goianésia,2,1,1,0,,
brasil-campeonato-goiano-2023,RODADA 6,2023-01-29,Anápolis,Iporá,0,0,0,0,,
brasil-campeonato-goiano-2023,RODADA 6,2023-01-29,Clube Recreativo e Atlético Catalano,Morrinhos,1,0,1,0,,
brasil-campeonato-goiano-2023,RODADA 6,2023-01-29,Goiás,Vila Nova,1,0,1,0,,
brasil-campeonato-goiano-2023,RODADA 6,2023-01-28,Atlético-GO,Aparecidense,3,1,2,0,,
brasil-campeonato-goiano-2023,RODADA 6,2023-01-28,Goiânia,Goianésia,1,1,1,0,,
brasil-campeonato-goiano-2023,RODADA 6,2023-01-28,Grêmio Anápolis,Inhumas,5,2,4,1,,
brasil-campeonato-goiano-2023,RODADA 5,2023-01-25,Aparecidense,Inhumas,2,0,0,0,,
brasil-campeonato-goiano-2023,RODADA 5,2023-01-25,Vila Nova,Iporá,3,0,2,0,,
brasil-campeonato-goiano-2023,RODADA 5,2023-01-25,Goianésia,Grêmio Anápolis,1,0,0,0,,
brasil-campeonato-goiano-2023,RODADA 5,2023-01-25,Morrinhos,Goiânia,4,0,2,0,,
brasil-campeonato-goiano-2023,RODADA 5,2023-01-25,Atlético-GO,Anápolis,1,2,1,0,,
brasil-campeonato-goiano-2023,RODADA 5,2023-01-25,Clube Recreativo e Atlético Catalano,Goiás,3,3,1,2,,
brasil-campeonato-goiano-2023,RODADA 4,2023-01-22,Anápolis,Clube Recreativo e Atlético Catalano,2,0,0,0,,
brasil-campeonato-goiano-2023,RODADA 4,2023-01-22,Morrinhos,Grêmio Anápolis,4,0,2,0,,
brasil-campeonato-goiano-2023,RODADA 4,2023-01-22,Vila Nova,Atlético-GO,2,2,1,1,,
brasil-campeonato-goiano-2023,RODADA 4,2023-01-22,Inhumas,Goianésia,0,1,0,0,,
brasil-campeonato-goiano-2023,RODADA 4,2023-01-22,Iporá,Goiás,1,2,0,1,,
brasil-campeonato-goiano-2023,RODADA 4,2023-01-21,Goiânia,Aparecidense,2,1,1,0,,
brasil-campeonato-goiano-2023,RODADA 3,2023-01-19,Goiás,Anápolis,1,1,1,0,,
brasil-campeonato-goiano-2023,RODADA 3,2023-01-18,Goianésia,Morrinhos,2,1,0,0,,
brasil-campeonato-goiano-2023,RODADA 3,2023-01-18,Clube Recreativo e Atlético Catalano,Vila Nova,1,1,0,0,,
brasil-campeonato-goiano-2023,RODADA 3,2023-01-18,Grêmio Anápolis,Aparecidense,1,2,0,0,,
brasil-campeonato-goiano-2023,RODADA 3,2023-01-18,Inhumas,Goiânia,2,2,2,0,,
brasil-campeonato-goiano-2023,RODADA 3,2023-01-18,Iporá,Atlético-GO,1,2,0,0,,
brasil-campeonato-goiano-2023,RODADA 2,2023-01-15,Aparecidense,Goianésia,1,0,1,0,,
brasil-campeonato-goiano-2023,RODADA 2,2023-01-15,Clube Recreativo e Atlético Catalano,Iporá,2,0,1,0,,
brasil-campeonato-goiano-2023,RODADA 2,2023-01-15,Goiânia,Grêmio Anápolis,1,0,1,0,,
brasil-campeonato-goiano-2023,RODADA 2,2023-01-15,Morrinhos,Inhumas,1,1,1,1,,
brasil-campeonato-goiano-2023,RODADA 2,2023-01-15,Atlético-GO,Goiás,2,1,0,0,,
brasil-campeonato-goiano-2023,RODADA 2,2023-01-14,Anápolis,Vila Nova,1,1,1,0,,
brasil-campeonato-goiano-2023,RODADA 1,2023-01-12,Goiás,Aparecidense,1,0,0,0,,
brasil-campeonato-goiano-2023,RODADA 1,2023-01-12,Grêmio Anápolis,Atlético-GO,1,4,0,0,,
brasil-campeonato-goiano-2023,RODADA 1,2023-01-12,Iporá,Morrinhos,3,0,2,0,,
brasil-campeonato-goiano-2023,RODADA 1,2023-01-11,Goianésia,Clube Recreativo e Atlético Catalano,1,3,0,3,,
brasil-campeonato-goiano-2023,RODADA 1,2023-01-11,Vila Nova,Goiânia,3,0,1,0,,
brasil-campeonato-goiano-2023,RODADA 1,2023-01-11,Inhumas,Anápolis,1,0,0,0,,
