Campeonato,Rodada,Data,Home,Away,Gols_home,Gols_away,Gols_1T_home,Gols_1T_away,Gols_2T_home,Gols_2T_away
brasil-campeonato-mineiro-2022,5º LUGAR,2022-04-03,Democrata-GV,Tombense,1,0,1,0,,
brasil-campeonato-mineiro-2022,3º LUGAR,2022-04-03,Athletic Club,Caldense,1,0,0,0,0,0
brasil-campeonato-mineiro-2022,FINAL,2022-04-02,Atlético-MG,Cruzeiro,3,1,1,0,,
brasil-campeonato-mineiro-2022,3º LUGAR,2022-03-30,Caldense,Athletic Club,1,1,1,0,,
brasil-campeonato-mineiro-2022,SEMIFINAIS,2022-03-27,Atlético-MG,Caldense,3,0,2,0,,
brasil-campeonato-mineiro-2022,SEMIFINAIS,2022-03-27,Villa Nova-MG,Democrata-GV,1,3,0,0,,
brasil-campeonato-mineiro-2022,SEMIFINAIS,2022-03-26,Athletic Club,Cruzeiro,1,2,1,2,,
brasil-campeonato-mineiro-2022,SEMIFINAIS,2022-03-26,América-MG,Tombense,1,1,0,0,,
brasil-campeonato-mineiro-2022,SEMIFINAIS,2022-03-23,Democrata-GV,Villa Nova-MG,1,2,1,1,,
brasil-campeonato-mineiro-2022,SEMIFINAIS,2022-03-23,Tombense,América-MG,3,1,1,0,,
brasil-campeonato-mineiro-2022,SEMIFINAIS,2022-03-23,Caldense,Atlético-MG,0,2,0,2,,
brasil-campeonato-mineiro-2022,SEMIFINAIS,2022-03-22,Cruzeiro,Athletic Club,2,0,1,0,,
brasil-campeonato-mineiro-2022,RODADA 11,2022-03-19,América-MG,Tombense,1,0,1,0,,
brasil-campeonato-mineiro-2022,RODADA 11,2022-03-19,Athletic Club,Villa Nova-MG,1,0,0,0,,
brasil-campeonato-mineiro-2022,RODADA 11,2022-03-19,Atlético-MG,Caldense,3,0,1,0,,
brasil-campeonato-mineiro-2022,RODADA 11,2022-03-19,Patrocinense,Cruzeiro,2,1,2,1,,
brasil-campeonato-mineiro-2022,RODADA 11,2022-03-19,Pouso Alegre,Uberlândia,2,0,0,0,,
brasil-campeonato-mineiro-2022,RODADA 11,2022-03-19,URT,Democrata-GV,1,2,1,0,,
brasil-campeonato-mineiro-2022,RODADA 10,2022-03-13,Cruzeiro,Pouso Alegre,5,1,2,1,,
brasil-campeonato-mineiro-2022,RODADA 10,2022-03-13,Villa Nova-MG,Patrocinense,2,0,1,0,,
brasil-campeonato-mineiro-2022,RODADA 10,2022-03-13,Caldense,Athletic Club,0,1,0,0,,
brasil-campeonato-mineiro-2022,RODADA 10,2022-03-12,Uberlândia,América-MG,2,1,1,0,,
brasil-campeonato-mineiro-2022,RODADA 10,2022-03-12,Democrata-GV,Atlético-MG,0,1,0,0,,
brasil-campeonato-mineiro-2022,RODADA 10,2022-03-12,Tombense,URT,2,0,1,0,,
brasil-campeonato-mineiro-2022,RODADA 9,2022-03-06,Atlético-MG,Cruzeiro,2,1,0,0,,
brasil-campeonato-mineiro-2022,RODADA 9,2022-03-06,Caldense,Democrata-GV,1,0,1,0,,
brasil-campeonato-mineiro-2022,RODADA 9,2022-03-06,Patrocinense,Pouso Alegre,0,1,0,0,,
brasil-campeonato-mineiro-2022,RODADA 9,2022-03-05,América-MG,Villa Nova-MG,0,1,0,0,,
brasil-campeonato-mineiro-2022,RODADA 9,2022-03-05,Tombense,Uberlândia,0,0,0,0,,
brasil-campeonato-mineiro-2022,RODADA 9,2022-03-05,Athletic Club,URT,4,0,3,0,,
brasil-campeonato-mineiro-2022,RODADA 8,2022-02-26,Pouso Alegre,Atlético-MG,2,3,0,1,,
brasil-campeonato-mineiro-2022,RODADA 8,2022-02-22,Uberlândia,Caldense,0,1,0,0,,
brasil-campeonato-mineiro-2022,RODADA 8,2022-02-20,Cruzeiro,Villa Nova-MG,2,2,1,2,,
brasil-campeonato-mineiro-2022,RODADA 8,2022-02-20,Patrocinense,Tombense,2,1,0,1,,
brasil-campeonato-mineiro-2022,RODADA 8,2022-02-19,URT,América-MG,0,0,0,0,,
brasil-campeonato-mineiro-2022,RODADA 8,2022-02-19,Athletic Club,Democrata-GV,1,0,1,0,,
brasil-campeonato-mineiro-2022,RODADA 7,2022-02-17,Cruzeiro,Uberlândia,2,1,1,0,,
brasil-campeonato-mineiro-2022,RODADA 7,2022-02-16,Villa Nova-MG,Caldense,2,0,1,0,,
brasil-campeonato-mineiro-2022,RODADA 7,2022-02-16,Democrata-GV,Tombense,1,0,0,0,,
brasil-campeonato-mineiro-2022,RODADA 7,2022-02-16,Pouso Alegre,URT,1,1,1,0,,
brasil-campeonato-mineiro-2022,RODADA 7,2022-02-16,América-MG,Patrocinense,2,0,1,0,,
