Campeonato,Rodada,Data,Home,Away,Gols_home,Gols_away,Gols_1T_home,Gols_1T_away,Gols_2T_home,Gols_2T_away
brasil-campeonato-paranaense-2023,FINAL,2023-04-09,Athletico-PR,Cascavel,0,0,0,0,,
brasil-campeonato-paranaense-2023,FINAL,2023-04-01,Cascavel,Athletico-PR,1,2,0,0,,
brasil-campeonato-paranaense-2023,SEMIFINAIS,2023-03-26,Athletico-PR,Maringá,1,0,0,0,,
brasil-campeonato-paranaense-2023,SEMIFINAIS,2023-03-25,Operário,Cascavel,1,1,0,0,1,0
brasil-campeonato-paranaense-2023,SEMIFINAIS,2023-03-19,Cascavel,Operário,2,1,1,1,,
brasil-campeonato-paranaense-2023,SEMIFINAIS,2023-03-18,Maringá,Athletico-PR,0,2,0,0,,
brasil-campeonato-paranaense-2023,QUARTAS DE FINAL,2023-03-12,Athletico-PR,Sao Joseense,4,0,2,0,,
brasil-campeonato-paranaense-2023,QUARTAS DE FINAL,2023-03-12,Operário,Aruko Sports,3,0,2,0,,
brasil-campeonato-paranaense-2023,QUARTAS DE FINAL,2023-03-11,Maringá,Cianorte,2,0,1,0,,
brasil-campeonato-paranaense-2023,QUARTAS DE FINAL,2023-03-11,Coritiba,Cascavel,0,0,0,0,,
brasil-campeonato-paranaense-2023,QUARTAS DE FINAL,2023-03-05,Cianorte,Maringá,1,0,1,0,,
brasil-campeonato-paranaense-2023,QUARTAS DE FINAL,2023-03-05,Aruko Sports,Operário,1,2,0,0,,
brasil-campeonato-paranaense-2023,QUARTAS DE FINAL,2023-03-05,Cascavel,Coritiba,3,1,1,0,,
brasil-campeonato-paranaense-2023,QUARTAS DE FINAL,2023-03-04,Sao Joseense,Athletico-PR,2,5,1,3,,
brasil-campeonato-paranaense-2023,RODADA 11,2023-02-26,Azuriz,Rio Branco-PR,4,0,3,0,,
brasil-campeonato-paranaense-2023,RODADA 11,2023-02-26,Cascavel,Foz do Iguaçu,3,0,1,0,,
brasil-campeonato-paranaense-2023,RODADA 11,2023-02-26,Cianorte,Aruko Sports,0,2,0,1,,
brasil-campeonato-paranaense-2023,RODADA 11,2023-02-26,Londrina,Athletico-PR,0,1,0,0,,
brasil-campeonato-paranaense-2023,RODADA 11,2023-02-26,Maringá,Sao Joseense,3,1,1,1,,
brasil-campeonato-paranaense-2023,RODADA 11,2023-02-26,Operário,Coritiba,3,0,1,0,,
brasil-campeonato-paranaense-2023,RODADA 8,2023-02-19,Cascavel,Coritiba,0,0,0,0,,
brasil-campeonato-paranaense-2023,RODADA 10,2023-02-16,Athletico-PR,Cascavel,1,0,0,0,,
brasil-campeonato-paranaense-2023,RODADA 10,2023-02-16,Cianorte,Maringá,0,3,0,2,,
brasil-campeonato-paranaense-2023,RODADA 10,2023-02-16,Sao Joseense,Rio Branco-PR,2,0,1,0,,
brasil-campeonato-paranaense-2023,RODADA 10,2023-02-15,Foz do Iguaçu,Operário,0,2,0,0,,
brasil-campeonato-paranaense-2023,RODADA 10,2023-02-15,Coritiba,Londrina,1,0,0,0,,
brasil-campeonato-paranaense-2023,RODADA 10,2023-02-15,Aruko Sports,Azuriz,1,1,0,1,,
brasil-campeonato-paranaense-2023,RODADA 9,2023-02-12,Aruko Sports,Cascavel,2,1,2,0,,
brasil-campeonato-paranaense-2023,RODADA 9,2023-02-12,Azuriz,Foz do Iguaçu,2,0,1,0,,
brasil-campeonato-paranaense-2023,RODADA 9,2023-02-12,Coritiba,Sao Joseense,0,0,0,0,,
brasil-campeonato-paranaense-2023,RODADA 9,2023-02-12,Londrina,Maringá,1,1,0,0,,
brasil-campeonato-paranaense-2023,RODADA 9,2023-02-12,Rio Branco-PR,Cianorte,0,3,0,2,,
