Campeonato,Rodada,Data,Home,Away,Gols_home,Gols_away,Gols_1T_home,Gols_1T_away,Gols_2T_home,Gols_2T_away
brasil-campeonato-paulista-2020,FINAL,2020-08-08,Palmeiras,Corinthians,2,1,0,0,1,1
brasil-campeonato-paulista-2020,FINAL,2020-08-05,Corinthians,Palmeiras,0,0,0,0,,
brasil-campeonato-paulista-2020,FINAL,2020-08-04,Red Bull Bragantino,Guarani,1,0,1,0,,
brasil-campeonato-paulista-2020,SEMIFINAIS,2020-08-02,Palmeiras,Ponte Preta,1,0,1,0,,
brasil-campeonato-paulista-2020,SEMIFINAIS,2020-08-02,Corinthians,Mirassol,1,0,0,0,,
brasil-campeonato-paulista-2020,SEMIFINAIS,2020-08-01,Red Bull Bragantino,Botafogo-SP,2,1,0,0,1,1
brasil-campeonato-paulista-2020,SEMIFINAIS,2020-08-01,Internacional de Limeira,Guarani,1,2,1,0,,
brasil-campeonato-paulista-2020,QUARTAS DE FINAL,2020-07-30,Santos,Ponte Preta,1,3,1,0,,
brasil-campeonato-paulista-2020,QUARTAS DE FINAL,2020-07-30,Red Bull Bragantino,Corinthians,0,2,0,1,,
brasil-campeonato-paulista-2020,QUARTAS DE FINAL,2020-07-29,Palmeiras,Santo André,2,0,0,0,,
brasil-campeonato-paulista-2020,QUARTAS DE FINAL,2020-07-29,São Paulo,Mirassol,2,3,2,2,,
brasil-campeonato-paulista-2020,QUARTAS DE FINAL,2020-07-29,Novorizontino,Botafogo-SP,0,2,0,0,,
brasil-campeonato-paulista-2020,QUARTAS DE FINAL,2020-07-29,Guarani,Ituano,2,1,1,0,1,1
brasil-campeonato-paulista-2020,QUARTAS DE FINAL,2020-07-29,Ferroviária,Internacional de Limeira,0,2,0,2,,
brasil-campeonato-paulista-2020,RODADA 12,2020-07-26,Ferroviária,Internacional de Limeira,2,0,1,0,,
brasil-campeonato-paulista-2020,RODADA 12,2020-07-26,Guarani,São Paulo,1,3,1,1,,
brasil-campeonato-paulista-2020,RODADA 12,2020-07-26,Mirassol,Ponte Preta,0,1,0,0,,
brasil-campeonato-paulista-2020,RODADA 12,2020-07-26,Novorizontino,Santos,3,2,0,1,,
brasil-campeonato-paulista-2020,RODADA 12,2020-07-26,Oeste,Corinthians,0,2,0,1,,
brasil-campeonato-paulista-2020,RODADA 12,2020-07-26,Palmeiras,Água Santa,2,1,0,0,,
brasil-campeonato-paulista-2020,RODADA 12,2020-07-26,Red Bull Bragantino,Botafogo-SP,2,0,1,0,,
brasil-campeonato-paulista-2020,RODADA 12,2020-07-26,Santo André,Ituano,1,3,1,3,,
brasil-campeonato-paulista-2020,RODADA 11,2020-07-23,Botafogo-SP,Guarani,2,0,0,0,,
brasil-campeonato-paulista-2020,RODADA 11,2020-07-23,São Paulo,Red Bull Bragantino,2,3,2,2,,
brasil-campeonato-paulista-2020,RODADA 11,2020-07-23,Internacional de Limeira,Oeste,2,1,1,0,,
brasil-campeonato-paulista-2020,RODADA 11,2020-07-23,Água Santa,Mirassol,0,0,0,0,,
brasil-campeonato-paulista-2020,RODADA 11,2020-07-22,Corinthians,Palmeiras,1,0,1,0,,
brasil-campeonato-paulista-2020,RODADA 11,2020-07-22,Ponte Preta,Novorizontino,2,0,1,0,,
brasil-campeonato-paulista-2020,RODADA 11,2020-07-22,Santos,Santo André,1,1,1,1,,
brasil-campeonato-paulista-2020,RODADA 11,2020-07-22,Ituano,Ferroviária,0,0,0,0,,
brasil-campeonato-paulista-2020,RODADA 10,2020-03-16,Guarani,Ponte Preta,3,2,0,2,,
brasil-campeonato-paulista-2020,RODADA 10,2020-03-15,Corinthians,Ituano,1,1,1,1,,
brasil-campeonato-paulista-2020,RODADA 10,2020-03-15,Mirassol,Santo André,1,0,1,0,,
brasil-campeonato-paulista-2020,RODADA 10,2020-03-14,São Paulo,Santos,2,1,0,1,,
brasil-campeonato-paulista-2020,RODADA 10,2020-03-14,Ferroviária,Novorizontino,0,0,0,0,,
brasil-campeonato-paulista-2020,RODADA 10,2020-03-14,Internacional de Limeira,Palmeiras,0,0,0,0,,
brasil-campeonato-paulista-2020,RODADA 10,2020-03-13,Red Bull Bragantino,Água Santa,4,0,2,0,,
brasil-campeonato-paulista-2020,RODADA 10,2020-03-13,Oeste,Botafogo-SP,3,0,0,0,,
brasil-campeonato-paulista-2020,RODADA 9,2020-03-09,Ponte Preta,Red Bull Bragantino,1,2,0,0,,
brasil-campeonato-paulista-2020,RODADA 9,2020-03-08,Botafogo-SP,São Paulo,1,0,0,0,,
brasil-campeonato-paulista-2020,RODADA 9,2020-03-08,Água Santa,Internacional de Limeira,1,1,0,1,,
brasil-campeonato-paulista-2020,RODADA 9,2020-03-07,Santos,Mirassol,3,1,3,1,,
brasil-campeonato-paulista-2020,RODADA 9,2020-03-07,Novorizontino,Corinthians,1,1,1,1,,
brasil-campeonato-paulista-2020,RODADA 9,2020-03-07,Palmeiras,Ferroviária,1,1,0,0,,
brasil-campeonato-paulista-2020,RODADA 9,2020-03-07,Santo André,Oeste,0,1,0,0,,
brasil-campeonato-paulista-2020,RODADA 9,2020-03-06,Ituano,Guarani,0,2,0,1,,
brasil-campeonato-paulista-2020,RODADA 8,2020-03-02,Mirassol,Oeste,1,0,1,0,,
brasil-campeonato-paulista-2020,RODADA 8,2020-03-01,Ferroviária,Botafogo-SP,1,0,0,0,,
brasil-campeonato-paulista-2020,RODADA 8,2020-03-01,São Paulo,Ponte Preta,2,1,2,0,,
brasil-campeonato-paulista-2020,RODADA 8,2020-03-01,Internacional de Limeira,Novorizontino,0,1,0,0,,
brasil-campeonato-paulista-2020,RODADA 8,2020-02-29,Santos,Palmeiras,0,0,0,0,,
brasil-campeonato-paulista-2020,RODADA 8,2020-02-28,Red Bull Bragantino,Ituano,2,1,2,1,,
brasil-campeonato-paulista-2020,RODADA 8,2020-02-28,Guarani,Água Santa,0,0,0,0,,
brasil-campeonato-paulista-2020,RODADA 8,2020-02-26,Corinthians,Santo André,1,1,0,1,,
brasil-campeonato-paulista-2020,RODADA 7,2020-02-23,Santo André,Red Bull Bragantino,1,0,1,0,,
brasil-campeonato-paulista-2020,RODADA 7,2020-02-22,Ponte Preta,Ferroviária,1,1,0,1,,
brasil-campeonato-paulista-2020,RODADA 7,2020-02-22,Ituano,Santos,2,0,2,0,,
brasil-campeonato-paulista-2020,RODADA 7,2020-02-22,Oeste,São Paulo,0,4,0,1,,
brasil-campeonato-paulista-2020,RODADA 7,2020-02-22,Água Santa,Corinthians,2,1,1,1,,
brasil-campeonato-paulista-2020,RODADA 7,2020-02-21,Novorizontino,Mirassol,1,1,1,1,,
brasil-campeonato-paulista-2020,RODADA 7,2020-02-21,Botafogo-SP,Internacional de Limeira,2,1,0,1,,
