Campeonato,Rodada,Data,Home,Away,Gols_home,Gols_away,Gols_1T_home,Gols_1T_away,Gols_2T_home,Gols_2T_away
brasil-copa-do-brasil-2021,FINAL,2021-12-15,Athletico-PR,Atlético-MG,1,2,0,1,,
brasil-copa-do-brasil-2021,FINAL,2021-12-12,Atlético-MG,Athletico-PR,4,0,2,0,,
brasil-copa-do-brasil-2021,SEMIFINAIS,2021-10-27,Flamengo,Athletico-PR,0,3,0,2,,
brasil-copa-do-brasil-2021,SEMIFINAIS,2021-10-27,Fortaleza,Atlético-MG,1,2,0,0,,
brasil-copa-do-brasil-2021,SEMIFINAIS,2021-10-20,Athletico-PR,Flamengo,2,2,0,1,,
brasil-copa-do-brasil-2021,SEMIFINAIS,2021-10-20,Atlético-MG,Fortaleza,4,0,3,0,,
brasil-copa-do-brasil-2021,QUARTAS DE FINAL,2021-09-15,Flamengo,Grêmio,2,0,0,0,,
brasil-copa-do-brasil-2021,QUARTAS DE FINAL,2021-09-15,Fortaleza,São Paulo,3,1,1,0,,
brasil-copa-do-brasil-2021,QUARTAS DE FINAL,2021-09-15,Atlético-MG,Fluminense,1,0,0,0,,
brasil-copa-do-brasil-2021,QUARTAS DE FINAL,2021-09-14,Santos,Athletico-PR,0,1,0,0,,
brasil-copa-do-brasil-2021,QUARTAS DE FINAL,2021-08-26,Fluminense,Atlético-MG,1,2,1,2,,
brasil-copa-do-brasil-2021,QUARTAS DE FINAL,2021-08-25,Grêmio,Flamengo,0,4,0,0,,
brasil-copa-do-brasil-2021,QUARTAS DE FINAL,2021-08-25,São Paulo,Fortaleza,2,2,0,0,,
brasil-copa-do-brasil-2021,QUARTAS DE FINAL,2021-08-25,Athletico-PR,Santos,1,0,1,0,,
brasil-copa-do-brasil-2021,OITAVAS DE FINAL,2021-08-05,ABC,Flamengo,0,1,0,0,,
brasil-copa-do-brasil-2021,OITAVAS DE FINAL,2021-08-05,Juazeirense,Santos,2,0,2,0,,
brasil-copa-do-brasil-2021,OITAVAS DE FINAL,2021-08-04,Bahia,Atlético-MG,2,1,2,0,,
brasil-copa-do-brasil-2021,OITAVAS DE FINAL,2021-08-04,Vasco,São Paulo,1,2,0,1,,
brasil-copa-do-brasil-2021,OITAVAS DE FINAL,2021-08-04,Atlético-GO,Athletico-PR,2,2,0,1,,
brasil-copa-do-brasil-2021,OITAVAS DE FINAL,2021-08-04,CRB,Fortaleza,0,1,0,1,,
brasil-copa-do-brasil-2021,OITAVAS DE FINAL,2021-08-03,Grêmio,Vitória,1,0,1,0,,
brasil-copa-do-brasil-2021,OITAVAS DE FINAL,2021-07-31,Fluminense,Criciúma,3,0,1,0,,
brasil-copa-do-brasil-2021,OITAVAS DE FINAL,2021-07-29,Flamengo,ABC,6,0,4,0,,
brasil-copa-do-brasil-2021,OITAVAS DE FINAL,2021-07-29,Fortaleza,CRB,2,1,0,1,,
brasil-copa-do-brasil-2021,OITAVAS DE FINAL,2021-07-28,Atlético-MG,Bahia,2,0,1,0,,
brasil-copa-do-brasil-2021,OITAVAS DE FINAL,2021-07-28,São Paulo,Vasco,2,0,1,0,,
brasil-copa-do-brasil-2021,OITAVAS DE FINAL,2021-07-28,Santos,Juazeirense,4,0,0,0,,
brasil-copa-do-brasil-2021,OITAVAS DE FINAL,2021-07-28,Athletico-PR,Atlético-GO,2,1,0,0,,
brasil-copa-do-brasil-2021,OITAVAS DE FINAL,2021-07-27,Vitória,Grêmio,0,3,0,1,,
brasil-copa-do-brasil-2021,OITAVAS DE FINAL,2021-07-27,Criciúma,Fluminense,2,1,1,0,,
brasil-copa-do-brasil-2021,16 AVOS DE FINAL,2021-06-16,Flamengo,Coritiba,2,0,1,0,,
brasil-copa-do-brasil-2021,16 AVOS DE FINAL,2021-06-10,Ceará,Fortaleza,0,3,0,2,,
