Campeonato,Rodada,Data,Home,Away,Gols_home,Gols_away,Gols_1T_home,Gols_1T_away,Gols_2T_home,Gols_2T_away
brasil-copa-do-nordeste-2023,FINAL,2023-05-03,Sport,Ceará,1,1,1,0,1,0
brasil-copa-do-nordeste-2023,FINAL,2023-04-19,Ceará,Sport,2,1,2,0,,
brasil-copa-do-nordeste-2023,SEMIFINAIS,2023-03-30,Sport,ABC,1,0,1,0,,
brasil-copa-do-nordeste-2023,SEMIFINAIS,2023-03-29,Fortaleza,Ceará,2,3,1,2,,
brasil-copa-do-nordeste-2023,QUARTAS DE FINAL,2023-03-26,Ceará,Sergipe,3,1,2,1,,
brasil-copa-do-nordeste-2023,QUARTAS DE FINAL,2023-03-26,Sport,CRB,4,0,1,0,,
brasil-copa-do-nordeste-2023,QUARTAS DE FINAL,2023-03-26,ABC,Náutico,3,1,2,0,,
brasil-copa-do-nordeste-2023,QUARTAS DE FINAL,2023-03-25,Fortaleza,Ferroviário,4,0,3,0,,
brasil-copa-do-nordeste-2023,RODADA 8,2023-03-22,ABC,Fluminense-PI,3,0,0,0,,
brasil-copa-do-nordeste-2023,RODADA 8,2023-03-22,Bahia,CRB,3,0,2,0,,
brasil-copa-do-nordeste-2023,RODADA 8,2023-03-22,Campinense,Vitória,2,1,1,0,,
brasil-copa-do-nordeste-2023,RODADA 8,2023-03-22,Ceará,Atlético de Alagoinhas,3,1,1,0,,
brasil-copa-do-nordeste-2023,RODADA 8,2023-03-22,CSA,Sport,1,3,1,1,,
brasil-copa-do-nordeste-2023,RODADA 8,2023-03-22,Náutico,Ferroviário,3,2,2,0,,
brasil-copa-do-nordeste-2023,RODADA 8,2023-03-22,Santa Cruz,Fortaleza,0,4,0,1,,
brasil-copa-do-nordeste-2023,RODADA 8,2023-03-22,Sergipe,Sampaio Corrêa,2,2,0,1,,
brasil-copa-do-nordeste-2023,RODADA 4,2023-03-18,Sport,Santa Cruz,0,0,0,0,,
brasil-copa-do-nordeste-2023,RODADA 7,2023-03-14,Fluminense-PI,Bahia,1,1,0,0,,
brasil-copa-do-nordeste-2023,RODADA 7,2023-03-08,Sport,Sergipe,2,1,1,0,,
brasil-copa-do-nordeste-2023,RODADA 7,2023-03-08,Vitória,Ceará,2,0,1,0,,
brasil-copa-do-nordeste-2023,RODADA 7,2023-03-08,Ferroviário,Santa Cruz,2,1,0,1,,
brasil-copa-do-nordeste-2023,RODADA 7,2023-03-08,Sampaio Corrêa,Campinense,1,1,0,0,,
brasil-copa-do-nordeste-2023,RODADA 7,2023-03-07,CRB,ABC,1,0,0,0,,
brasil-copa-do-nordeste-2023,RODADA 7,2023-03-07,Atlético de Alagoinhas,CSA,1,0,0,0,,
brasil-copa-do-nordeste-2023,RODADA 6,2023-03-05,Ceará,Fortaleza,2,0,2,0,,
brasil-copa-do-nordeste-2023,RODADA 6,2023-03-05,Santa Cruz,Sampaio Corrêa,3,1,1,0,,
brasil-copa-do-nordeste-2023,RODADA 6,2023-03-05,Bahia,Vitória,1,1,1,1,,
brasil-copa-do-nordeste-2023,RODADA 6,2023-03-05,Sergipe,Fluminense-PI,3,1,1,1,,
brasil-copa-do-nordeste-2023,RODADA 6,2023-03-04,ABC,Atlético de Alagoinhas,3,0,3,0,,
brasil-copa-do-nordeste-2023,RODADA 6,2023-03-04,Campinense,Ferroviário,2,3,1,1,,
brasil-copa-do-nordeste-2023,RODADA 6,2023-03-04,CSA,CRB,0,0,0,0,,
brasil-copa-do-nordeste-2023,RODADA 6,2023-03-04,Náutico,Sport,0,2,0,0,,
brasil-copa-do-nordeste-2023,RODADA 7,2023-02-26,Fortaleza,Náutico,2,1,2,0,,
brasil-copa-do-nordeste-2023,RODADA 5,2023-02-23,Atlético de Alagoinhas,Campinense,2,1,1,1,,
brasil-copa-do-nordeste-2023,RODADA 5,2023-02-23,Vitória,Náutico,2,3,2,1,,
brasil-copa-do-nordeste-2023,RODADA 5,2023-02-22,Ferroviário,ABC,2,2,1,0,,
brasil-copa-do-nordeste-2023,RODADA 5,2023-02-22,Fluminense-PI,Ceará,2,5,0,3,,
brasil-copa-do-nordeste-2023,RODADA 5,2023-02-22,Sport,Bahia,6,0,3,0,,
brasil-copa-do-nordeste-2023,RODADA 5,2023-02-22,CRB,Santa Cruz,2,1,2,0,,
brasil-copa-do-nordeste-2023,RODADA 5,2023-02-22,Sampaio Corrêa,CSA,1,1,1,0,,
brasil-copa-do-nordeste-2023,RODADA 4,2023-02-18,Sampaio Corrêa,Náutico,1,0,0,0,,
brasil-copa-do-nordeste-2023,RODADA 4,2023-02-18,Vitória,ABC,1,1,0,0,,
brasil-copa-do-nordeste-2023,RODADA 4,2023-02-18,Ferroviário,Sergipe,0,0,0,0,,
brasil-copa-do-nordeste-2023,RODADA 4,2023-02-18,Fluminense-PI,Campinense,1,2,0,2,,
brasil-copa-do-nordeste-2023,RODADA 4,2023-02-17,Atlético de Alagoinhas,Bahia,1,2,1,2,,
brasil-copa-do-nordeste-2023,RODADA 4,2023-02-17,Fortaleza,CSA,3,0,1,0,,
brasil-copa-do-nordeste-2023,RODADA 4,2023-02-17,CRB,Ceará,1,1,0,0,,
brasil-copa-do-nordeste-2023,RODADA 3,2023-02-15,ABC,Sampaio Corrêa,2,0,1,0,,
brasil-copa-do-nordeste-2023,RODADA 3,2023-02-15,Náutico,Fluminense-PI,2,0,2,0,,
brasil-copa-do-nordeste-2023,RODADA 3,2023-02-15,Sergipe,Vitória,2,1,0,0,,
brasil-copa-do-nordeste-2023,RODADA 3,2023-02-14,Bahia,Fortaleza,0,3,0,3,,
brasil-copa-do-nordeste-2023,RODADA 3,2023-02-14,Ceará,Sport,3,2,2,1,,
brasil-copa-do-nordeste-2023,RODADA 3,2023-02-14,CSA,Ferroviário,1,1,1,0,,
brasil-copa-do-nordeste-2023,RODADA 3,2023-02-14,Santa Cruz,Atlético de Alagoinhas,2,1,2,1,,
brasil-copa-do-nordeste-2023,RODADA 3,2023-02-14,Campinense,CRB,0,0,0,0,,
brasil-copa-do-nordeste-2023,RODADA 2,2023-02-08,Santa Cruz,Fluminense-PI,2,2,1,1,,
brasil-copa-do-nordeste-2023,RODADA 2,2023-02-05,Campinense,Sport,0,2,0,1,,
brasil-copa-do-nordeste-2023,RODADA 2,2023-02-05,CSA,Vitória,3,1,2,1,,
brasil-copa-do-nordeste-2023,RODADA 2,2023-02-05,Sergipe,Atlético de Alagoinhas,4,0,3,0,,
brasil-copa-do-nordeste-2023,RODADA 2,2023-02-04,Bahia,Ferroviário,2,2,0,0,,
brasil-copa-do-nordeste-2023,RODADA 2,2023-02-04,ABC,Fortaleza,2,0,1,0,,
brasil-copa-do-nordeste-2023,RODADA 2,2023-02-04,Ceará,Sampaio Corrêa,2,0,1,0,,
brasil-copa-do-nordeste-2023,RODADA 2,2023-02-04,Náutico,CRB,2,2,1,0,,
brasil-copa-do-nordeste-2023,RODADA 5,2023-01-26,Fortaleza,Sergipe,1,0,1,0,,
brasil-copa-do-nordeste-2023,RODADA 1,2023-01-22,Sampaio Corrêa,Bahia,1,0,1,0,,
brasil-copa-do-nordeste-2023,RODADA 1,2023-01-22,Ferroviário,Ceará,3,0,2,0,,
brasil-copa-do-nordeste-2023,RODADA 1,2023-01-22,Atlético de Alagoinhas,Náutico,0,1,0,1,,
brasil-copa-do-nordeste-2023,RODADA 1,2023-01-22,CRB,Sergipe,1,0,0,0,,
brasil-copa-do-nordeste-2023,RODADA 1,2023-01-21,Sport,ABC,2,0,0,0,,
brasil-copa-do-nordeste-2023,RODADA 1,2023-01-21,Fortaleza,Campinense,2,0,1,0,,
brasil-copa-do-nordeste-2023,RODADA 1,2023-01-21,Vitória,Santa Cruz,1,1,0,0,,
brasil-copa-do-nordeste-2023,RODADA 1,2023-01-21,Fluminense-PI,CSA,0,0,0,0,,
brasil-copa-do-nordeste-2023,FINAL,2023-01-08,Santa Cruz,Botafogo-PB,2,1,1,1,,
brasil-copa-do-nordeste-2023,FINAL,2023-01-08,Confiança,Ferroviário,0,1,0,0,0,0
brasil-copa-do-nordeste-2023,FINAL,2023-01-08,CSA,América-RN,1,0,0,0,0,0
brasil-copa-do-nordeste-2023,FINAL,2023-01-08,Vitória,Jacuipense,1,0,1,0,,
brasil-copa-do-nordeste-2023,SEMIFINAIS,2023-01-05,Botafogo-PB,Retrô,1,0,0,0,0,0
brasil-copa-do-nordeste-2023,SEMIFINAIS,2023-01-05,Santa Cruz,Caucaia,2,0,0,0,,
brasil-copa-do-nordeste-2023,SEMIFINAIS,2023-01-05,América-RN,Moto Club,5,0,3,0,,
brasil-copa-do-nordeste-2023,SEMIFINAIS,2023-01-05,Confiança,Sousa,1,0,1,0,,
brasil-copa-do-nordeste-2023,SEMIFINAIS,2023-01-05,CSA,Potiguar,2,1,0,0,,
brasil-copa-do-nordeste-2023,SEMIFINAIS,2023-01-05,Ferroviário,ASA,2,1,1,1,1,1
brasil-copa-do-nordeste-2023,SEMIFINAIS,2023-01-05,Jacuipense,AE Altos,4,1,2,1,,
brasil-copa-do-nordeste-2023,SEMIFINAIS,2023-01-05,Vitória,Cordino Esporte Clube,2,1,1,1,,
