Campeonato,Rodada,Data,Home,Away,Gols_home,Gols_away,Gols_1T_home,Gols_1T_away,Gols_2T_home,Gols_2T_away
brasil-copa-sao-paulo-de-futebol-junior-2019,FINAL,2019-01-25,São Paulo U20,Vasco U20,3,2,1,0,2,2
brasil-copa-sao-paulo-de-futebol-junior-2019,SEMIFINAIS,2019-01-22,Corinthians U20,Vasco U20,2,3,1,2,2,2
brasil-copa-sao-paulo-de-futebol-junior-2019,SEMIFINAIS,2019-01-22,São Paulo U20,Guarani U20,5,2,1,0,,
brasil-copa-sao-paulo-de-futebol-junior-2019,QUARTAS DE FINAL,2019-01-18,Corinthians U20,Grêmio U20,2,1,1,0,,
brasil-copa-sao-paulo-de-futebol-junior-2019,QUARTAS DE FINAL,2019-01-18,Vasco U20,Volta Redonda U20,2,1,1,0,1,1
brasil-copa-sao-paulo-de-futebol-junior-2019,QUARTAS DE FINAL,2019-01-17,Cruzeiro U20,São Paulo U20,1,2,0,1,1,1
brasil-copa-sao-paulo-de-futebol-junior-2019,QUARTAS DE FINAL,2019-01-17,Guarani U20,Figueirense U20,2,1,0,0,,
brasil-copa-sao-paulo-de-futebol-junior-2019,OITAVAS DE FINAL,2019-01-16,Corinthians U20,Visão Celeste U20,8,0,3,0,,
brasil-copa-sao-paulo-de-futebol-junior-2019,OITAVAS DE FINAL,2019-01-16,Coritiba U20,Vasco U20,0,3,0,0,,
brasil-copa-sao-paulo-de-futebol-junior-2019,OITAVAS DE FINAL,2019-01-16,Grêmio U20,Audax U20,3,0,1,0,,
brasil-copa-sao-paulo-de-futebol-junior-2019,OITAVAS DE FINAL,2019-01-16,Atlético-MG U20,Volta Redonda U20,0,2,0,0,,
brasil-copa-sao-paulo-de-futebol-junior-2019,OITAVAS DE FINAL,2019-01-15,Palmeiras U20,Figueirense U20,1,2,0,1,,
brasil-copa-sao-paulo-de-futebol-junior-2019,OITAVAS DE FINAL,2019-01-15,Mirassol U20,São Paulo U20,0,3,0,1,,
brasil-copa-sao-paulo-de-futebol-junior-2019,OITAVAS DE FINAL,2019-01-15,Botafogo U20,Guarani U20,0,1,0,0,,
brasil-copa-sao-paulo-de-futebol-junior-2019,OITAVAS DE FINAL,2019-01-15,Rio Preto U20,Cruzeiro U20,0,6,0,2,,
brasil-copa-sao-paulo-de-futebol-junior-2019,16 AVOS DE FINAL,2019-01-14,Volta Redonda U20,Portuguesa U20,2,1,1,1,,
brasil-copa-sao-paulo-de-futebol-junior-2019,16 AVOS DE FINAL,2019-01-14,Corinthians U20,Red Bull Brasil U20,3,2,2,2,2,2
brasil-copa-sao-paulo-de-futebol-junior-2019,16 AVOS DE FINAL,2019-01-14,Audax U20,Fluminense U20,1,0,1,0,,
brasil-copa-sao-paulo-de-futebol-junior-2019,16 AVOS DE FINAL,2019-01-14,Vasco U20,Manthiqueira U20,5,1,2,0,,
brasil-copa-sao-paulo-de-futebol-junior-2019,16 AVOS DE FINAL,2019-01-14,Primavera U20,Visão Celeste U20,1,2,1,1,1,1
brasil-copa-sao-paulo-de-futebol-junior-2019,16 AVOS DE FINAL,2019-01-14,São Caetano U20,Coritiba U20,2,3,0,1,2,2
brasil-copa-sao-paulo-de-futebol-junior-2019,16 AVOS DE FINAL,2019-01-14,Atlético-MG U20,Água Santa U20,1,0,1,0,,
