Campeonato,Rodada,Data,Home,Away,Gols_home,Gols_away,GOLS_1T_HOME,GOLS_1T_AWAY,GOLS_2T_HOME,GOLS_2T_AWAY
brasil-serie-a-2023,RODADA 27,2023-10-18,Bahia,Internacional,1,0,1,0,,
brasil-serie-a-2023,RODADA 27,2023-10-18,Goiás,São Paulo,2,0,2,0,,
brasil-serie-a-2023,RODADA 27,2023-10-18,Vasco,Fortaleza,1,0,0,0,,
brasil-serie-a-2023,RODADA 27,2023-10-18,América-MG,Botafogo,1,2,1,1,,
brasil-serie-a-2023,RODADA 27,2023-10-18,Coritiba,Cuiabá,0,3,0,1,,
brasil-serie-a-2023,RODADA 27,2023-10-18,Grêmio,Athletico-PR,1,2,1,1,,
brasil-serie-a-2023,RODADA 26,2023-10-14,Cuiabá,Cruzeiro,0,0,0,0,,
brasil-serie-a-2023,RODADA 26,2023-10-08,Athletico-PR,Red Bull Bragantino,1,1,1,1,,
brasil-serie-a-2023,RODADA 26,2023-10-08,Atlético-MG,Coritiba,1,2,0,0,,
brasil-serie-a-2023,RODADA 26,2023-10-08,Fortaleza,América-MG,3,2,1,2,,
brasil-serie-a-2023,RODADA 26,2023-10-08,Fluminense,Botafogo,0,2,0,2,,
brasil-serie-a-2023,RODADA 26,2023-10-08,Internacional,Grêmio,3,2,1,0,,
brasil-serie-a-2023,RODADA 26,2023-10-08,Palmeiras,Santos,1,2,1,1,,
brasil-serie-a-2023,RODADA 26,2023-10-07,Corinthians,Flamengo,1,1,0,0,,
brasil-serie-a-2023,RODADA 26,2023-10-07,Vasco,São Paulo,0,0,0,0,,
brasil-serie-a-2023,RODADA 26,2023-10-07,Goiás,Bahia,4,6,3,3,,
brasil-serie-a-2023,RODADA 25,2023-10-02,Botafogo,Goiás,1,1,0,1,,
brasil-serie-a-2023,RODADA 25,2023-10-01,Red Bull Bragantino,Palmeiras,2,1,0,1,,
brasil-serie-a-2023,RODADA 25,2023-10-01,Coritiba,Athletico-PR,2,0,2,0,,
brasil-serie-a-2023,RODADA 25,2023-10-01,Cruzeiro,América-MG,1,1,1,1,,
brasil-serie-a-2023,RODADA 25,2023-10-01,Santos,Vasco,4,1,3,1,,
brasil-serie-a-2023,RODADA 25,2023-09-30,Internacional,Atlético-MG,0,2,0,0,,
brasil-serie-a-2023,RODADA 25,2023-09-30,Cuiabá,Fluminense,3,0,0,0,,
brasil-serie-a-2023,RODADA 25,2023-09-30,São Paulo,Corinthians,2,1,2,1,,
brasil-serie-a-2023,RODADA 25,2023-09-30,Flamengo,Bahia,1,0,0,0,,
brasil-serie-a-2023,RODADA 25,2023-09-30,Fortaleza,Grêmio,1,1,1,0,,
brasil-serie-a-2023,RODADA 22,2023-09-27,São Paulo,Coritiba,2,1,2,1,,
brasil-serie-a-2023,RODADA 15,2023-09-25,América-MG,Vasco,0,1,0,0,,
brasil-serie-a-2023,RODADA 24,2023-09-23,Atlético-MG,Cuiabá,1,0,1,0,,
brasil-serie-a-2023,RODADA 24,2023-09-22,Corinthians,Botafogo,1,0,0,0,,
brasil-serie-a-2023,RODADA 24,2023-09-21,Grêmio,Palmeiras,1,0,1,0,,
brasil-serie-a-2023,RODADA 24,2023-09-21,Athletico-PR,Internacional,2,1,1,1,,
brasil-serie-a-2023,RODADA 24,2023-09-21,Vasco,Coritiba,5,1,2,0,,
brasil-serie-a-2023,RODADA 24,2023-09-20,Fluminense,Cruzeiro,1,0,0,0,,
brasil-serie-a-2023,RODADA 24,2023-09-20,São Paulo,Fortaleza,1,2,0,1,,
brasil-serie-a-2023,RODADA 24,2023-09-20,Goiás,Flamengo,0,0,0,0,,
brasil-serie-a-2023,RODADA 24,2023-09-19,América-MG,Red Bull Bragantino,0,2,0,1,,
brasil-serie-a-2023,RODADA 15,2023-09-18,Corinthians,Grêmio,4,4,3,2,,
brasil-serie-a-2023,RODADA 24,2023-09-18,Bahia,Santos,1,2,0,0,,
brasil-serie-a-2023,RODADA 23,2023-09-16,Atlético-MG,Botafogo,1,0,0,0,,
brasil-serie-a-2023,RODADA 23,2023-09-16,Vasco,Fluminense,4,2,1,0,,
brasil-serie-a-2023,RODADA 23,2023-09-15,Palmeiras,Goiás,1,0,0,0,,
brasil-serie-a-2023,RODADA 23,2023-09-15,Cuiabá,América-MG,2,2,2,2,,
brasil-serie-a-2023,RODADA 23,2023-09-14,Red Bull Bragantino,Grêmio,2,0,2,0,,
brasil-serie-a-2023,RODADA 23,2023-09-14,Coritiba,Bahia,2,4,1,3,,
brasil-serie-a-2023,RODADA 23,2023-09-14,Fortaleza,Corinthians,2,1,1,1,,
brasil-serie-a-2023,RODADA 23,2023-09-14,Santos,Cruzeiro,0,3,0,1,,
brasil-serie-a-2023,RODADA 23,2023-09-13,Flamengo,Athletico-PR,0,3,0,1,,
brasil-serie-a-2023,RODADA 23,2023-09-13,Internacional,São Paulo,2,1,0,1,,
brasil-serie-a-2023,RODADA 22,2023-09-03,América-MG,Santos,2,0,1,0,,
brasil-serie-a-2023,RODADA 22,2023-09-03,Bahia,Vasco,1,1,1,0,,
brasil-serie-a-2023,RODADA 22,2023-09-03,Cruzeiro,Red Bull Bragantino,0,0,0,0,,
brasil-serie-a-2023,RODADA 22,2023-09-03,Corinthians,Palmeiras,0,0,0,0,,
brasil-serie-a-2023,RODADA 22,2023-09-03,Fluminense,Fortaleza,1,0,0,0,,
brasil-serie-a-2023,RODADA 22,2023-09-03,Grêmio,Cuiabá,2,0,1,0,,
brasil-serie-a-2023,RODADA 22,2023-09-02,Botafogo,Flamengo,1,2,1,1,,
brasil-serie-a-2023,RODADA 22,2023-09-02,Athletico-PR,Atlético-MG,1,1,0,1,,
brasil-serie-a-2023,RODADA 22,2023-09-02,Goiás,Internacional,0,0,0,0,,
brasil-serie-a-2023,RODADA 21,2023-08-27,Grêmio,Cruzeiro,3,0,1,0,,
