Campeonato,Rodada,Data,Home,Away,Gols_home,Gols_away,Gols_1T_home,Gols_1T_away,Gols_2T_home,Gols_2T_away
brasil-serie-a-2019,RODADA 38,2019-12-08,Avaí,Athletico-PR,0,0,0,0,,
brasil-serie-a-2019,RODADA 38,2019-12-08,Botafogo,Ceará,1,1,1,0,,
brasil-serie-a-2019,RODADA 38,2019-12-08,Corinthians,Fluminense,1,2,0,2,,
brasil-serie-a-2019,RODADA 38,2019-12-08,Cruzeiro,Palmeiras,0,2,0,0,,
brasil-serie-a-2019,RODADA 38,2019-12-08,CSA,São Paulo,1,2,1,2,,
brasil-serie-a-2019,RODADA 38,2019-12-08,Fortaleza,Bahia,2,1,1,1,,
brasil-serie-a-2019,RODADA 38,2019-12-08,Goiás,Grêmio,3,2,2,2,,
brasil-serie-a-2019,RODADA 38,2019-12-08,Internacional,Atlético-MG,2,1,0,1,,
brasil-serie-a-2019,RODADA 38,2019-12-08,Santos,Flamengo,4,0,2,0,,
brasil-serie-a-2019,RODADA 38,2019-12-08,Vasco,Chapecoense,1,1,0,0,,
brasil-serie-a-2019,RODADA 37,2019-12-05,Flamengo,Avaí,6,1,3,1,,
brasil-serie-a-2019,RODADA 37,2019-12-05,Bahia,Vasco,1,1,1,0,,
brasil-serie-a-2019,RODADA 37,2019-12-05,Grêmio,Cruzeiro,2,0,0,0,,
brasil-serie-a-2019,RODADA 37,2019-12-05,Palmeiras,Goiás,5,1,2,1,,
brasil-serie-a-2019,RODADA 37,2019-12-04,Fluminense,Fortaleza,0,0,0,0,,
brasil-serie-a-2019,RODADA 37,2019-12-04,São Paulo,Internacional,2,1,1,0,,
brasil-serie-a-2019,RODADA 37,2019-12-04,Chapecoense,CSA,3,0,1,0,,
brasil-serie-a-2019,RODADA 37,2019-12-04,Atlético-MG,Botafogo,2,0,1,0,,
brasil-serie-a-2019,RODADA 37,2019-12-04,Ceará,Corinthians,0,1,0,0,,
brasil-serie-a-2019,RODADA 37,2019-12-04,Athletico-PR,Santos,1,0,0,0,,
brasil-serie-a-2019,RODADA 36,2019-12-02,Vasco,Cruzeiro,1,0,1,0,,
brasil-serie-a-2019,RODADA 36,2019-12-01,Grêmio,São Paulo,3,0,0,0,,
brasil-serie-a-2019,RODADA 36,2019-12-01,Santos,Chapecoense,2,0,1,0,,
brasil-serie-a-2019,RODADA 36,2019-12-01,Atlético-MG,Corinthians,2,1,1,1,,
brasil-serie-a-2019,RODADA 36,2019-12-01,CSA,Bahia,1,2,0,1,,
brasil-serie-a-2019,RODADA 36,2019-12-01,Avaí,Fluminense,1,1,0,1,,
brasil-serie-a-2019,RODADA 36,2019-12-01,Goiás,Fortaleza,1,2,1,2,,
brasil-serie-a-2019,RODADA 36,2019-12-01,Palmeiras,Flamengo,1,3,0,2,,
brasil-serie-a-2019,RODADA 36,2019-11-30,Botafogo,Internacional,0,1,0,0,,
brasil-serie-a-2019,RODADA 36,2019-11-30,Ceará,Athletico-PR,1,1,0,0,,
brasil-serie-a-2019,RODADA 35,2019-11-28,Cruzeiro,CSA,0,1,0,1,,
brasil-serie-a-2019,RODADA 35,2019-11-28,São Paulo,Vasco,1,0,1,0,,
brasil-serie-a-2019,RODADA 35,2019-11-28,Fortaleza,Santos,2,1,0,0,,
brasil-serie-a-2019,RODADA 35,2019-11-28,Fluminense,Palmeiras,1,0,1,0,,
brasil-serie-a-2019,RODADA 35,2019-11-27,Athletico-PR,Grêmio,2,0,1,0,,
brasil-serie-a-2019,RODADA 35,2019-11-27,Corinthians,Avaí,3,0,1,0,,
brasil-serie-a-2019,RODADA 35,2019-11-27,Flamengo,Ceará,4,1,0,1,,
brasil-serie-a-2019,RODADA 35,2019-11-27,Bahia,Atlético-MG,1,1,0,0,,
brasil-serie-a-2019,RODADA 35,2019-11-27,Chapecoense,Botafogo,0,1,0,0,,
brasil-serie-a-2019,RODADA 35,2019-11-27,Internacional,Goiás,1,2,0,1,,
brasil-serie-a-2019,RODADA 34,2019-11-25,CSA,Fluminense,0,1,0,0,,
brasil-serie-a-2019,RODADA 34,2019-11-24,Avaí,Chapecoense,0,1,0,0,,
brasil-serie-a-2019,RODADA 34,2019-11-24,Ceará,São Paulo,1,1,0,1,,
brasil-serie-a-2019,RODADA 34,2019-11-24,Internacional,Fortaleza,2,2,1,1,,
brasil-serie-a-2019,RODADA 34,2019-11-24,Botafogo,Corinthians,1,0,1,0,,
brasil-serie-a-2019,RODADA 34,2019-11-24,Atlético-MG,Athletico-PR,0,1,0,0,,
brasil-serie-a-2019,RODADA 34,2019-11-24,Goiás,Bahia,4,3,2,0,,
brasil-serie-a-2019,RODADA 34,2019-11-24,Palmeiras,Grêmio,1,2,0,0,,
