Campeonato,Rodada,Data,Home,Away,Gols_home,Gols_away,GOLS_1T_HOME,GOLS_1T_AWAY,GOLS_2T_HOME,GOLS_2T_AWAY
brasil-serie-b-2023,RODADA 33,2023-10-20,Mirassol,Guarani,0,0,0,0,,
brasil-serie-b-2023,RODADA 33,2023-10-20,Sampaio Corrêa,Vitória,0,1,0,1,,
brasil-serie-b-2023,RODADA 33,2023-10-19,Atlético-GO,ABC,3,1,1,0,,
brasil-serie-b-2023,RODADA 33,2023-10-19,Tombense,Vila Nova,2,1,0,1,,
brasil-serie-b-2023,RODADA 32,2023-10-16,Juventude,Sport,2,2,1,1,,
brasil-serie-b-2023,RODADA 32,2023-10-15,Londrina,Avaí,1,1,1,0,,
brasil-serie-b-2023,RODADA 32,2023-10-15,Vitória,Guarani,2,0,1,0,,
brasil-serie-b-2023,RODADA 32,2023-10-15,Ponte Preta,Atlético-GO,0,2,0,1,,
brasil-serie-b-2023,RODADA 32,2023-10-14,Ceará,Sampaio Corrêa,0,0,0,0,,
brasil-serie-b-2023,RODADA 32,2023-10-14,Ituano,CRB,0,0,0,0,,
brasil-serie-b-2023,RODADA 32,2023-10-14,Novorizontino,Tombense,0,0,0,0,,
brasil-serie-b-2023,RODADA 32,2023-10-13,Criciúma,Chapecoense,1,2,0,1,,
brasil-serie-b-2023,RODADA 32,2023-10-11,Vila Nova,Botafogo-SP,3,1,2,0,,
brasil-serie-b-2023,RODADA 32,2023-10-10,ABC,Mirassol,1,2,0,2,,
brasil-serie-b-2023,RODADA 31,2023-10-09,Sport,Ponte Preta,3,3,1,3,,
brasil-serie-b-2023,RODADA 31,2023-10-08,Criciúma,Vitória,1,0,1,0,,
brasil-serie-b-2023,RODADA 31,2023-10-07,Guarani,Vila Nova,1,1,0,1,,
brasil-serie-b-2023,RODADA 31,2023-10-07,Botafogo-SP,Avaí,0,1,0,0,,
brasil-serie-b-2023,RODADA 31,2023-10-07,Sampaio Corrêa,Novorizontino,1,1,0,0,,
brasil-serie-b-2023,RODADA 31,2023-10-07,Tombense,Juventude,1,1,1,0,,
brasil-serie-b-2023,RODADA 31,2023-10-06,Atlético-GO,Ituano,1,0,1,0,,
brasil-serie-b-2023,RODADA 31,2023-10-06,CRB,Ceará,2,0,1,0,,
brasil-serie-b-2023,RODADA 31,2023-10-05,Chapecoense,ABC,0,0,0,0,,
brasil-serie-b-2023,RODADA 31,2023-10-03,Mirassol,Londrina,2,0,2,0,,
brasil-serie-b-2023,RODADA 30,2023-10-01,Ceará,Atlético-GO,0,1,0,0,,
brasil-serie-b-2023,RODADA 30,2023-10-01,Vila Nova,Chapecoense,0,0,0,0,,
brasil-serie-b-2023,RODADA 30,2023-09-30,ABC,Ponte Preta,2,0,0,0,,
brasil-serie-b-2023,RODADA 30,2023-09-30,Guarani,Novorizontino,2,1,1,1,,
brasil-serie-b-2023,RODADA 30,2023-09-30,Ituano,Botafogo-SP,1,1,1,1,,
brasil-serie-b-2023,RODADA 30,2023-09-30,Juventude,Criciúma,1,0,0,0,,
brasil-serie-b-2023,RODADA 30,2023-09-29,Vitória,Tombense,1,0,0,0,,
brasil-serie-b-2023,RODADA 30,2023-09-29,Avaí,Sport,2,2,2,1,,
brasil-serie-b-2023,RODADA 30,2023-09-28,Londrina,Sampaio Corrêa,1,0,1,0,,
brasil-serie-b-2023,RODADA 30,2023-09-28,Mirassol,CRB,1,0,1,0,,
brasil-serie-b-2023,RODADA 29,2023-09-25,Novorizontino,ABC,2,1,2,0,,
brasil-serie-b-2023,RODADA 29,2023-09-25,Avaí,Juventude,0,2,0,2,,
brasil-serie-b-2023,RODADA 29,2023-09-23,Sport,Londrina,4,0,1,0,,
brasil-serie-b-2023,RODADA 29,2023-09-23,Tombense,Botafogo-SP,0,0,0,0,,
brasil-serie-b-2023,RODADA 29,2023-09-23,Chapecoense,Ceará,1,1,1,0,,
brasil-serie-b-2023,RODADA 29,2023-09-23,CRB,Guarani,1,0,0,0,,
brasil-serie-b-2023,RODADA 29,2023-09-22,Atlético-GO,Criciúma,3,1,0,0,,
brasil-serie-b-2023,RODADA 29,2023-09-22,Ituano,Vitória,0,2,0,1,,
brasil-serie-b-2023,RODADA 29,2023-09-22,Ponte Preta,Mirassol,0,3,0,1,,
brasil-serie-b-2023,RODADA 29,2023-09-19,Sampaio Corrêa,Vila Nova,2,1,1,1,,
brasil-serie-b-2023,RODADA 28,2023-09-18,Novorizontino,Ceará,4,1,3,0,,
brasil-serie-b-2023,RODADA 28,2023-09-17,Vitória,Avaí,3,0,1,0,,
brasil-serie-b-2023,RODADA 28,2023-09-17,Guarani,Tombense,3,0,2,0,,
brasil-serie-b-2023,RODADA 28,2023-09-16,Juventude,CRB,3,1,0,0,,
brasil-serie-b-2023,RODADA 28,2023-09-16,Botafogo-SP,Atlético-GO,1,0,1,0,,
brasil-serie-b-2023,RODADA 28,2023-09-16,Sampaio Corrêa,Chapecoense,2,0,2,0,,
brasil-serie-b-2023,RODADA 28,2023-09-16,Criciúma,Mirassol,2,1,1,1,,
brasil-serie-b-2023,RODADA 28,2023-09-15,ABC,Sport,0,1,0,0,,
brasil-serie-b-2023,RODADA 28,2023-09-15,Vila Nova,Ponte Preta,1,1,1,1,,
brasil-serie-b-2023,RODADA 28,2023-09-14,Londrina,Ituano,2,2,2,2,,
brasil-serie-b-2023,RODADA 27,2023-09-11,Avaí,Novorizontino,1,0,0,0,,
brasil-serie-b-2023,RODADA 27,2023-09-10,CRB,Vitória,6,0,3,0,,
brasil-serie-b-2023,RODADA 27,2023-09-10,Atlético-GO,Juventude,3,0,1,0,,
brasil-serie-b-2023,RODADA 27,2023-09-09,Sport,Criciúma,3,3,2,1,,
brasil-serie-b-2023,RODADA 27,2023-09-09,Mirassol,Botafogo-SP,1,0,0,0,,
brasil-serie-b-2023,RODADA 27,2023-09-09,Ponte Preta,Sampaio Corrêa,0,0,0,0,,
brasil-serie-b-2023,RODADA 27,2023-09-08,Ituano,Vila Nova,1,2,0,2,,
brasil-serie-b-2023,RODADA 27,2023-09-07,Tombense,ABC,3,0,1,0,,
brasil-serie-b-2023,RODADA 27,2023-09-06,Ceará,Londrina,3,1,3,1,,
brasil-serie-b-2023,RODADA 27,2023-09-05,Chapecoense,Guarani,0,1,0,1,,
brasil-serie-b-2023,RODADA 26,2023-09-03,Botafogo-SP,Sport,1,1,1,1,,
brasil-serie-b-2023,RODADA 26,2023-09-03,Vila Nova,CRB,0,1,0,0,,
brasil-serie-b-2023,RODADA 26,2023-09-02,Guarani,Ponte Preta,1,0,1,0,,
brasil-serie-b-2023,RODADA 26,2023-09-02,ABC,Sampaio Corrêa,1,1,0,1,,
brasil-serie-b-2023,RODADA 26,2023-09-02,Ceará,Criciúma,1,0,1,0,,
brasil-serie-b-2023,RODADA 26,2023-09-02,Avaí,Atlético-GO,0,2,0,1,,
brasil-serie-b-2023,RODADA 26,2023-09-01,Londrina,Tombense,1,1,0,1,,
brasil-serie-b-2023,RODADA 26,2023-09-01,Vitória,Mirassol,0,0,0,0,,
brasil-serie-b-2023,RODADA 26,2023-08-31,Juventude,Chapecoense,0,0,0,0,,
brasil-serie-b-2023,RODADA 26,2023-08-30,Novorizontino,Ituano,2,0,1,0,,
brasil-serie-b-2023,RODADA 25,2023-08-28,Botafogo-SP,ABC,0,0,0,0,,
brasil-serie-b-2023,RODADA 25,2023-08-27,Atlético-GO,Vitória,0,0,0,0,,
brasil-serie-b-2023,RODADA 25,2023-08-27,Chapecoense,Avaí,0,0,0,0,,
brasil-serie-b-2023,RODADA 25,2023-08-26,CRB,Novorizontino,1,0,1,0,,
brasil-serie-b-2023,RODADA 25,2023-08-26,Sampaio Corrêa,Guarani,1,1,0,1,,
brasil-serie-b-2023,RODADA 25,2023-08-26,Tombense,Ceará,2,2,0,2,,
brasil-serie-b-2023,RODADA 25,2023-08-25,Sport,Ituano,1,2,0,2,,
brasil-serie-b-2023,RODADA 25,2023-08-25,Ponte Preta,Londrina,1,0,1,0,,
brasil-serie-b-2023,RODADA 17,2023-08-23,Botafogo-SP,Chapecoense,1,2,0,2,,
brasil-serie-b-2023,RODADA 17,2023-08-23,CRB,Avaí,1,1,1,0,,
brasil-serie-b-2023,RODADA 25,2023-08-22,Criciúma,Vila Nova,1,0,1,0,,
brasil-serie-b-2023,RODADA 25,2023-08-22,Mirassol,Juventude,0,1,0,0,,
brasil-serie-b-2023,RODADA 24,2023-08-20,Ceará,Ponte Preta,1,1,0,0,,
brasil-serie-b-2023,RODADA 24,2023-08-20,Novorizontino,Chapecoense,1,2,1,0,,
brasil-serie-b-2023,RODADA 24,2023-08-19,Juventude,Sampaio Corrêa,0,0,0,0,,
brasil-serie-b-2023,RODADA 24,2023-08-19,ABC,CRB,1,2,0,1,,
brasil-serie-b-2023,RODADA 24,2023-08-19,Ituano,Criciúma,3,0,2,0,,
brasil-serie-b-2023,RODADA 24,2023-08-19,Avaí,Tombense,4,2,1,1,,
brasil-serie-b-2023,RODADA 24,2023-08-18,Guarani,Sport,3,1,3,1,,
brasil-serie-b-2023,RODADA 24,2023-08-18,Vitória,Botafogo-SP,2,0,0,0,,
brasil-serie-b-2023,RODADA 24,2023-08-17,Vila Nova,Mirassol,2,0,2,0,,
brasil-serie-b-2023,RODADA 24,2023-08-17,Londrina,Atlético-GO,0,2,0,0,,
brasil-serie-b-2023,RODADA 23,2023-08-14,ABC,Ituano,1,1,0,0,,
brasil-serie-b-2023,RODADA 23,2023-08-13,Vitória,Ceará,1,0,1,0,,
brasil-serie-b-2023,RODADA 23,2023-08-13,Guarani,Juventude,0,1,0,0,,
brasil-serie-b-2023,RODADA 23,2023-08-13,Chapecoense,Atlético-GO,0,1,0,0,,
brasil-serie-b-2023,RODADA 23,2023-08-12,Vila Nova,Avaí,1,1,0,1,,
brasil-serie-b-2023,RODADA 23,2023-08-12,Botafogo-SP,Ponte Preta,0,0,0,0,,
brasil-serie-b-2023,RODADA 23,2023-08-12,Sampaio Corrêa,CRB,1,1,0,0,,
brasil-serie-b-2023,RODADA 23,2023-08-12,Criciúma,Londrina,2,0,1,0,,
brasil-serie-b-2023,RODADA 23,2023-08-11,Tombense,Sport,0,0,0,0,,
brasil-serie-b-2023,RODADA 23,2023-08-11,Novorizontino,Mirassol,2,1,1,1,,
brasil-serie-b-2023,RODADA 22,2023-08-07,Atlético-GO,Tombense,3,2,0,2,,
brasil-serie-b-2023,RODADA 22,2023-08-07,Londrina,Vitória,2,0,0,0,,
brasil-serie-b-2023,RODADA 22,2023-08-07,Juventude,Vila Nova,0,2,0,0,,
brasil-serie-b-2023,RODADA 22,2023-08-06,Ceará,ABC,1,0,1,0,,
brasil-serie-b-2023,RODADA 22,2023-08-06,Ponte Preta,Chapecoense,1,0,0,0,,
brasil-serie-b-2023,RODADA 22,2023-08-05,Sport,Novorizontino,1,0,0,0,,
brasil-serie-b-2023,RODADA 22,2023-08-05,CRB,Botafogo-SP,0,0,0,0,,
brasil-serie-b-2023,RODADA 22,2023-08-05,Ituano,Guarani,1,1,0,1,,
brasil-serie-b-2023,RODADA 22,2023-08-05,Avaí,Criciúma,1,0,1,0,,
brasil-serie-b-2023,RODADA 22,2023-08-04,Mirassol,Sampaio Corrêa,0,0,0,0,,
brasil-serie-b-2023,RODADA 21,2023-08-02,Guarani,Ceará,0,0,0,0,,
brasil-serie-b-2023,RODADA 21,2023-08-02,Juventude,Novorizontino,1,0,1,0,,
brasil-serie-b-2023,RODADA 21,2023-08-02,Londrina,Chapecoense,1,1,1,0,,
