Campeonato,Rodada,Data,Home,Away,Gols_home,Gols_away,Gols_1T_home,Gols_1T_away,Gols_2T_home,Gols_2T_away
brasil-serie-b-2022,RODADA 38,2022-11-06,CRB,Bahia,1,2,0,1,,
brasil-serie-b-2022,RODADA 38,2022-11-06,Cruzeiro,CSA,3,2,1,1,,
brasil-serie-b-2022,RODADA 38,2022-11-06,Ituano,Vasco,0,1,0,1,,
brasil-serie-b-2022,RODADA 38,2022-11-06,Operário,Novorizontino,0,3,0,2,,
brasil-serie-b-2022,RODADA 38,2022-11-06,Vila Nova,Sport,0,0,0,0,,
brasil-serie-b-2022,RODADA 38,2022-11-06,Guarani,Chapecoense,1,0,0,0,,
brasil-serie-b-2022,RODADA 38,2022-11-05,Sampaio Corrêa,Londrina,2,1,0,1,,
brasil-serie-b-2022,RODADA 38,2022-11-05,Criciúma,Tombense,2,0,1,0,,
brasil-serie-b-2022,RODADA 38,2022-11-04,Náutico,Ponte Preta,0,1,0,0,,
brasil-serie-b-2022,RODADA 38,2022-11-03,Grêmio,Brusque,3,0,2,0,,
brasil-serie-b-2022,RODADA 37,2022-10-29,Chapecoense,Náutico,1,0,1,0,,
brasil-serie-b-2022,RODADA 37,2022-10-28,Ponte Preta,Criciúma,1,1,1,1,,
brasil-serie-b-2022,RODADA 37,2022-10-28,Bahia,Guarani,1,1,1,0,,
brasil-serie-b-2022,RODADA 37,2022-10-28,Londrina,Ituano,0,2,0,1,,
brasil-serie-b-2022,RODADA 37,2022-10-28,Sport,Operário,5,1,3,0,,
brasil-serie-b-2022,RODADA 37,2022-10-28,Tombense,Grêmio,2,2,1,2,,
brasil-serie-b-2022,RODADA 37,2022-10-27,Vasco,Sampaio Corrêa,2,3,1,1,,
brasil-serie-b-2022,RODADA 37,2022-10-27,Novorizontino,Cruzeiro,1,4,1,2,,
brasil-serie-b-2022,RODADA 37,2022-10-25,CSA,Vila Nova,1,0,1,0,,
brasil-serie-b-2022,RODADA 37,2022-10-25,Brusque,CRB,0,0,0,0,,
brasil-serie-b-2022,RODADA 36,2022-10-23,Náutico,Grêmio,0,3,0,1,,
brasil-serie-b-2022,RODADA 36,2022-10-22,Bahia,Vila Nova,1,1,0,0,,
brasil-serie-b-2022,RODADA 36,2022-10-22,Ituano,Sampaio Corrêa,1,0,0,0,,
brasil-serie-b-2022,RODADA 36,2022-10-22,Londrina,Sport,2,1,0,1,,
brasil-serie-b-2022,RODADA 36,2022-10-22,Vasco,Criciúma,2,1,0,1,,
