Campeonato,Rodada,Data,Home,Away,Gols_home,Gols_away,GOLS_1T_HOME,GOLS_1T_AWAY,GOLS_2T_HOME,GOLS_2T_AWAY
brasil-serie-c-2023,FINAL,2023-10-15,Amazonas,Brusque,0,0,0,0,,
brasil-serie-c-2023,RODADA 6,2023-10-08,Brusque,São José,0,0,0,0,,
brasil-serie-c-2023,RODADA 6,2023-10-08,Operário,São Bernardo,1,0,0,0,,
brasil-serie-c-2023,RODADA 6,2023-10-07,Amazonas,Botafogo-PB,2,0,2,0,,
brasil-serie-c-2023,RODADA 6,2023-10-07,Volta Redonda,Paysandu,1,0,0,0,,
brasil-serie-c-2023,RODADA 5,2023-10-01,Paysandu,Amazonas,1,2,1,1,,
brasil-serie-c-2023,RODADA 5,2023-10-01,São José,Operário,1,1,1,0,,
brasil-serie-c-2023,RODADA 5,2023-09-30,Botafogo-PB,Volta Redonda,1,2,0,0,,
brasil-serie-c-2023,RODADA 5,2023-09-30,São Bernardo,Brusque,2,0,0,0,,
brasil-serie-c-2023,RODADA 4,2023-09-23,Operário,Brusque,1,2,1,0,,
brasil-serie-c-2023,RODADA 4,2023-09-23,Volta Redonda,Amazonas,0,2,0,1,,
brasil-serie-c-2023,RODADA 4,2023-09-23,Botafogo-PB,Paysandu,2,3,2,2,,
brasil-serie-c-2023,RODADA 4,2023-09-23,São José,São Bernardo,2,1,1,1,,
brasil-serie-c-2023,RODADA 3,2023-09-17,Brusque,Operário,4,3,1,1,,
brasil-serie-c-2023,RODADA 3,2023-09-17,Paysandu,Botafogo-PB,1,0,0,0,,
brasil-serie-c-2023,RODADA 3,2023-09-16,Amazonas,Volta Redonda,2,0,1,0,,
brasil-serie-c-2023,RODADA 3,2023-09-16,São Bernardo,São José,1,1,1,0,,
brasil-serie-c-2023,RODADA 2,2023-09-10,Volta Redonda,Botafogo-PB,2,1,0,0,,
brasil-serie-c-2023,RODADA 2,2023-09-10,Operário,São José,2,0,1,0,,
brasil-serie-c-2023,RODADA 2,2023-09-09,Brusque,São Bernardo,1,0,0,0,,
brasil-serie-c-2023,RODADA 2,2023-09-09,Amazonas,Paysandu,0,1,0,1,,
brasil-serie-c-2023,RODADA 1,2023-09-03,Botafogo-PB,Amazonas,2,1,1,0,,
brasil-serie-c-2023,RODADA 1,2023-09-03,Paysandu,Volta Redonda,1,1,1,1,,
brasil-serie-c-2023,RODADA 1,2023-09-03,São Bernardo,Operário,2,1,1,1,,
brasil-serie-c-2023,RODADA 1,2023-09-02,São José,Brusque,1,2,1,1,,
brasil-serie-c-2023,RODADA 19,2023-08-26,Amazonas,CSA,1,0,0,0,,
brasil-serie-c-2023,RODADA 19,2023-08-26,Aparecidense,Volta Redonda,2,3,0,3,,
brasil-serie-c-2023,RODADA 19,2023-08-26,Confiança,Paysandu,1,0,1,0,,
brasil-serie-c-2023,RODADA 19,2023-08-26,Figueirense,Manaus,0,0,0,0,,
brasil-serie-c-2023,RODADA 19,2023-08-26,Floresta EC,América-RN,1,0,0,0,,
brasil-serie-c-2023,RODADA 19,2023-08-26,Náutico,São Bernardo,2,2,0,1,,
brasil-serie-c-2023,RODADA 19,2023-08-26,Operário,Brusque,1,0,1,0,,
brasil-serie-c-2023,RODADA 19,2023-08-26,Pouso Alegre,São José,1,2,0,1,,
brasil-serie-c-2023,RODADA 19,2023-08-26,Remo,AE Altos,3,1,1,1,,
brasil-serie-c-2023,RODADA 19,2023-08-26,Ypiranga,Botafogo-PB,1,1,0,0,,
brasil-serie-c-2023,RODADA 18,2023-08-21,América-RN,Aparecidense,0,0,0,0,,
brasil-serie-c-2023,RODADA 18,2023-08-21,São Bernardo,Ypiranga,1,0,0,0,,
brasil-serie-c-2023,RODADA 18,2023-08-20,Paysandu,Pouso Alegre,2,1,1,1,,
brasil-serie-c-2023,RODADA 18,2023-08-20,Volta Redonda,Figueirense,2,0,0,0,,
brasil-serie-c-2023,RODADA 18,2023-08-20,CSA,Remo,0,0,0,0,,
brasil-serie-c-2023,RODADA 18,2023-08-20,Manaus,Floresta EC,0,0,0,0,,
brasil-serie-c-2023,RODADA 18,2023-08-19,AE Altos,Operário,0,1,0,0,,
brasil-serie-c-2023,RODADA 18,2023-08-19,São José,Amazonas,1,0,1,0,,
brasil-serie-c-2023,RODADA 18,2023-08-19,Botafogo-PB,Confiança,2,3,1,1,,
brasil-serie-c-2023,RODADA 18,2023-08-19,Brusque,Náutico,2,2,1,1,,
brasil-serie-c-2023,RODADA 17,2023-08-14,Floresta EC,Ypiranga,2,0,0,0,,
brasil-serie-c-2023,RODADA 17,2023-08-13,América-RN,Pouso Alegre,2,0,0,0,,
