Campeonato,Rodada,Data,Home,Away,Gols_home,Gols_away,Gols_1T_home,Gols_1T_away,Gols_2T_home,Gols_2T_away
brasil-serie-c-2022,FINAL,2022-10-08,Mirassol,ABC,2,0,2,0,,
brasil-serie-c-2022,FINAL,2022-10-01,ABC,Mirassol,0,0,0,0,,
brasil-serie-c-2022,RODADA 6,2022-09-25,Mirassol,Aparecidense,2,1,1,1,,
brasil-serie-c-2022,RODADA 6,2022-09-25,Volta Redonda,Botafogo-SP,1,2,0,1,,
brasil-serie-c-2022,RODADA 6,2022-09-24,Figueirense,ABC,0,0,0,0,,
brasil-serie-c-2022,RODADA 6,2022-09-24,Paysandu,Vitória,1,1,0,0,,
brasil-serie-c-2022,RODADA 5,2022-09-19,Botafogo-SP,Mirassol,1,1,0,1,,
brasil-serie-c-2022,RODADA 5,2022-09-18,Vitória,Figueirense,1,0,1,0,,
brasil-serie-c-2022,RODADA 5,2022-09-17,ABC,Paysandu,1,0,0,0,,
brasil-serie-c-2022,RODADA 5,2022-09-17,Aparecidense,Volta Redonda,1,0,0,0,,
brasil-serie-c-2022,RODADA 4,2022-09-11,Mirassol,Volta Redonda,3,3,1,1,,
brasil-serie-c-2022,RODADA 4,2022-09-11,Paysandu,Figueirense,1,0,0,0,,
brasil-serie-c-2022,RODADA 4,2022-09-11,Botafogo-SP,Aparecidense,2,3,1,1,,
brasil-serie-c-2022,RODADA 4,2022-09-10,ABC,Vitória,0,0,0,0,,
brasil-serie-c-2022,RODADA 3,2022-09-04,Volta Redonda,Mirassol,1,2,0,2,,
brasil-serie-c-2022,RODADA 3,2022-09-04,Vitória,ABC,0,0,0,0,,
brasil-serie-c-2022,RODADA 3,2022-09-04,Aparecidense,Botafogo-SP,1,3,1,2,,
brasil-serie-c-2022,RODADA 3,2022-09-03,Figueirense,Paysandu,2,1,1,1,,
brasil-serie-c-2022,RODADA 2,2022-08-29,Volta Redonda,Aparecidense,1,0,1,0,,
brasil-serie-c-2022,RODADA 2,2022-08-28,Figueirense,Vitória,5,1,2,1,,
brasil-serie-c-2022,RODADA 2,2022-08-27,Mirassol,Botafogo-SP,1,0,1,0,,
brasil-serie-c-2022,RODADA 2,2022-08-27,Paysandu,ABC,0,1,0,0,,
brasil-serie-c-2022,RODADA 1,2022-08-21,Aparecidense,Mirassol,2,2,0,1,,
brasil-serie-c-2022,RODADA 1,2022-08-21,Vitória,Paysandu,1,0,0,0,,
brasil-serie-c-2022,RODADA 1,2022-08-21,Botafogo-SP,Volta Redonda,3,1,3,0,,
brasil-serie-c-2022,RODADA 1,2022-08-20,ABC,Figueirense,2,1,2,0,,
brasil-serie-c-2022,RODADA 19,2022-08-13,Aparecidense,Botafogo-PB,1,0,1,0,,
brasil-serie-c-2022,RODADA 19,2022-08-13,Botafogo-SP,Remo,2,1,1,0,,
brasil-serie-c-2022,RODADA 19,2022-08-13,Campinense,Volta Redonda,0,1,0,0,,
brasil-serie-c-2022,RODADA 19,2022-08-13,Confiança,Atlético-CE,1,0,0,0,,
brasil-serie-c-2022,RODADA 19,2022-08-13,Ferroviário,Ypiranga,1,2,0,0,,
brasil-serie-c-2022,RODADA 19,2022-08-13,Figueirense,ABC,2,1,1,1,,
brasil-serie-c-2022,RODADA 19,2022-08-13,Manaus,Mirassol,2,1,0,0,,
brasil-serie-c-2022,RODADA 19,2022-08-13,Paysandu,Floresta EC,0,1,0,1,,
brasil-serie-c-2022,RODADA 19,2022-08-13,São José,AE Altos,4,1,3,0,,
brasil-serie-c-2022,RODADA 19,2022-08-13,Vitória,Brasil de Pelotas,3,1,1,0,,
brasil-serie-c-2022,RODADA 18,2022-08-08,Botafogo-PB,Figueirense,1,1,1,1,,
brasil-serie-c-2022,RODADA 18,2022-08-07,Volta Redonda,Ferroviário,2,1,1,0,,
brasil-serie-c-2022,RODADA 18,2022-08-07,Mirassol,Vitória,1,2,0,2,,
brasil-serie-c-2022,RODADA 18,2022-08-07,Remo,Aparecidense,0,0,0,0,,
brasil-serie-c-2022,RODADA 18,2022-08-07,Floresta EC,Campinense,1,1,1,1,,
brasil-serie-c-2022,RODADA 18,2022-08-07,Brasil de Pelotas,Confiança,1,0,1,0,,
brasil-serie-c-2022,RODADA 18,2022-08-06,AE Altos,Paysandu,0,3,0,0,,
brasil-serie-c-2022,RODADA 18,2022-08-06,Ypiranga,Manaus,5,0,3,0,,
brasil-serie-c-2022,RODADA 18,2022-08-06,ABC,São José,3,2,0,1,,
brasil-serie-c-2022,RODADA 18,2022-08-06,Atlético-CE,Botafogo-SP,0,2,0,1,,
brasil-serie-c-2022,RODADA 12,2022-08-03,Botafogo-PB,Mirassol,1,1,1,1,,
brasil-serie-c-2022,RODADA 17,2022-08-01,Remo,Ferroviário,2,1,1,0,,
brasil-serie-c-2022,RODADA 17,2022-07-31,Aparecidense,Atlético-CE,1,3,1,1,,
brasil-serie-c-2022,RODADA 17,2022-07-31,Figueirense,São José,3,2,3,2,,
brasil-serie-c-2022,RODADA 17,2022-07-31,Vitória,ABC,2,2,2,1,,
brasil-serie-c-2022,RODADA 17,2022-07-31,Floresta EC,Brasil de Pelotas,2,1,0,1,,
brasil-serie-c-2022,RODADA 17,2022-07-31,Botafogo-SP,Volta Redonda,2,1,1,0,,
brasil-serie-c-2022,RODADA 17,2022-07-30,Campinense,Paysandu,1,3,0,2,,
brasil-serie-c-2022,RODADA 17,2022-07-30,Confiança,AE Altos,1,0,0,0,,
brasil-serie-c-2022,RODADA 17,2022-07-30,Manaus,Botafogo-PB,0,0,0,0,,
brasil-serie-c-2022,RODADA 17,2022-07-30,Ypiranga,Mirassol,2,1,2,1,,
brasil-serie-c-2022,RODADA 16,2022-07-25,Volta Redonda,Ypiranga,2,1,2,0,,
brasil-serie-c-2022,RODADA 16,2022-07-25,Mirassol,Confiança,3,1,2,0,,
brasil-serie-c-2022,RODADA 16,2022-07-25,Paysandu,Figueirense,1,1,0,0,,
brasil-serie-c-2022,RODADA 16,2022-07-24,Brasil de Pelotas,Aparecidense,1,2,0,1,,
brasil-serie-c-2022,RODADA 16,2022-07-24,Botafogo-PB,Remo,0,0,0,0,,
brasil-serie-c-2022,RODADA 16,2022-07-24,Ferroviário,Vitória,0,0,0,0,,
brasil-serie-c-2022,RODADA 16,2022-07-24,AE Altos,Campinense,1,0,0,0,,
brasil-serie-c-2022,RODADA 16,2022-07-23,ABC,Floresta EC,2,0,1,0,,
brasil-serie-c-2022,RODADA 16,2022-07-23,Atlético-CE,Manaus,3,1,2,1,,
brasil-serie-c-2022,RODADA 16,2022-07-23,São José,Botafogo-SP,2,1,1,1,,
brasil-serie-c-2022,RODADA 15,2022-07-18,Manaus,Volta Redonda,1,2,1,0,,
brasil-serie-c-2022,RODADA 15,2022-07-17,Remo,ABC,2,0,1,0,,
brasil-serie-c-2022,RODADA 15,2022-07-17,Confiança,São José,1,0,0,0,,
brasil-serie-c-2022,RODADA 15,2022-07-17,Aparecidense,AE Altos,2,1,1,0,,
brasil-serie-c-2022,RODADA 15,2022-07-17,Vitória,Paysandu,1,0,0,0,,
brasil-serie-c-2022,RODADA 15,2022-07-17,Brasil de Pelotas,Atlético-CE,4,1,3,0,,
brasil-serie-c-2022,RODADA 15,2022-07-16,Floresta EC,Mirassol,0,2,0,1,,
brasil-serie-c-2022,RODADA 15,2022-07-16,Ypiranga,Botafogo-PB,1,2,1,0,,
brasil-serie-c-2022,RODADA 15,2022-07-16,Campinense,Ferroviário,2,0,1,0,,
brasil-serie-c-2022,RODADA 15,2022-07-16,Figueirense,Botafogo-SP,2,1,1,1,,
brasil-serie-c-2022,RODADA 14,2022-07-11,ABC,Manaus,0,0,0,0,,
brasil-serie-c-2022,RODADA 14,2022-07-10,Atlético-CE,Remo,3,1,0,0,,
brasil-serie-c-2022,RODADA 14,2022-07-10,Volta Redonda,Mirassol,2,1,1,0,,
brasil-serie-c-2022,RODADA 14,2022-07-10,São José,Vitória,1,2,1,1,,
brasil-serie-c-2022,RODADA 14,2022-07-10,AE Altos,Brasil de Pelotas,3,2,2,0,,
brasil-serie-c-2022,RODADA 14,2022-07-10,Botafogo-SP,Ypiranga,1,0,1,0,,
brasil-serie-c-2022,RODADA 14,2022-07-09,Paysandu,Confiança,1,0,0,0,,
brasil-serie-c-2022,RODADA 14,2022-07-09,Figueirense,Campinense,4,0,3,0,,
brasil-serie-c-2022,RODADA 14,2022-07-09,Botafogo-PB,Floresta EC,1,1,1,1,,
brasil-serie-c-2022,RODADA 14,2022-07-09,Ferroviário,Aparecidense,1,0,1,0,,
brasil-serie-c-2022,RODADA 13,2022-07-04,Aparecidense,ABC,2,2,0,1,,
brasil-serie-c-2022,RODADA 13,2022-07-03,Ypiranga,São José,2,2,2,2,,
brasil-serie-c-2022,RODADA 13,2022-07-03,Campinense,Botafogo-SP,1,3,1,1,,
brasil-serie-c-2022,RODADA 13,2022-07-03,Remo,Paysandu,2,2,1,1,,
brasil-serie-c-2022,RODADA 13,2022-07-03,Mirassol,Atlético-CE,6,0,4,0,,
brasil-serie-c-2022,RODADA 13,2022-07-03,Brasil de Pelotas,Botafogo-PB,0,0,0,0,,
brasil-serie-c-2022,RODADA 13,2022-07-02,Vitória,Figueirense,2,0,2,0,,
brasil-serie-c-2022,RODADA 13,2022-07-02,Confiança,Volta Redonda,1,0,0,0,,
brasil-serie-c-2022,RODADA 13,2022-07-02,Manaus,Ferroviário,4,2,2,1,,
brasil-serie-c-2022,RODADA 13,2022-07-02,Floresta EC,AE Altos,2,2,1,2,,
brasil-serie-c-2022,RODADA 12,2022-06-27,Figueirense,Remo,0,0,0,0,,
brasil-serie-c-2022,RODADA 12,2022-06-26,Paysandu,Brasil de Pelotas,1,1,1,0,,
brasil-serie-c-2022,RODADA 12,2022-06-26,Volta Redonda,Aparecidense,0,3,0,0,,
brasil-serie-c-2022,RODADA 12,2022-06-26,Ferroviário,Floresta EC,0,2,0,0,,
brasil-serie-c-2022,RODADA 12,2022-06-26,São José,Campinense,2,1,1,0,,
brasil-serie-c-2022,RODADA 12,2022-06-26,Atlético-CE,Ypiranga,0,0,0,0,,
brasil-serie-c-2022,RODADA 12,2022-06-26,Botafogo-SP,Manaus,1,0,0,0,,
brasil-serie-c-2022,RODADA 12,2022-06-25,AE Altos,Vitória,0,0,0,0,,
brasil-serie-c-2022,RODADA 12,2022-06-25,ABC,Confiança,0,0,0,0,,
brasil-serie-c-2022,RODADA 11,2022-06-20,Ypiranga,ABC,0,0,0,0,,
brasil-serie-c-2022,RODADA 11,2022-06-20,Floresta EC,Volta Redonda,1,1,0,1,,
brasil-serie-c-2022,RODADA 11,2022-06-19,Remo,AE Altos,1,2,1,0,,
brasil-serie-c-2022,RODADA 11,2022-06-19,Vitória,Botafogo-SP,0,1,0,0,,
brasil-serie-c-2022,RODADA 11,2022-06-19,Botafogo-PB,Atlético-CE,2,0,1,0,,
brasil-serie-c-2022,RODADA 11,2022-06-19,Mirassol,São José,2,1,1,1,,
brasil-serie-c-2022,RODADA 11,2022-06-18,Aparecidense,Paysandu,1,0,0,0,,
brasil-serie-c-2022,RODADA 11,2022-06-18,Manaus,Figueirense,1,1,1,0,,
brasil-serie-c-2022,RODADA 11,2022-06-18,Confiança,Campinense,2,3,2,0,,
brasil-serie-c-2022,RODADA 11,2022-06-18,Brasil de Pelotas,Ferroviário,3,1,2,0,,
brasil-serie-c-2022,RODADA 10,2022-06-13,Volta Redonda,Remo,3,0,0,0,,
brasil-serie-c-2022,RODADA 10,2022-06-13,Botafogo-SP,Aparecidense,0,2,0,1,,
brasil-serie-c-2022,RODADA 10,2022-06-12,Paysandu,Botafogo-PB,2,1,0,1,,
brasil-serie-c-2022,RODADA 10,2022-06-12,Figueirense,Confiança,0,0,0,0,,
brasil-serie-c-2022,RODADA 10,2022-06-12,ABC,Mirassol,1,0,0,0,,
brasil-serie-c-2022,RODADA 10,2022-06-12,AE Altos,Ferroviário,1,0,0,0,,
brasil-serie-c-2022,RODADA 10,2022-06-11,Atlético-CE,Vitória,1,1,1,1,,
brasil-serie-c-2022,RODADA 10,2022-06-11,Campinense,Manaus,1,2,1,1,,
brasil-serie-c-2022,RODADA 10,2022-06-11,São José,Floresta EC,4,0,2,0,,
brasil-serie-c-2022,RODADA 10,2022-06-11,Brasil de Pelotas,Ypiranga,0,2,0,1,,
brasil-serie-c-2022,RODADA 9,2022-06-06,Remo,Campinense,4,0,2,0,,
brasil-serie-c-2022,RODADA 9,2022-06-05,Ferroviário,Paysandu,1,2,0,1,,
brasil-serie-c-2022,RODADA 9,2022-06-05,Aparecidense,São José,1,2,1,0,,
brasil-serie-c-2022,RODADA 9,2022-06-05,Manaus,AE Altos,0,0,0,0,,
brasil-serie-c-2022,RODADA 9,2022-06-05,Vitória,Volta Redonda,1,2,1,1,,
brasil-serie-c-2022,RODADA 9,2022-06-04,Mirassol,Brasil de Pelotas,2,0,0,0,,
brasil-serie-c-2022,RODADA 9,2022-06-04,Confiança,Botafogo-SP,2,1,1,1,,
brasil-serie-c-2022,RODADA 9,2022-06-04,Botafogo-PB,ABC,0,0,0,0,,
brasil-serie-c-2022,RODADA 9,2022-06-04,Ypiranga,Figueirense,3,3,1,2,,
brasil-serie-c-2022,RODADA 9,2022-06-03,Floresta EC,Atlético-CE,2,3,2,2,,
brasil-serie-c-2022,RODADA 8,2022-05-30,Paysandu,Manaus,2,0,0,0,,
brasil-serie-c-2022,RODADA 8,2022-05-29,Remo,Floresta EC,2,0,0,0,,
brasil-serie-c-2022,RODADA 8,2022-05-29,Botafogo-SP,Mirassol,2,2,0,1,,
brasil-serie-c-2022,RODADA 8,2022-05-29,AE Altos,Ypiranga,3,0,0,0,,
brasil-serie-c-2022,RODADA 8,2022-05-29,Volta Redonda,Botafogo-PB,0,1,0,0,,
brasil-serie-c-2022,RODADA 8,2022-05-28,ABC,Brasil de Pelotas,3,0,1,0,,
brasil-serie-c-2022,RODADA 8,2022-05-28,Confiança,Aparecidense,1,1,0,0,,
brasil-serie-c-2022,RODADA 8,2022-05-28,Campinense,Vitória,0,1,0,0,,
brasil-serie-c-2022,RODADA 8,2022-05-28,Figueirense,Ferroviário,1,0,0,0,,
brasil-serie-c-2022,RODADA 8,2022-05-28,São José,Atlético-CE,1,1,0,1,,
brasil-serie-c-2022,RODADA 7,2022-05-25,Botafogo-PB,Campinense,1,1,1,0,,
brasil-serie-c-2022,RODADA 7,2022-05-23,Ypiranga,Remo,2,1,2,1,,
brasil-serie-c-2022,RODADA 7,2022-05-22,Paysandu,Volta Redonda,2,1,1,1,,
brasil-serie-c-2022,RODADA 7,2022-05-22,Aparecidense,Floresta EC,3,2,1,0,,
brasil-serie-c-2022,RODADA 7,2022-05-22,Vitória,Confiança,3,0,3,0,,
brasil-serie-c-2022,RODADA 7,2022-05-22,Manaus,São José,1,1,1,1,,
brasil-serie-c-2022,RODADA 7,2022-05-22,Mirassol,AE Altos,2,1,0,0,,
brasil-serie-c-2022,RODADA 7,2022-05-21,Brasil de Pelotas,Figueirense,0,1,0,0,,
brasil-serie-c-2022,RODADA 7,2022-05-21,Atlético-CE,ABC,0,1,0,0,,
brasil-serie-c-2022,RODADA 7,2022-05-21,Ferroviário,Botafogo-SP,1,0,0,0,,
brasil-serie-c-2022,RODADA 6,2022-05-18,Vitória,Botafogo-PB,0,1,0,0,,
brasil-serie-c-2022,RODADA 6,2022-05-18,Campinense,Ypiranga,0,0,0,0,,
brasil-serie-c-2022,RODADA 6,2022-05-17,Confiança,Ferroviário,1,0,0,0,,
brasil-serie-c-2022,RODADA 6,2022-05-15,São José,Paysandu,2,0,2,0,,
brasil-serie-c-2022,RODADA 6,2022-05-15,Volta Redonda,Brasil de Pelotas,3,1,2,1,,
brasil-serie-c-2022,RODADA 6,2022-05-15,Remo,Mirassol,3,1,1,0,,
brasil-serie-c-2022,RODADA 6,2022-05-15,Figueirense,Aparecidense,2,1,1,0,,
brasil-serie-c-2022,RODADA 6,2022-05-14,Floresta EC,Manaus,0,1,0,0,,
brasil-serie-c-2022,RODADA 6,2022-05-14,Botafogo-SP,ABC,2,0,0,0,,
brasil-serie-c-2022,RODADA 6,2022-05-14,AE Altos,Atlético-CE,0,1,0,0,,
brasil-serie-c-2022,RODADA 5,2022-05-09,Aparecidense,Vitória,0,0,0,0,,
brasil-serie-c-2022,RODADA 5,2022-05-08,Paysandu,Botafogo-SP,4,1,1,1,,
brasil-serie-c-2022,RODADA 5,2022-05-08,ABC,Volta Redonda,1,0,0,0,,
brasil-serie-c-2022,RODADA 5,2022-05-08,Atlético-CE,Figueirense,1,1,1,0,,
brasil-serie-c-2022,RODADA 5,2022-05-08,Ypiranga,Floresta EC,2,0,2,0,,
brasil-serie-c-2022,RODADA 5,2022-05-07,Brasil de Pelotas,Remo,1,0,1,0,,
brasil-serie-c-2022,RODADA 5,2022-05-07,Botafogo-PB,AE Altos,2,1,1,0,,
brasil-serie-c-2022,RODADA 5,2022-05-07,Manaus,Confiança,0,0,0,0,,
brasil-serie-c-2022,RODADA 5,2022-05-07,Ferroviário,São José,2,0,0,0,,
brasil-serie-c-2022,RODADA 5,2022-05-07,Mirassol,Campinense,1,0,0,0,,
brasil-serie-c-2022,RODADA 4,2022-05-04,AE Altos,ABC,2,1,1,1,,
brasil-serie-c-2022,RODADA 4,2022-05-02,Botafogo-SP,Floresta EC,0,1,0,1,,
brasil-serie-c-2022,RODADA 4,2022-05-01,Confiança,Remo,1,2,1,1,,
brasil-serie-c-2022,RODADA 4,2022-05-01,São José,Brasil de Pelotas,1,1,1,0,,
brasil-serie-c-2022,RODADA 4,2022-05-01,Ferroviário,Botafogo-PB,1,0,1,0,,
brasil-serie-c-2022,RODADA 4,2022-05-01,Figueirense,Mirassol,0,2,0,1,,
brasil-serie-c-2022,RODADA 4,2022-04-30,Vitória,Manaus,1,0,0,0,,
brasil-serie-c-2022,RODADA 4,2022-04-30,Campinense,Aparecidense,1,1,1,0,,
brasil-serie-c-2022,RODADA 4,2022-04-30,Paysandu,Ypiranga,1,1,1,1,,
brasil-serie-c-2022,RODADA 4,2022-04-30,Volta Redonda,Atlético-CE,4,0,2,0,,
