Campeonato,Rodada,Data,Home,Away,Gols_home,Gols_away,Gols_1T_home,Gols_1T_away,Gols_2T_home,Gols_2T_away
brasil-serie-d-2022,FINAL,2022-09-25,Pouso Alegre,América-RN,1,0,0,0,,
brasil-serie-d-2022,FINAL,2022-09-18,América-RN,Pouso Alegre,2,0,1,0,,
brasil-serie-d-2022,SEMIFINAIS,2022-09-11,Amazonas,Pouso Alegre,0,1,0,1,,
brasil-serie-d-2022,SEMIFINAIS,2022-09-10,São Bernardo,América-RN,0,1,0,1,,
brasil-serie-d-2022,SEMIFINAIS,2022-09-04,América-RN,São Bernardo,2,0,0,0,,
brasil-serie-d-2022,SEMIFINAIS,2022-09-03,Pouso Alegre,Amazonas,1,0,1,0,,
brasil-serie-d-2022,QUARTAS DE FINAL,2022-08-28,Amazonas,Portuguesa-RJ,3,2,3,0,,
brasil-serie-d-2022,QUARTAS DE FINAL,2022-08-28,América-RN,Caxias,3,1,0,0,,
brasil-serie-d-2022,QUARTAS DE FINAL,2022-08-27,Pouso Alegre,ASA,1,0,1,0,,
brasil-serie-d-2022,QUARTAS DE FINAL,2022-08-27,São Bernardo,Tocantinópolis,2,0,1,0,,
brasil-serie-d-2022,QUARTAS DE FINAL,2022-08-21,ASA,Pouso Alegre,0,2,0,0,,
brasil-serie-d-2022,QUARTAS DE FINAL,2022-08-21,Tocantinópolis,São Bernardo,0,3,0,1,,
brasil-serie-d-2022,QUARTAS DE FINAL,2022-08-20,Caxias,América-RN,1,0,1,0,,
brasil-serie-d-2022,QUARTAS DE FINAL,2022-08-20,Portuguesa-RJ,Amazonas,1,1,0,1,,
brasil-serie-d-2022,OITAVAS DE FINAL,2022-08-14,Amazonas,Lagarto,2,1,1,1,,
brasil-serie-d-2022,OITAVAS DE FINAL,2022-08-14,ASA,Rio Branco,1,0,0,0,0,0
brasil-serie-d-2022,OITAVAS DE FINAL,2022-08-14,Tocantinópolis,Santa Cruz,1,0,0,0,,
brasil-serie-d-2022,OITAVAS DE FINAL,2022-08-14,Nova Venecia,Portuguesa-RJ,2,2,1,1,,
brasil-serie-d-2022,OITAVAS DE FINAL,2022-08-13,Moto Club,América-RN,0,1,0,1,,
brasil-serie-d-2022,OITAVAS DE FINAL,2022-08-13,Pouso Alegre,Paraná,1,0,1,0,,
brasil-serie-d-2022,OITAVAS DE FINAL,2022-08-13,São Bernardo,Bahia de Feira,1,1,0,0,,
brasil-serie-d-2022,OITAVAS DE FINAL,2022-08-13,Caxias,Real Noroeste,1,0,0,0,0,0
brasil-serie-d-2022,OITAVAS DE FINAL,2022-08-07,Rio Branco,ASA,0,0,0,0,,
