Campeonato,Rodada,Data,Home,Away,Gols_home,Gols_away,GOLS_1T_HOME,GOLS_1T_AWAY,GOLS_2T_HOME,GOLS_2T_AWAY
espanha-la-liga-2023-2024,RODADA 14,2024-11-27,Girona,Ath. Bilbao,1,1,0,0,,
espanha-la-liga-2023-2024,RODADA 14,2024-11-26,Bétis,Las Palmas,1,0,1,0,,
espanha-la-liga-2023-2024,RODADA 14,2024-11-26,Cádiz,Real Madrid,0,3,0,1,,
espanha-la-liga-2023-2024,RODADA 14,2024-11-26,Real Sociedad,Sevilla,2,1,2,0,,
espanha-la-liga-2023-2024,RODADA 14,2024-11-26,Villarreal,Osasuna,3,1,0,0,,
espanha-la-liga-2023-2024,RODADA 14,2024-11-25,Atl. Madrid,Mallorca,1,0,0,0,,
espanha-la-liga-2023-2024,RODADA 14,2024-11-25,Getafe,Almería,2,1,2,1,,
espanha-la-liga-2023-2024,RODADA 14,2024-11-25,Valencia,Celta de Vigo,0,0,0,0,,
espanha-la-liga-2023-2024,RODADA 14,2024-11-25,Rayo Vallecano,Barcelona,1,1,1,0,,
espanha-la-liga-2023-2024,RODADA 14,2024-11-24,Alavés,Granada,3,1,2,0,,
espanha-la-liga-2023-2024,RODADA 13,2024-11-12,Atl. Madrid,Villarreal,3,1,1,1,,
espanha-la-liga-2023-2024,RODADA 13,2024-11-12,Sevilla,Bétis,1,1,0,0,,
espanha-la-liga-2023-2024,RODADA 13,2024-11-12,Barcelona,Alavés,2,1,0,1,,
espanha-la-liga-2023-2024,RODADA 13,2024-11-11,Real Madrid,Valencia,5,1,2,0,,
espanha-la-liga-2023-2024,RODADA 13,2024-11-11,Granada,Getafe,1,1,1,1,,
espanha-la-liga-2023-2024,RODADA 13,2024-11-11,Osasuna,Las Palmas,1,1,0,0,,
espanha-la-liga-2023-2024,RODADA 13,2024-11-11,Almería,Real Sociedad,1,3,0,0,,
espanha-la-liga-2023-2024,RODADA 13,2024-11-11,Rayo Vallecano,Girona,1,2,1,1,,
espanha-la-liga-2023-2024,RODADA 13,2024-11-10,Ath. Bilbao,Celta de Vigo,4,3,2,2,,
espanha-la-liga-2023-2024,RODADA 12,2024-11-06,Getafe,Cádiz,1,0,0,0,,
espanha-la-liga-2023-2024,RODADA 12,2024-11-05,Real Madrid,Rayo Vallecano,0,0,0,0,,
espanha-la-liga-2023-2024,RODADA 12,2024-11-05,Villarreal,Ath. Bilbao,2,3,0,3,,
espanha-la-liga-2023-2024,RODADA 12,2024-11-05,Valencia,Granada,1,0,1,0,,
espanha-la-liga-2023-2024,RODADA 12,2024-11-05,Alavés,Almería,1,0,0,0,,
espanha-la-liga-2023-2024,RODADA 12,2024-11-04,Real Sociedad,Barcelona,0,1,0,0,,
espanha-la-liga-2023-2024,RODADA 12,2024-11-04,Celta de Vigo,Sevilla,1,1,1,0,,
espanha-la-liga-2023-2024,RODADA 12,2024-11-04,Bétis,Mallorca,2,0,1,0,,
espanha-la-liga-2023-2024,RODADA 12,2024-11-04,Osasuna,Girona,2,4,1,1,,
espanha-la-liga-2023-2024,RODADA 12,2024-11-03,Las Palmas,Atl. Madrid,2,1,0,0,,
espanha-la-liga-2023-2024,RODADA 11,2024-10-30,Granada,Villarreal,2,3,2,3,,
espanha-la-liga-2023-2024,RODADA 11,2024-10-29,Atl. Madrid,Alavés,2,1,2,0,,
espanha-la-liga-2023-2024,RODADA 11,2024-10-29,Ath. Bilbao,Valencia,2,2,1,0,,
espanha-la-liga-2023-2024,RODADA 11,2024-10-29,Rayo Vallecano,Real Sociedad,2,2,1,1,,
espanha-la-liga-2023-2024,RODADA 11,2024-10-29,Bétis,Osasuna,2,1,1,0,,
espanha-la-liga-2023-2024,RODADA 11,2024-10-28,Cádiz,Sevilla,2,2,2,1,,
espanha-la-liga-2023-2024,RODADA 11,2024-10-28,Mallorca,Getafe,0,0,0,0,,
espanha-la-liga-2023-2024,RODADA 11,2024-10-28,Barcelona,Real Madrid,1,2,1,0,,
espanha-la-liga-2023-2024,RODADA 11,2024-10-28,Almería,Las Palmas,1,2,0,1,,
espanha-la-liga-2023-2024,RODADA 11,2024-10-27,Girona,Celta de Vigo,1,0,0,0,,
espanha-la-liga-2023-2024,RODADA 10,2024-10-23,Valencia,Cádiz,2,0,2,0,,
espanha-la-liga-2023-2024,RODADA 10,2024-10-22,Barcelona,Ath. Bilbao,1,0,0,0,,
espanha-la-liga-2023-2024,RODADA 10,2024-10-22,Villarreal,Alavés,1,1,0,0,,
espanha-la-liga-2023-2024,RODADA 10,2024-10-22,Girona,Almería,5,2,3,2,,
espanha-la-liga-2023-2024,RODADA 10,2024-10-22,Las Palmas,Rayo Vallecano,0,1,0,0,,
espanha-la-liga-2023-2024,RODADA 10,2024-10-21,Celta de Vigo,Atl. Madrid,0,3,0,1,,
espanha-la-liga-2023-2024,RODADA 10,2024-10-21,Sevilla,Real Madrid,1,1,0,0,,
espanha-la-liga-2023-2024,RODADA 10,2024-10-21,Getafe,Bétis,1,1,1,1,,
espanha-la-liga-2023-2024,RODADA 10,2024-10-21,Real Sociedad,Mallorca,1,0,0,0,,
espanha-la-liga-2023-2024,RODADA 10,2024-10-20,Osasuna,Granada,2,0,1,0,,
espanha-la-liga-2023-2024,RODADA 9,2024-10-08,Granada,Barcelona,2,2,2,1,,
espanha-la-liga-2023-2024,RODADA 9,2024-10-08,Alavés,Bétis,1,1,1,1,,
espanha-la-liga-2023-2024,RODADA 9,2024-10-08,Celta de Vigo,Getafe,2,2,2,2,,
espanha-la-liga-2023-2024,RODADA 9,2024-10-08,Atl. Madrid,Real Sociedad,2,1,1,0,,
espanha-la-liga-2023-2024,RODADA 9,2024-10-08,Villarreal,Las Palmas,1,2,0,1,,
espanha-la-liga-2023-2024,RODADA 9,2024-10-07,Sevilla,Rayo Vallecano,2,2,0,2,,
espanha-la-liga-2023-2024,RODADA 9,2024-10-07,Mallorca,Valencia,1,1,1,1,,
espanha-la-liga-2023-2024,RODADA 9,2024-10-07,Real Madrid,Osasuna,4,0,1,0,,
espanha-la-liga-2023-2024,RODADA 9,2024-10-07,Cádiz,Girona,0,1,0,0,,
espanha-la-liga-2023-2024,RODADA 9,2024-10-06,Ath. Bilbao,Almería,3,0,1,0,,
