Campeonato,Rodada,Data,Home,Away,Gols_home,Gols_away,Gols_1T_home,Gols_1T_away,Gols_2T_home,Gols_2T_away
espanha-la-liga-2022-2023,RODADA 38,2023-06-04,Bétis,Valencia,1,1,1,0,,
espanha-la-liga-2022-2023,RODADA 38,2023-06-04,Celta de Vigo,Barcelona,2,1,1,0,,
espanha-la-liga-2022-2023,RODADA 38,2023-06-04,Elche,Cádiz,1,1,0,1,,
espanha-la-liga-2022-2023,RODADA 38,2023-06-04,Espanyol,Almería,3,3,1,1,,
espanha-la-liga-2022-2023,RODADA 38,2023-06-04,Valladolid,Getafe,0,0,0,0,,
espanha-la-liga-2022-2023,RODADA 38,2023-06-04,Mallorca,Rayo Vallecano,3,0,0,0,,
espanha-la-liga-2022-2023,RODADA 38,2023-06-04,Osasuna,Girona,2,1,0,0,,
espanha-la-liga-2022-2023,RODADA 38,2023-06-04,Real Madrid,Ath. Bilbao,1,1,0,0,,
espanha-la-liga-2022-2023,RODADA 38,2023-06-04,Real Sociedad,Sevilla,2,1,1,0,,
espanha-la-liga-2022-2023,RODADA 38,2023-06-04,Villarreal,Atl. Madrid,2,2,1,1,,
espanha-la-liga-2022-2023,RODADA 37,2023-05-28,Almería,Valladolid,0,0,0,0,,
espanha-la-liga-2022-2023,RODADA 37,2023-05-28,Ath. Bilbao,Elche,0,1,0,0,,
espanha-la-liga-2022-2023,RODADA 37,2023-05-28,Atl. Madrid,Real Sociedad,2,1,1,0,,
espanha-la-liga-2022-2023,RODADA 37,2023-05-28,Barcelona,Mallorca,3,0,2,0,,
espanha-la-liga-2022-2023,RODADA 37,2023-05-28,Cádiz,Celta de Vigo,1,0,0,0,,
espanha-la-liga-2022-2023,RODADA 37,2023-05-28,Getafe,Osasuna,2,1,1,1,,
espanha-la-liga-2022-2023,RODADA 37,2023-05-28,Girona,Bétis,1,2,1,0,,
espanha-la-liga-2022-2023,RODADA 37,2023-05-28,Rayo Vallecano,Villarreal,2,1,0,0,,
espanha-la-liga-2022-2023,RODADA 37,2023-05-28,Valencia,Espanyol,2,2,1,1,,
espanha-la-liga-2022-2023,RODADA 37,2023-05-27,Sevilla,Real Madrid,1,2,1,1,,
espanha-la-liga-2022-2023,RODADA 36,2023-05-25,Osasuna,Ath. Bilbao,2,0,0,0,,
espanha-la-liga-2022-2023,RODADA 36,2023-05-25,Mallorca,Valencia,1,0,0,0,,
espanha-la-liga-2022-2023,RODADA 36,2023-05-24,Bétis,Getafe,0,1,0,0,,
espanha-la-liga-2022-2023,RODADA 36,2023-05-24,Espanyol,Atl. Madrid,3,3,0,2,,
espanha-la-liga-2022-2023,RODADA 36,2023-05-24,Elche,Sevilla,1,1,1,1,,
espanha-la-liga-2022-2023,RODADA 36,2023-05-24,Real Madrid,Rayo Vallecano,2,1,1,0,,
espanha-la-liga-2022-2023,RODADA 36,2023-05-24,Villarreal,Cádiz,2,0,2,0,,
espanha-la-liga-2022-2023,RODADA 36,2023-05-23,Valladolid,Barcelona,3,1,2,0,,
espanha-la-liga-2022-2023,RODADA 36,2023-05-23,Celta de Vigo,Girona,1,1,1,0,,
espanha-la-liga-2022-2023,RODADA 36,2023-05-23,Real Sociedad,Almería,1,0,1,0,,
espanha-la-liga-2022-2023,RODADA 35,2023-05-21,Sevilla,Bétis,0,0,0,0,,
espanha-la-liga-2022-2023,RODADA 35,2023-05-21,Valencia,Real Madrid,1,0,1,0,,
espanha-la-liga-2022-2023,RODADA 35,2023-05-21,Atl. Madrid,Osasuna,3,0,1,0,,
espanha-la-liga-2022-2023,RODADA 35,2023-05-21,Rayo Vallecano,Espanyol,1,2,1,1,,
espanha-la-liga-2022-2023,RODADA 35,2023-05-20,Barcelona,Real Sociedad,1,2,0,1,,
espanha-la-liga-2022-2023,RODADA 35,2023-05-20,Almería,Mallorca,3,0,2,0,,
espanha-la-liga-2022-2023,RODADA 35,2023-05-20,Getafe,Elche,1,1,1,1,,
espanha-la-liga-2022-2023,RODADA 35,2023-05-20,Ath. Bilbao,Celta de Vigo,2,1,1,0,,
espanha-la-liga-2022-2023,RODADA 35,2023-05-20,Girona,Villarreal,1,2,1,1,,
espanha-la-liga-2022-2023,RODADA 35,2023-05-19,Cádiz,Valladolid,2,0,0,0,,
espanha-la-liga-2022-2023,RODADA 34,2023-05-15,Bétis,Rayo Vallecano,3,1,2,0,,
espanha-la-liga-2022-2023,RODADA 34,2023-05-14,Espanyol,Barcelona,2,4,0,3,,
espanha-la-liga-2022-2023,RODADA 34,2023-05-14,Valladolid,Sevilla,0,3,0,0,,
espanha-la-liga-2022-2023,RODADA 34,2023-05-14,Elche,Atl. Madrid,1,0,1,0,,
espanha-la-liga-2022-2023,RODADA 34,2023-05-14,Celta de Vigo,Valencia,1,2,0,1,,
espanha-la-liga-2022-2023,RODADA 34,2023-05-13,Real Madrid,Getafe,1,0,0,0,,
espanha-la-liga-2022-2023,RODADA 34,2023-05-13,Villarreal,Ath. Bilbao,5,1,2,1,,
espanha-la-liga-2022-2023,RODADA 34,2023-05-13,Osasuna,Almería,3,1,0,0,,
espanha-la-liga-2022-2023,RODADA 34,2023-05-13,Real Sociedad,Girona,2,2,2,2,,
espanha-la-liga-2022-2023,RODADA 34,2023-05-12,Mallorca,Cádiz,1,0,1,0,,
espanha-la-liga-2022-2023,RODADA 33,2023-05-04,Ath. Bilbao,Bétis,0,1,0,1,,
espanha-la-liga-2022-2023,RODADA 33,2023-05-04,Rayo Vallecano,Valladolid,2,1,0,0,,
espanha-la-liga-2022-2023,RODADA 33,2023-05-04,Girona,Mallorca,2,1,1,0,,
espanha-la-liga-2022-2023,RODADA 33,2023-05-04,Sevilla,Espanyol,3,2,1,2,,
espanha-la-liga-2022-2023,RODADA 33,2023-05-03,Atl. Madrid,Cádiz,5,1,2,0,,
espanha-la-liga-2022-2023,RODADA 33,2023-05-03,Getafe,Celta de Vigo,1,0,1,0,,
espanha-la-liga-2022-2023,RODADA 33,2023-05-03,Valencia,Villarreal,1,1,0,0,,
espanha-la-liga-2022-2023,RODADA 33,2023-05-02,Real Sociedad,Real Madrid,2,0,0,0,,
espanha-la-liga-2022-2023,RODADA 33,2023-05-02,Almería,Elche,2,1,1,0,,
espanha-la-liga-2022-2023,RODADA 33,2023-05-02,Barcelona,Osasuna,1,0,0,0,,
espanha-la-liga-2022-2023,RODADA 32,2023-05-01,Sevilla,Girona,0,2,0,1,,
espanha-la-liga-2022-2023,RODADA 32,2023-05-01,Mallorca,Ath. Bilbao,1,1,0,0,,
espanha-la-liga-2022-2023,RODADA 32,2023-04-30,Valladolid,Atl. Madrid,2,5,1,3,,
espanha-la-liga-2022-2023,RODADA 32,2023-04-30,Espanyol,Getafe,1,0,1,0,,
espanha-la-liga-2022-2023,RODADA 32,2023-04-30,Villarreal,Celta de Vigo,3,1,2,1,,
espanha-la-liga-2022-2023,RODADA 32,2023-04-30,Cádiz,Valencia,2,1,1,0,,
espanha-la-liga-2022-2023,RODADA 32,2023-04-29,Barcelona,Bétis,4,0,3,0,,
espanha-la-liga-2022-2023,RODADA 32,2023-04-29,Real Madrid,Almería,4,2,3,1,,
espanha-la-liga-2022-2023,RODADA 32,2023-04-29,Elche,Rayo Vallecano,4,0,1,0,,
espanha-la-liga-2022-2023,RODADA 32,2023-04-28,Osasuna,Real Sociedad,0,2,0,1,,
espanha-la-liga-2022-2023,RODADA 31,2023-04-27,Ath. Bilbao,Sevilla,0,1,0,0,,
espanha-la-liga-2022-2023,RODADA 31,2023-04-27,Valencia,Valladolid,2,1,0,1,,
espanha-la-liga-2022-2023,RODADA 31,2023-04-27,Villarreal,Espanyol,4,2,0,1,,
espanha-la-liga-2022-2023,RODADA 31,2023-04-26,Celta de Vigo,Elche,1,0,0,0,,
espanha-la-liga-2022-2023,RODADA 31,2023-04-26,Rayo Vallecano,Barcelona,2,1,1,0,,
espanha-la-liga-2022-2023,RODADA 31,2023-04-26,Atl. Madrid,Mallorca,3,1,1,1,,
espanha-la-liga-2022-2023,RODADA 31,2023-04-26,Getafe,Almería,1,2,0,1,,
espanha-la-liga-2022-2023,RODADA 31,2023-04-25,Bétis,Real Sociedad,0,0,0,0,,
espanha-la-liga-2022-2023,RODADA 31,2023-04-25,Cádiz,Osasuna,0,1,0,0,,
espanha-la-liga-2022-2023,RODADA 31,2023-04-25,Girona,Real Madrid,4,2,2,1,,
espanha-la-liga-2022-2023,RODADA 30,2023-04-23,Sevilla,Villarreal,2,1,1,0,,
espanha-la-liga-2022-2023,RODADA 30,2023-04-23,Mallorca,Getafe,3,1,0,1,,
espanha-la-liga-2022-2023,RODADA 30,2023-04-23,Barcelona,Atl. Madrid,1,0,1,0,,
espanha-la-liga-2022-2023,RODADA 30,2023-04-23,Elche,Valencia,0,2,0,2,,
espanha-la-liga-2022-2023,RODADA 30,2023-04-22,Real Madrid,Celta de Vigo,2,0,1,0,,
espanha-la-liga-2022-2023,RODADA 30,2023-04-22,Real Sociedad,Rayo Vallecano,2,1,0,0,,
espanha-la-liga-2022-2023,RODADA 30,2023-04-22,Valladolid,Girona,1,0,1,0,,
espanha-la-liga-2022-2023,RODADA 30,2023-04-22,Almería,Ath. Bilbao,1,2,0,1,,
espanha-la-liga-2022-2023,RODADA 30,2023-04-22,Osasuna,Bétis,3,2,3,1,,
espanha-la-liga-2022-2023,RODADA 30,2023-04-21,Espanyol,Cádiz,0,0,0,0,,
espanha-la-liga-2022-2023,RODADA 29,2023-04-17,Celta de Vigo,Mallorca,0,1,0,1,,
espanha-la-liga-2022-2023,RODADA 29,2023-04-16,Valencia,Sevilla,0,2,0,0,,
espanha-la-liga-2022-2023,RODADA 29,2023-04-16,Atl. Madrid,Almería,2,1,2,1,,
espanha-la-liga-2022-2023,RODADA 29,2023-04-16,Getafe,Barcelona,0,0,0,0,,
espanha-la-liga-2022-2023,RODADA 29,2023-04-16,Girona,Elche,2,0,1,0,,
espanha-la-liga-2022-2023,RODADA 29,2023-04-15,Cádiz,Real Madrid,0,2,0,0,,
espanha-la-liga-2022-2023,RODADA 29,2023-04-15,Bétis,Espanyol,3,1,2,0,,
espanha-la-liga-2022-2023,RODADA 29,2023-04-15,Ath. Bilbao,Real Sociedad,2,0,1,0,,
espanha-la-liga-2022-2023,RODADA 29,2023-04-15,Villarreal,Valladolid,1,2,0,2,,
espanha-la-liga-2022-2023,RODADA 29,2023-04-14,Rayo Vallecano,Osasuna,2,1,2,0,,
espanha-la-liga-2022-2023,RODADA 28,2023-04-10,Barcelona,Girona,0,0,0,0,,
espanha-la-liga-2022-2023,RODADA 28,2023-04-09,Rayo Vallecano,Atl. Madrid,1,2,0,2,,
espanha-la-liga-2022-2023,RODADA 28,2023-04-09,Almería,Valencia,2,1,0,0,,
espanha-la-liga-2022-2023,RODADA 28,2023-04-09,Bétis,Cádiz,0,2,0,0,,
espanha-la-liga-2022-2023,RODADA 28,2023-04-09,Valladolid,Mallorca,3,3,1,0,,
espanha-la-liga-2022-2023,RODADA 28,2023-04-08,Real Madrid,Villarreal,2,3,1,1,,
espanha-la-liga-2022-2023,RODADA 28,2023-04-08,Real Sociedad,Getafe,2,0,1,0,,
espanha-la-liga-2022-2023,RODADA 28,2023-04-08,Espanyol,Ath. Bilbao,1,2,0,1,,
espanha-la-liga-2022-2023,RODADA 28,2023-04-08,Osasuna,Elche,2,1,0,1,,
espanha-la-liga-2022-2023,RODADA 28,2023-04-07,Sevilla,Celta de Vigo,2,2,1,0,,
espanha-la-liga-2022-2023,RODADA 27,2023-04-03,Valencia,Rayo Vallecano,1,1,0,1,,
espanha-la-liga-2022-2023,RODADA 27,2023-04-02,Atl. Madrid,Bétis,1,0,0,0,,
espanha-la-liga-2022-2023,RODADA 27,2023-04-02,Villarreal,Real Sociedad,2,0,0,0,,
espanha-la-liga-2022-2023,RODADA 27,2023-04-02,Real Madrid,Valladolid,6,0,4,0,,
espanha-la-liga-2022-2023,RODADA 27,2023-04-02,Celta de Vigo,Almería,2,2,2,2,,
espanha-la-liga-2022-2023,RODADA 27,2023-04-01,Elche,Barcelona,0,4,0,1,,
espanha-la-liga-2022-2023,RODADA 27,2023-04-01,Cádiz,Sevilla,0,2,0,0,,
espanha-la-liga-2022-2023,RODADA 27,2023-04-01,Ath. Bilbao,Getafe,0,0,0,0,,
espanha-la-liga-2022-2023,RODADA 27,2023-04-01,Girona,Espanyol,2,1,0,0,,
espanha-la-liga-2022-2023,RODADA 27,2023-03-31,Mallorca,Osasuna,0,0,0,0,,
espanha-la-liga-2022-2023,RODADA 26,2023-03-19,Barcelona,Real Madrid,2,1,1,1,,
espanha-la-liga-2022-2023,RODADA 26,2023-03-19,Getafe,Sevilla,2,0,0,0,,
espanha-la-liga-2022-2023,RODADA 26,2023-03-19,Osasuna,Villarreal,0,3,0,1,,
espanha-la-liga-2022-2023,RODADA 26,2023-03-19,Real Sociedad,Elche,2,0,0,0,,
espanha-la-liga-2022-2023,RODADA 26,2023-03-19,Bétis,Mallorca,1,0,0,0,,
espanha-la-liga-2022-2023,RODADA 26,2023-03-18,Atl. Madrid,Valencia,3,0,1,0,,
espanha-la-liga-2022-2023,RODADA 26,2023-03-18,Espanyol,Celta de Vigo,1,3,0,2,,
espanha-la-liga-2022-2023,RODADA 26,2023-03-18,Rayo Vallecano,Girona,2,2,2,1,,
espanha-la-liga-2022-2023,RODADA 26,2023-03-18,Almería,Cádiz,1,1,0,0,,
espanha-la-liga-2022-2023,RODADA 26,2023-03-17,Valladolid,Ath. Bilbao,1,3,0,1,,
espanha-la-liga-2022-2023,RODADA 25,2023-03-13,Girona,Atl. Madrid,0,1,0,0,,
espanha-la-liga-2022-2023,RODADA 25,2023-03-12,Ath. Bilbao,Barcelona,0,1,0,1,,
espanha-la-liga-2022-2023,RODADA 25,2023-03-12,Villarreal,Bétis,1,1,0,1,,
espanha-la-liga-2022-2023,RODADA 25,2023-03-12,Sevilla,Almería,2,1,1,1,,
espanha-la-liga-2022-2023,RODADA 25,2023-03-12,Mallorca,Real Sociedad,1,1,0,1,,
espanha-la-liga-2022-2023,RODADA 25,2023-03-11,Valencia,Osasuna,1,0,0,0,,
espanha-la-liga-2022-2023,RODADA 25,2023-03-11,Celta de Vigo,Rayo Vallecano,3,0,0,0,,
espanha-la-liga-2022-2023,RODADA 25,2023-03-11,Elche,Valladolid,1,1,0,1,,
espanha-la-liga-2022-2023,RODADA 25,2023-03-11,Real Madrid,Espanyol,3,1,2,1,,
espanha-la-liga-2022-2023,RODADA 25,2023-03-10,Cádiz,Getafe,2,2,1,0,,
espanha-la-liga-2022-2023,RODADA 24,2023-03-06,Osasuna,Celta de Vigo,0,0,0,0,,
espanha-la-liga-2022-2023,RODADA 24,2023-03-05,Bétis,Real Madrid,0,0,0,0,,
espanha-la-liga-2022-2023,RODADA 24,2023-03-05,Rayo Vallecano,Ath. Bilbao,0,0,0,0,,
espanha-la-liga-2022-2023,RODADA 24,2023-03-05,Barcelona,Valencia,1,0,1,0,,
espanha-la-liga-2022-2023,RODADA 24,2023-03-05,Valladolid,Espanyol,2,1,1,0,,
espanha-la-liga-2022-2023,RODADA 24,2023-03-04,Atl. Madrid,Sevilla,6,1,2,1,,
espanha-la-liga-2022-2023,RODADA 24,2023-03-04,Mallorca,Elche,0,1,0,0,,
espanha-la-liga-2022-2023,RODADA 24,2023-03-04,Almería,Villarreal,0,2,0,0,,
espanha-la-liga-2022-2023,RODADA 24,2023-03-04,Getafe,Girona,3,2,3,0,,
espanha-la-liga-2022-2023,RODADA 24,2023-03-03,Real Sociedad,Cádiz,0,0,0,0,,
espanha-la-liga-2022-2023,RODADA 23,2023-02-27,Villarreal,Getafe,2,1,1,1,,
espanha-la-liga-2022-2023,RODADA 23,2023-02-26,Sevilla,Osasuna,2,3,0,1,,
espanha-la-liga-2022-2023,RODADA 23,2023-02-26,Almería,Barcelona,1,0,1,0,,
espanha-la-liga-2022-2023,RODADA 23,2023-02-26,Celta de Vigo,Valladolid,3,0,2,0,,
espanha-la-liga-2022-2023,RODADA 23,2023-02-26,Ath. Bilbao,Girona,2,3,1,3,,
espanha-la-liga-2022-2023,RODADA 23,2023-02-25,Valencia,Real Sociedad,1,0,1,0,,
espanha-la-liga-2022-2023,RODADA 23,2023-02-25,Real Madrid,Atl. Madrid,1,1,0,0,,
espanha-la-liga-2022-2023,RODADA 23,2023-02-25,Cádiz,Rayo Vallecano,1,0,0,0,,
espanha-la-liga-2022-2023,RODADA 23,2023-02-25,Espanyol,Mallorca,2,1,1,1,,
espanha-la-liga-2022-2023,RODADA 23,2023-02-24,Elche,Bétis,2,3,2,0,,
espanha-la-liga-2022-2023,RODADA 22,2023-02-20,Getafe,Valencia,1,0,0,0,,
espanha-la-liga-2022-2023,RODADA 22,2023-02-19,Barcelona,Cádiz,2,0,2,0,,
espanha-la-liga-2022-2023,RODADA 22,2023-02-19,Atl. Madrid,Ath. Bilbao,1,0,0,0,,
espanha-la-liga-2022-2023,RODADA 22,2023-02-19,Rayo Vallecano,Sevilla,1,1,0,1,,
espanha-la-liga-2022-2023,RODADA 22,2023-02-19,Elche,Espanyol,0,1,0,0,,
espanha-la-liga-2022-2023,RODADA 22,2023-02-18,Osasuna,Real Madrid,0,2,0,0,,
espanha-la-liga-2022-2023,RODADA 22,2023-02-18,Mallorca,Villarreal,4,2,2,1,,
espanha-la-liga-2022-2023,RODADA 22,2023-02-18,Bétis,Valladolid,2,1,2,1,,
espanha-la-liga-2022-2023,RODADA 22,2023-02-18,Real Sociedad,Celta de Vigo,1,1,1,0,,
espanha-la-liga-2022-2023,RODADA 22,2023-02-17,Girona,Almería,6,2,4,0,,
espanha-la-liga-2022-2023,RODADA 21,2023-02-15,Real Madrid,Elche,4,0,3,0,,
espanha-la-liga-2022-2023,RODADA 21,2023-02-13,Espanyol,Real Sociedad,2,3,0,1,,
espanha-la-liga-2022-2023,RODADA 21,2023-02-12,Villarreal,Barcelona,0,1,0,1,,
espanha-la-liga-2022-2023,RODADA 21,2023-02-12,Valladolid,Osasuna,0,0,0,0,,
espanha-la-liga-2022-2023,RODADA 21,2023-02-12,Celta de Vigo,Atl. Madrid,0,1,0,0,,
espanha-la-liga-2022-2023,RODADA 21,2023-02-12,Getafe,Rayo Vallecano,1,1,0,1,,
espanha-la-liga-2022-2023,RODADA 21,2023-02-11,Valencia,Ath. Bilbao,1,2,1,1,,
espanha-la-liga-2022-2023,RODADA 21,2023-02-11,Sevilla,Mallorca,2,0,2,0,,
