Campeonato,Rodada,Data,Home,Away,Gols_home,Gols_away,GOLS_1T_HOME,GOLS_1T_AWAY,GOLS_2T_HOME,GOLS_2T_AWAY
europa-eurocopa-2024,RODADA 8,2024-10-17,Inglaterra,Itália,3,1,1,1,,
europa-eurocopa-2024,RODADA 8,2024-10-17,Irlanda do Norte,Eslovênia,0,1,0,1,,
europa-eurocopa-2024,RODADA 8,2024-10-17,Lituânia,Hungria,2,2,2,0,,
europa-eurocopa-2024,RODADA 8,2024-10-17,Malta,Ucrânia,1,3,1,2,,
europa-eurocopa-2024,RODADA 8,2024-10-17,San Marino,Dinamarca,1,2,0,1,,
europa-eurocopa-2024,RODADA 8,2024-10-17,Sérvia,Montenegro,3,1,1,1,,
europa-eurocopa-2024,RODADA 8,2024-10-17,Finlândia,Cazaquistão,1,2,1,0,,
europa-eurocopa-2024,RODADA 8,2024-10-16,Bélgica,Suécia,1,1,1,1,,
europa-eurocopa-2024,RODADA 8,2024-10-16,Bósnia e Herzegovina,Portugal,0,5,0,5,,
europa-eurocopa-2024,RODADA 8,2024-10-16,Gibraltar,Irlanda,0,4,0,2,,
europa-eurocopa-2024,RODADA 8,2024-10-16,Grécia,Países Baixos,0,1,0,0,,
europa-eurocopa-2024,RODADA 8,2024-10-16,Islândia,Liechtenstein,4,0,2,0,,
europa-eurocopa-2024,RODADA 8,2024-10-16,Luxemburgo,Eslováquia,0,1,0,0,,
europa-eurocopa-2024,RODADA 8,2024-10-16,Azerbaijão,Áustria,0,1,0,0,,
europa-eurocopa-2024,RODADA 8,2024-10-15,Noruega,Espanha,0,1,0,0,,
europa-eurocopa-2024,RODADA 8,2024-10-15,País de Gales,Croácia,2,1,0,0,,
europa-eurocopa-2024,RODADA 8,2024-10-15,Polônia,Moldávia,1,1,0,1,,
europa-eurocopa-2024,RODADA 8,2024-10-15,Romênia,Andorra,4,0,3,0,,
europa-eurocopa-2024,RODADA 8,2024-10-15,Turquia,Letônia,4,0,0,0,,
europa-eurocopa-2024,RODADA 8,2024-10-15,Republica Tcheca,Ilhas Faroé,1,0,0,0,,
europa-eurocopa-2024,RODADA 8,2024-10-15,Suíça,Belarus,3,3,1,0,,
