Campeonato,Rodada,Data,Home,Away,Gols_home,Gols_away,Gols_1T_home,Gols_1T_away,Gols_2T_home,Gols_2T_away
europa-liga-das-nacoes-da-uefa-2022-2023,FINAL,2023-06-18,Croácia,Espanha,0,1,0,0,0,0
europa-liga-das-nacoes-da-uefa-2022-2023,3º LUGAR,2023-06-18,Países Baixos,Itália,2,3,0,2,,
europa-liga-das-nacoes-da-uefa-2022-2023,SEMIFINAIS,2023-06-15,Espanha,Itália,2,1,1,1,,
europa-liga-das-nacoes-da-uefa-2022-2023,SEMIFINAIS,2023-06-14,Países Baixos,Croácia,2,4,1,0,2,2
europa-liga-das-nacoes-da-uefa-2022-2023,RODADA 6,2022-09-27,Portugal,Espanha,0,1,0,0,,
europa-liga-das-nacoes-da-uefa-2022-2023,RODADA 6,2022-09-27,Suíça,Republica Tcheca,2,1,2,1,,
europa-liga-das-nacoes-da-uefa-2022-2023,RODADA 6,2022-09-27,Albânia,Islândia,1,1,1,0,,
europa-liga-das-nacoes-da-uefa-2022-2023,RODADA 6,2022-09-27,Irlanda,Armênia,3,2,1,0,,
europa-liga-das-nacoes-da-uefa-2022-2023,RODADA 6,2022-09-27,Noruega,Sérvia,0,2,0,1,,
europa-liga-das-nacoes-da-uefa-2022-2023,RODADA 6,2022-09-27,Suécia,Eslovênia,1,1,1,1,,
europa-liga-das-nacoes-da-uefa-2022-2023,RODADA 6,2022-09-27,Ucrânia,Escócia,0,0,0,0,,
europa-liga-das-nacoes-da-uefa-2022-2023,RODADA 6,2022-09-27,Grécia,Irlanda do Norte,3,1,1,1,,
europa-liga-das-nacoes-da-uefa-2022-2023,RODADA 6,2022-09-27,Kosovo,Chipre,5,1,2,0,,
europa-liga-das-nacoes-da-uefa-2022-2023,RODADA 6,2022-09-26,Hungria,Itália,0,2,0,1,,
europa-liga-das-nacoes-da-uefa-2022-2023,RODADA 6,2022-09-26,Inglaterra,Alemanha,3,3,0,0,,
europa-liga-das-nacoes-da-uefa-2022-2023,RODADA 6,2022-09-26,Montenegro,Finlândia,0,2,0,0,,
europa-liga-das-nacoes-da-uefa-2022-2023,RODADA 6,2022-09-26,Romênia,Bósnia e Herzegovina,4,1,1,0,,
europa-liga-das-nacoes-da-uefa-2022-2023,RODADA 6,2022-09-26,Gibraltar,Geórgia,1,2,0,1,,
europa-liga-das-nacoes-da-uefa-2022-2023,RODADA 6,2022-09-26,Macedônia do Norte,Bulgária,0,1,0,0,,
europa-liga-das-nacoes-da-uefa-2022-2023,RODADA 6,2022-09-26,San Marino,Estônia,0,4,0,1,,
europa-liga-das-nacoes-da-uefa-2022-2023,RODADA 6,2022-09-25,Áustria,Croácia,1,3,1,1,,
europa-liga-das-nacoes-da-uefa-2022-2023,RODADA 6,2022-09-25,Dinamarca,França,2,0,2,0,,
europa-liga-das-nacoes-da-uefa-2022-2023,RODADA 6,2022-09-25,País de Gales,Polônia,0,1,0,0,,
europa-liga-das-nacoes-da-uefa-2022-2023,RODADA 6,2022-09-25,Países Baixos,Bélgica,1,0,0,0,,
europa-liga-das-nacoes-da-uefa-2022-2023,RODADA 6,2022-09-25,Ilhas Faroé,Turquia,2,1,0,0,,
europa-liga-das-nacoes-da-uefa-2022-2023,RODADA 6,2022-09-25,Luxemburgo,Lituânia,1,0,0,0,,
europa-liga-das-nacoes-da-uefa-2022-2023,RODADA 6,2022-09-25,Azerbaijão,Cazaquistão,3,0,0,0,,
europa-liga-das-nacoes-da-uefa-2022-2023,RODADA 6,2022-09-25,Eslováquia,Belarus,1,1,0,1,,
europa-liga-das-nacoes-da-uefa-2022-2023,RODADA 6,2022-09-25,Andorra,Letônia,1,1,0,0,,
europa-liga-das-nacoes-da-uefa-2022-2023,RODADA 6,2022-09-25,Moldávia,Liechtenstein,2,0,0,0,,
europa-liga-das-nacoes-da-uefa-2022-2023,RODADA 5,2022-09-24,Espanha,Suíça,1,2,0,1,,
europa-liga-das-nacoes-da-uefa-2022-2023,RODADA 5,2022-09-24,Republica Tcheca,Portugal,0,4,0,2,,
europa-liga-das-nacoes-da-uefa-2022-2023,RODADA 5,2022-09-24,Escócia,Irlanda,2,1,0,1,,
europa-liga-das-nacoes-da-uefa-2022-2023,RODADA 5,2022-09-24,Israel,Albânia,2,1,0,0,,
europa-liga-das-nacoes-da-uefa-2022-2023,RODADA 5,2022-09-24,Sérvia,Suécia,4,1,2,1,,
europa-liga-das-nacoes-da-uefa-2022-2023,RODADA 5,2022-09-24,Chipre,Grécia,1,0,1,0,,
europa-liga-das-nacoes-da-uefa-2022-2023,RODADA 5,2022-09-24,Eslovênia,Noruega,2,1,0,0,,
europa-liga-das-nacoes-da-uefa-2022-2023,RODADA 5,2022-09-24,Irlanda do Norte,Kosovo,2,1,0,0,,
europa-liga-das-nacoes-da-uefa-2022-2023,RODADA 5,2022-09-24,Armênia,Ucrânia,0,5,0,1,,
europa-liga-das-nacoes-da-uefa-2022-2023,RODADA 5,2022-09-23,Alemanha,Hungria,0,1,0,1,,
europa-liga-das-nacoes-da-uefa-2022-2023,RODADA 5,2022-09-23,Itália,Inglaterra,1,0,0,0,,
europa-liga-das-nacoes-da-uefa-2022-2023,RODADA 5,2022-09-23,Bósnia e Herzegovina,Montenegro,1,0,1,0,,
europa-liga-das-nacoes-da-uefa-2022-2023,RODADA 5,2022-09-23,Finlândia,Romênia,1,1,1,0,,
europa-liga-das-nacoes-da-uefa-2022-2023,RODADA 5,2022-09-23,Bulgária,Gibraltar,5,1,2,1,,
europa-liga-das-nacoes-da-uefa-2022-2023,RODADA 5,2022-09-23,Geórgia,Macedônia do Norte,2,0,1,0,,
europa-liga-das-nacoes-da-uefa-2022-2023,RODADA 5,2022-09-23,Estônia,Malta,2,1,1,0,,
europa-liga-das-nacoes-da-uefa-2022-2023,RODADA 5,2022-09-22,Bélgica,País de Gales,2,1,2,0,,
europa-liga-das-nacoes-da-uefa-2022-2023,RODADA 5,2022-09-22,Croácia,Dinamarca,2,1,0,0,,
europa-liga-das-nacoes-da-uefa-2022-2023,RODADA 5,2022-09-22,França,Áustria,2,0,0,0,,
europa-liga-das-nacoes-da-uefa-2022-2023,RODADA 5,2022-09-22,Polônia,Países Baixos,0,2,0,1,,
europa-liga-das-nacoes-da-uefa-2022-2023,RODADA 5,2022-09-22,Eslováquia,Azerbaijão,1,2,0,1,,
europa-liga-das-nacoes-da-uefa-2022-2023,RODADA 5,2022-09-22,Lituânia,Ilhas Faroé,1,1,1,1,,
europa-liga-das-nacoes-da-uefa-2022-2023,RODADA 5,2022-09-22,Turquia,Luxemburgo,3,3,2,2,,
europa-liga-das-nacoes-da-uefa-2022-2023,RODADA 5,2022-09-22,Liechtenstein,Andorra,0,2,0,1,,
europa-liga-das-nacoes-da-uefa-2022-2023,RODADA 5,2022-09-22,Letônia,Moldávia,1,2,0,2,,
europa-liga-das-nacoes-da-uefa-2022-2023,RODADA 5,2022-09-22,Cazaquistão,Belarus,2,1,1,1,,
europa-liga-das-nacoes-da-uefa-2022-2023,RODADA 2,2022-09-21,Escócia,Ucrânia,3,0,0,0,,
europa-liga-das-nacoes-da-uefa-2022-2023,RODADA 4,2022-06-14,Alemanha,Itália,5,2,2,0,,
europa-liga-das-nacoes-da-uefa-2022-2023,RODADA 4,2022-06-14,Inglaterra,Hungria,0,4,0,1,,
europa-liga-das-nacoes-da-uefa-2022-2023,RODADA 4,2022-06-14,Países Baixos,País de Gales,3,2,2,1,,
europa-liga-das-nacoes-da-uefa-2022-2023,RODADA 4,2022-06-14,Polônia,Bélgica,0,1,0,1,,
europa-liga-das-nacoes-da-uefa-2022-2023,RODADA 4,2022-06-14,Bósnia e Herzegovina,Finlândia,3,2,2,2,,
europa-liga-das-nacoes-da-uefa-2022-2023,RODADA 4,2022-06-14,Romênia,Montenegro,0,3,0,1,,
europa-liga-das-nacoes-da-uefa-2022-2023,RODADA 4,2022-06-14,Ucrânia,Irlanda,1,1,0,1,,
europa-liga-das-nacoes-da-uefa-2022-2023,RODADA 4,2022-06-14,Luxemburgo,Ilhas Faroé,2,2,1,0,,
europa-liga-das-nacoes-da-uefa-2022-2023,RODADA 4,2022-06-14,Turquia,Lituânia,2,0,1,0,,
europa-liga-das-nacoes-da-uefa-2022-2023,RODADA 4,2022-06-14,Liechtenstein,Letônia,0,2,0,2,,
europa-liga-das-nacoes-da-uefa-2022-2023,RODADA 4,2022-06-14,Armênia,Escócia,1,4,1,2,,
europa-liga-das-nacoes-da-uefa-2022-2023,RODADA 4,2022-06-14,Moldávia,Andorra,2,1,1,1,,
europa-liga-das-nacoes-da-uefa-2022-2023,RODADA 4,2022-06-13,Dinamarca,Áustria,2,0,2,0,,
europa-liga-das-nacoes-da-uefa-2022-2023,RODADA 4,2022-06-13,França,Croácia,0,1,0,1,,
europa-liga-das-nacoes-da-uefa-2022-2023,RODADA 4,2022-06-13,Islândia,Israel,2,2,1,1,,
europa-liga-das-nacoes-da-uefa-2022-2023,RODADA 4,2022-06-13,Azerbaijão,Belarus,2,0,0,0,,
europa-liga-das-nacoes-da-uefa-2022-2023,RODADA 4,2022-06-13,Cazaquistão,Eslováquia,2,1,2,0,,
europa-liga-das-nacoes-da-uefa-2022-2023,RODADA 4,2022-06-12,Espanha,Republica Tcheca,2,0,1,0,,
europa-liga-das-nacoes-da-uefa-2022-2023,RODADA 4,2022-06-12,Suíça,Portugal,1,0,1,0,,
europa-liga-das-nacoes-da-uefa-2022-2023,RODADA 4,2022-06-12,Eslovênia,Sérvia,2,2,0,2,,
europa-liga-das-nacoes-da-uefa-2022-2023,RODADA 4,2022-06-12,Grécia,Kosovo,2,0,0,0,,
europa-liga-das-nacoes-da-uefa-2022-2023,RODADA 4,2022-06-12,Malta,San Marino,1,0,0,0,,
europa-liga-das-nacoes-da-uefa-2022-2023,RODADA 4,2022-06-12,Noruega,Suécia,3,2,1,0,,
europa-liga-das-nacoes-da-uefa-2022-2023,RODADA 4,2022-06-12,Geórgia,Bulgária,0,0,0,0,,
europa-liga-das-nacoes-da-uefa-2022-2023,RODADA 4,2022-06-12,Macedônia do Norte,Gibraltar,4,0,4,0,,
europa-liga-das-nacoes-da-uefa-2022-2023,RODADA 4,2022-06-12,Irlanda do Norte,Chipre,2,2,0,1,,
europa-liga-das-nacoes-da-uefa-2022-2023,RODADA 3,2022-06-11,Hungria,Alemanha,1,1,1,1,,
europa-liga-das-nacoes-da-uefa-2022-2023,RODADA 3,2022-06-11,Inglaterra,Itália,0,0,0,0,,
europa-liga-das-nacoes-da-uefa-2022-2023,RODADA 3,2022-06-11,País de Gales,Bélgica,1,1,0,0,,
europa-liga-das-nacoes-da-uefa-2022-2023,RODADA 3,2022-06-11,Países Baixos,Polônia,2,2,0,1,,
europa-liga-das-nacoes-da-uefa-2022-2023,RODADA 3,2022-06-11,Montenegro,Bósnia e Herzegovina,1,1,0,0,,
europa-liga-das-nacoes-da-uefa-2022-2023,RODADA 3,2022-06-11,Romênia,Finlândia,1,0,1,0,,
europa-liga-das-nacoes-da-uefa-2022-2023,RODADA 3,2022-06-11,Luxemburgo,Turquia,0,2,0,1,,
europa-liga-das-nacoes-da-uefa-2022-2023,RODADA 3,2022-06-11,Irlanda,Escócia,3,0,2,0,,
europa-liga-das-nacoes-da-uefa-2022-2023,RODADA 3,2022-06-11,Ilhas Faroé,Lituânia,2,1,2,1,,
europa-liga-das-nacoes-da-uefa-2022-2023,RODADA 3,2022-06-11,Ucrânia,Armênia,3,0,0,0,,
europa-liga-das-nacoes-da-uefa-2022-2023,RODADA 3,2022-06-10,Áustria,França,1,1,1,0,,
europa-liga-das-nacoes-da-uefa-2022-2023,RODADA 3,2022-06-10,Dinamarca,Croácia,0,1,0,0,,
europa-liga-das-nacoes-da-uefa-2022-2023,RODADA 3,2022-06-10,Albânia,Israel,1,2,1,0,,
europa-liga-das-nacoes-da-uefa-2022-2023,RODADA 3,2022-06-10,Belarus,Cazaquistão,1,1,0,1,,
europa-liga-das-nacoes-da-uefa-2022-2023,RODADA 3,2022-06-10,Andorra,Liechtenstein,2,1,0,0,,
europa-liga-das-nacoes-da-uefa-2022-2023,RODADA 3,2022-06-10,Azerbaijão,Eslováquia,0,1,0,0,,
europa-liga-das-nacoes-da-uefa-2022-2023,RODADA 3,2022-06-10,Moldávia,Letônia,2,4,1,2,,
europa-liga-das-nacoes-da-uefa-2022-2023,RODADA 3,2022-06-09,Portugal,Republica Tcheca,2,0,2,0,,
