Campeonato,Rodada,Data,Home,Away,Gols_home,Gols_away,Gols_1T_home,Gols_1T_away,Gols_2T_home,Gols_2T_away
franca-ligue-1-2021-2022,FINAL,2022-05-29,St. Etienne,Auxerre,1,2,0,0,1,1
franca-ligue-1-2021-2022,FINAL,2022-05-26,Auxerre,St. Etienne,1,1,0,1,,
franca-ligue-1-2021-2022,RODADA 38,2022-05-21,Angers,Montpellier,2,0,1,0,,
franca-ligue-1-2021-2022,RODADA 38,2022-05-21,Brest,Bordeaux,2,4,2,2,,
franca-ligue-1-2021-2022,RODADA 38,2022-05-21,Clermont,Lyon,1,2,0,1,,
franca-ligue-1-2021-2022,RODADA 38,2022-05-21,Lens,Monaco,2,2,1,1,,
franca-ligue-1-2021-2022,RODADA 38,2022-05-21,Lille,Rennes,2,2,1,1,,
franca-ligue-1-2021-2022,RODADA 38,2022-05-21,Lorient,Troyes,1,1,0,1,,
franca-ligue-1-2021-2022,RODADA 38,2022-05-21,Marseille,Strasbourg,4,0,1,0,,
franca-ligue-1-2021-2022,RODADA 38,2022-05-21,Nantes,St. Etienne,1,1,1,0,,
franca-ligue-1-2021-2022,RODADA 38,2022-05-21,PSG,Metz,5,0,3,0,,
franca-ligue-1-2021-2022,RODADA 38,2022-05-21,Reims,Nice,2,3,2,0,,
franca-ligue-1-2021-2022,SEMIFINAIS,2022-05-20,Auxerre,Sochaux,1,0,0,0,0,0
franca-ligue-1-2021-2022,QUARTAS DE FINAL,2022-05-17,Paris FC,Sochaux,1,2,1,1,,
franca-ligue-1-2021-2022,RODADA 37,2022-05-14,Bordeaux,Lorient,0,0,0,0,,
franca-ligue-1-2021-2022,RODADA 37,2022-05-14,Lyon,Nantes,3,2,1,0,,
franca-ligue-1-2021-2022,RODADA 37,2022-05-14,Metz,Angers,1,0,0,0,,
franca-ligue-1-2021-2022,RODADA 37,2022-05-14,Monaco,Brest,4,2,1,2,,
franca-ligue-1-2021-2022,RODADA 37,2022-05-14,Montpellier,PSG,0,4,0,3,,
franca-ligue-1-2021-2022,RODADA 37,2022-05-14,Nice,Lille,1,3,1,0,,
franca-ligue-1-2021-2022,RODADA 37,2022-05-14,Rennes,Marseille,2,0,2,0,,
franca-ligue-1-2021-2022,RODADA 37,2022-05-14,St. Etienne,Reims,1,2,1,1,,
franca-ligue-1-2021-2022,RODADA 37,2022-05-14,Strasbourg,Clermont,1,0,1,0,,
franca-ligue-1-2021-2022,RODADA 37,2022-05-14,Troyes,Lens,1,3,1,2,,
franca-ligue-1-2021-2022,RODADA 36,2022-05-11,Nantes,Rennes,2,1,1,1,,
franca-ligue-1-2021-2022,RODADA 36,2022-05-11,Nice,St. Etienne,4,2,0,2,,
franca-ligue-1-2021-2022,RODADA 36,2022-05-08,PSG,Troyes,2,2,2,1,,
franca-ligue-1-2021-2022,RODADA 36,2022-05-08,Lorient,Marseille,0,3,0,1,,
franca-ligue-1-2021-2022,RODADA 36,2022-05-08,Angers,Bordeaux,4,1,2,0,,
franca-ligue-1-2021-2022,RODADA 36,2022-05-08,Clermont,Montpellier,2,1,1,1,,
franca-ligue-1-2021-2022,RODADA 36,2022-05-08,Reims,Lens,1,2,1,0,,
franca-ligue-1-2021-2022,RODADA 36,2022-05-08,Metz,Lyon,3,2,2,1,,
franca-ligue-1-2021-2022,RODADA 36,2022-05-07,Brest,Strasbourg,0,1,0,0,,
franca-ligue-1-2021-2022,RODADA 36,2022-05-06,Lille,Monaco,1,2,0,1,,
franca-ligue-1-2021-2022,RODADA 35,2022-05-01,Marseille,Lyon,0,3,0,0,,
franca-ligue-1-2021-2022,RODADA 35,2022-05-01,Bordeaux,Nice,0,1,0,0,,
franca-ligue-1-2021-2022,RODADA 35,2022-05-01,Brest,Clermont,2,0,0,0,,
franca-ligue-1-2021-2022,RODADA 35,2022-05-01,Lorient,Reims,1,2,1,1,,
franca-ligue-1-2021-2022,RODADA 35,2022-05-01,Monaco,Angers,2,0,1,0,,
franca-ligue-1-2021-2022,RODADA 35,2022-05-01,Montpellier,Metz,2,2,0,1,,
franca-ligue-1-2021-2022,RODADA 35,2022-05-01,Troyes,Lille,3,0,1,0,,
franca-ligue-1-2021-2022,RODADA 35,2022-04-30,Rennes,St. Etienne,2,0,1,0,,
franca-ligue-1-2021-2022,RODADA 35,2022-04-30,Lens,Nantes,2,2,0,2,,
franca-ligue-1-2021-2022,RODADA 35,2022-04-29,Strasbourg,PSG,3,3,1,1,,
franca-ligue-1-2021-2022,RODADA 34,2022-04-24,Reims,Marseille,0,1,0,0,,
franca-ligue-1-2021-2022,RODADA 34,2022-04-24,Lille,Strasbourg,1,0,0,0,,
franca-ligue-1-2021-2022,RODADA 34,2022-04-24,Clermont,Angers,2,2,0,2,,
franca-ligue-1-2021-2022,RODADA 34,2022-04-24,Metz,Brest,0,1,0,1,,
franca-ligue-1-2021-2022,RODADA 34,2022-04-24,Nantes,Bordeaux,5,3,0,2,,
franca-ligue-1-2021-2022,RODADA 34,2022-04-24,Nice,Troyes,1,0,0,0,,
franca-ligue-1-2021-2022,RODADA 34,2022-04-24,Rennes,Lorient,5,0,2,0,,
franca-ligue-1-2021-2022,RODADA 34,2022-04-23,PSG,Lens,1,1,0,0,,
franca-ligue-1-2021-2022,RODADA 34,2022-04-23,St. Etienne,Monaco,1,4,1,2,,
franca-ligue-1-2021-2022,RODADA 34,2022-04-23,Lyon,Montpellier,5,2,2,2,,
franca-ligue-1-2021-2022,RODADA 33,2022-04-20,Angers,PSG,0,3,0,2,,
franca-ligue-1-2021-2022,RODADA 33,2022-04-20,Brest,Lyon,2,1,1,0,,
franca-ligue-1-2021-2022,RODADA 33,2022-04-20,Lens,Montpellier,2,0,1,0,,
franca-ligue-1-2021-2022,RODADA 33,2022-04-20,Marseille,Nantes,3,2,1,2,,
franca-ligue-1-2021-2022,RODADA 33,2022-04-20,Strasbourg,Rennes,2,1,1,0,,
franca-ligue-1-2021-2022,RODADA 33,2022-04-20,Bordeaux,St. Etienne,2,2,2,1,,
franca-ligue-1-2021-2022,RODADA 33,2022-04-20,Lorient,Metz,1,0,0,0,,
franca-ligue-1-2021-2022,RODADA 33,2022-04-20,Monaco,Nice,1,0,1,0,,
franca-ligue-1-2021-2022,RODADA 33,2022-04-20,Reims,Lille,2,1,1,0,,
franca-ligue-1-2021-2022,RODADA 33,2022-04-20,Troyes,Clermont,0,1,0,0,,
franca-ligue-1-2021-2022,RODADA 32,2022-04-17,PSG,Marseille,2,1,2,1,,
franca-ligue-1-2021-2022,RODADA 32,2022-04-17,Lyon,Bordeaux,6,1,3,0,,
franca-ligue-1-2021-2022,RODADA 32,2022-04-17,Metz,Clermont,1,1,1,1,,
franca-ligue-1-2021-2022,RODADA 32,2022-04-17,Montpellier,Reims,0,0,0,0,,
franca-ligue-1-2021-2022,RODADA 32,2022-04-17,Nantes,Angers,1,1,0,1,,
franca-ligue-1-2021-2022,RODADA 32,2022-04-17,Troyes,Strasbourg,1,1,0,0,,
franca-ligue-1-2021-2022,RODADA 32,2022-04-17,Nice,Lorient,2,1,0,0,,
franca-ligue-1-2021-2022,RODADA 32,2022-04-16,Lille,Lens,1,2,1,2,,
franca-ligue-1-2021-2022,RODADA 32,2022-04-16,St. Etienne,Brest,2,1,2,1,,
franca-ligue-1-2021-2022,RODADA 32,2022-04-15,Rennes,Monaco,2,3,1,1,,
franca-ligue-1-2021-2022,RODADA 31,2022-04-10,Marseille,Montpellier,2,0,2,0,,
franca-ligue-1-2021-2022,RODADA 31,2022-04-10,Strasbourg,Lyon,1,1,1,0,,
franca-ligue-1-2021-2022,RODADA 31,2022-04-10,Lens,Nice,3,0,0,0,,
franca-ligue-1-2021-2022,RODADA 31,2022-04-10,Angers,Lille,1,1,0,0,,
franca-ligue-1-2021-2022,RODADA 31,2022-04-10,Brest,Nantes,1,1,0,1,,
franca-ligue-1-2021-2022,RODADA 31,2022-04-10,Monaco,Troyes,2,1,1,1,,
franca-ligue-1-2021-2022,RODADA 31,2022-04-10,Bordeaux,Metz,3,1,0,1,,
franca-ligue-1-2021-2022,RODADA 31,2022-04-09,Clermont,PSG,1,6,1,2,,
franca-ligue-1-2021-2022,RODADA 31,2022-04-09,Reims,Rennes,2,3,0,2,,
franca-ligue-1-2021-2022,RODADA 31,2022-04-08,Lorient,St. Etienne,6,2,2,2,,
franca-ligue-1-2021-2022,RODADA 30,2022-04-03,PSG,Lorient,5,1,2,0,,
franca-ligue-1-2021-2022,RODADA 30,2022-04-03,Lyon,Angers,3,2,1,0,,
franca-ligue-1-2021-2022,RODADA 30,2022-04-03,Clermont,Nantes,2,3,0,1,,
franca-ligue-1-2021-2022,RODADA 30,2022-04-03,Metz,Monaco,1,2,0,0,,
