Campeonato,Rodada,Data,Home,Away,Gols_home,Gols_away,GOLS_1T_HOME,GOLS_1T_AWAY,GOLS_2T_HOME,GOLS_2T_AWAY
inglaterra-copa-da-liga-inglesa-2023-2024,OITAVAS DE FINAL,2024-11-01,Manchester Utd,Newcastle,0,3,0,2,,
inglaterra-copa-da-liga-inglesa-2023-2024,OITAVAS DE FINAL,2024-11-01,Bournemouth,Liverpool,1,2,0,1,,
inglaterra-copa-da-liga-inglesa-2023-2024,OITAVAS DE FINAL,2024-11-01,Chelsea,Blackburn,2,0,1,0,,
inglaterra-copa-da-liga-inglesa-2023-2024,OITAVAS DE FINAL,2024-11-01,Everton,Burnley,3,0,1,0,,
inglaterra-copa-da-liga-inglesa-2023-2024,OITAVAS DE FINAL,2024-11-01,Ipswich,Fulham,1,3,0,1,,
inglaterra-copa-da-liga-inglesa-2023-2024,OITAVAS DE FINAL,2024-11-01,West Ham,Arsenal,3,1,1,0,,
inglaterra-copa-da-liga-inglesa-2023-2024,OITAVAS DE FINAL,2024-10-31,Exeter,Middlesbrough,2,3,1,0,,
inglaterra-copa-da-liga-inglesa-2023-2024,OITAVAS DE FINAL,2024-10-31,Mansfield,Port Vale,0,1,0,0,,
inglaterra-copa-da-liga-inglesa-2023-2024,16 AVOS DE FINAL,2024-09-27,Newcastle,Manchester City,1,0,0,0,,
inglaterra-copa-da-liga-inglesa-2023-2024,16 AVOS DE FINAL,2024-09-27,Aston Villa,Everton,1,2,0,1,,
inglaterra-copa-da-liga-inglesa-2023-2024,16 AVOS DE FINAL,2024-09-27,Blackburn,Cardiff,5,2,2,2,,
inglaterra-copa-da-liga-inglesa-2023-2024,16 AVOS DE FINAL,2024-09-27,Bournemouth,Stoke,2,0,0,0,,
inglaterra-copa-da-liga-inglesa-2023-2024,16 AVOS DE FINAL,2024-09-27,Brentford,Arsenal,0,1,0,1,,
inglaterra-copa-da-liga-inglesa-2023-2024,16 AVOS DE FINAL,2024-09-27,Chelsea,Brighton,1,0,0,0,,
inglaterra-copa-da-liga-inglesa-2023-2024,16 AVOS DE FINAL,2024-09-27,Fulham,Norwich,2,1,1,0,,
inglaterra-copa-da-liga-inglesa-2023-2024,16 AVOS DE FINAL,2024-09-27,Lincoln,West Ham,0,1,0,0,,
inglaterra-copa-da-liga-inglesa-2023-2024,16 AVOS DE FINAL,2024-09-27,Liverpool,Leicester,3,1,0,1,,
inglaterra-copa-da-liga-inglesa-2023-2024,16 AVOS DE FINAL,2024-09-26,Manchester Utd,Crystal Palace,3,0,2,0,,
inglaterra-copa-da-liga-inglesa-2023-2024,16 AVOS DE FINAL,2024-09-26,Bradford City,Middlesbrough,0,2,0,1,,
inglaterra-copa-da-liga-inglesa-2023-2024,16 AVOS DE FINAL,2024-09-26,Exeter,Luton,1,0,0,0,,
inglaterra-copa-da-liga-inglesa-2023-2024,16 AVOS DE FINAL,2024-09-26,Ipswich,Wolverhampton,3,2,2,2,,
inglaterra-copa-da-liga-inglesa-2023-2024,16 AVOS DE FINAL,2024-09-26,Mansfield,Peterborough,3,2,1,1,2,2
inglaterra-copa-da-liga-inglesa-2023-2024,16 AVOS DE FINAL,2024-09-26,Port Vale,Sutton,2,1,0,0,,
inglaterra-copa-da-liga-inglesa-2023-2024,16 AVOS DE FINAL,2024-09-26,Salford,Burnley,0,4,0,3,,
inglaterra-copa-da-liga-inglesa-2023-2024,32 AVOS DE FINAL,2024-08-30,Doncaster,Everton,1,2,1,0,,
inglaterra-copa-da-liga-inglesa-2023-2024,32 AVOS DE FINAL,2024-08-30,Chelsea,Wimbledon,2,1,1,1,,
inglaterra-copa-da-liga-inglesa-2023-2024,32 AVOS DE FINAL,2024-08-30,Harrogate,Blackburn,0,8,0,4,,
inglaterra-copa-da-liga-inglesa-2023-2024,32 AVOS DE FINAL,2024-08-30,Nottingham,Burnley,0,1,0,0,,
inglaterra-copa-da-liga-inglesa-2023-2024,32 AVOS DE FINAL,2024-08-30,Sheffield Utd,Lincoln,0,1,0,0,0,0
inglaterra-copa-da-liga-inglesa-2023-2024,32 AVOS DE FINAL,2024-08-29,Reading,Ipswich,2,3,1,1,2,2
inglaterra-copa-da-liga-inglesa-2023-2024,32 AVOS DE FINAL,2024-08-29,Salford,Leeds,2,1,1,0,1,1
inglaterra-copa-da-liga-inglesa-2023-2024,32 AVOS DE FINAL,2024-08-29,Birmingham,Cardiff,1,3,0,1,,
inglaterra-copa-da-liga-inglesa-2023-2024,32 AVOS DE FINAL,2024-08-29,Bolton,Middlesbrough,1,3,1,1,,
inglaterra-copa-da-liga-inglesa-2023-2024,32 AVOS DE FINAL,2024-08-29,Bristol City,Norwich,0,1,0,0,,
inglaterra-copa-da-liga-inglesa-2023-2024,32 AVOS DE FINAL,2024-08-29,Exeter,Stevenage,2,1,1,0,1,1
inglaterra-copa-da-liga-inglesa-2023-2024,32 AVOS DE FINAL,2024-08-29,Fulham,Tottenham,2,1,1,0,1,1
inglaterra-copa-da-liga-inglesa-2023-2024,32 AVOS DE FINAL,2024-08-29,Luton,Gillingham FC,3,2,2,0,,
inglaterra-copa-da-liga-inglesa-2023-2024,32 AVOS DE FINAL,2024-08-29,Newport,Brentford,1,2,0,0,1,1
inglaterra-copa-da-liga-inglesa-2023-2024,32 AVOS DE FINAL,2024-08-29,Plymouth,Crystal Palace,2,4,1,0,,
inglaterra-copa-da-liga-inglesa-2023-2024,32 AVOS DE FINAL,2024-08-29,Port Vale,Crewe,1,0,0,0,0,0
inglaterra-copa-da-liga-inglesa-2023-2024,32 AVOS DE FINAL,2024-08-29,Portsmouth,Peterborough,1,2,0,1,1,1
inglaterra-copa-da-liga-inglesa-2023-2024,32 AVOS DE FINAL,2024-08-29,Sheffield Wednesday,Mansfield,1,2,1,0,1,1
inglaterra-copa-da-liga-inglesa-2023-2024,32 AVOS DE FINAL,2024-08-29,Stoke,Rotherham,6,1,4,1,,
inglaterra-copa-da-liga-inglesa-2023-2024,32 AVOS DE FINAL,2024-08-29,Tranmere,Leicester,0,2,0,0,,
inglaterra-copa-da-liga-inglesa-2023-2024,32 AVOS DE FINAL,2024-08-29,Wolverhampton,Blackpool,5,0,2,0,,
inglaterra-copa-da-liga-inglesa-2023-2024,32 AVOS DE FINAL,2024-08-29,Wrexham,Bradford City,1,2,0,1,1,1
inglaterra-copa-da-liga-inglesa-2023-2024,32 AVOS DE FINAL,2024-08-29,Wycombe,Sutton,0,1,0,1,,
inglaterra-copa-da-liga-inglesa-2023-2024,32 AVOS DE FINAL,2024-08-29,Swansea,Bournemouth,2,3,1,0,,
inglaterra-copa-da-liga-inglesa-2023-2024,64 AVOS DE FINAL,2024-08-16,QPR,Norwich,0,1,0,0,,
inglaterra-copa-da-liga-inglesa-2023-2024,64 AVOS DE FINAL,2024-08-09,Burton,Leicester,0,2,0,2,,
inglaterra-copa-da-liga-inglesa-2023-2024,64 AVOS DE FINAL,2024-08-09,Bristol City,Oxford Utd,5,1,2,1,,
inglaterra-copa-da-liga-inglesa-2023-2024,64 AVOS DE FINAL,2024-08-09,Cardiff,Colchester,3,2,2,2,2,2
inglaterra-copa-da-liga-inglesa-2023-2024,64 AVOS DE FINAL,2024-08-09,Ipswich,Bristol Rovers,2,0,1,0,,
inglaterra-copa-da-liga-inglesa-2023-2024,64 AVOS DE FINAL,2024-08-09,Leeds,Shrewsbury,2,1,0,1,,
inglaterra-copa-da-liga-inglesa-2023-2024,64 AVOS DE FINAL,2024-08-09,Wimbledon,Coventry,2,1,0,1,,
inglaterra-copa-da-liga-inglesa-2023-2024,64 AVOS DE FINAL,2024-08-08,Wrexham,Wigan,1,0,0,0,0,0
inglaterra-copa-da-liga-inglesa-2023-2024,64 AVOS DE FINAL,2024-08-08,Accrington,Bradford City,1,2,0,1,1,1
inglaterra-copa-da-liga-inglesa-2023-2024,64 AVOS DE FINAL,2024-08-08,Barnsley,Tranmere,2,3,1,1,2,2
inglaterra-copa-da-liga-inglesa-2023-2024,64 AVOS DE FINAL,2024-08-08,Blackburn,Walsall,4,3,2,2,,
inglaterra-copa-da-liga-inglesa-2023-2024,64 AVOS DE FINAL,2024-08-08,Bolton,Barrow,1,0,1,0,,
inglaterra-copa-da-liga-inglesa-2023-2024,64 AVOS DE FINAL,2024-08-08,Cheltenham,Birmingham,0,2,0,2,,
inglaterra-copa-da-liga-inglesa-2023-2024,64 AVOS DE FINAL,2024-08-08,Derby,Blackpool,0,2,0,2,,
inglaterra-copa-da-liga-inglesa-2023-2024,64 AVOS DE FINAL,2024-08-08,Exeter,Crawley,2,1,0,1,,
inglaterra-copa-da-liga-inglesa-2023-2024,64 AVOS DE FINAL,2024-08-08,Forest Green,Portsmouth,1,3,1,1,,
inglaterra-copa-da-liga-inglesa-2023-2024,64 AVOS DE FINAL,2024-08-08,Gillingham FC,Southampton,3,1,1,0,,
inglaterra-copa-da-liga-inglesa-2023-2024,64 AVOS DE FINAL,2024-08-08,Harrogate,Carlisle,1,0,1,0,,
inglaterra-copa-da-liga-inglesa-2023-2024,64 AVOS DE FINAL,2024-08-08,Hull,Doncaster,1,2,1,1,,
inglaterra-copa-da-liga-inglesa-2023-2024,64 AVOS DE FINAL,2024-08-08,Millwall,Reading,0,4,0,1,,
inglaterra-copa-da-liga-inglesa-2023-2024,64 AVOS DE FINAL,2024-08-08,Milton Keynes,Wycombe,0,2,0,0,,
inglaterra-copa-da-liga-inglesa-2023-2024,64 AVOS DE FINAL,2024-08-08,Notts County,Lincoln,0,2,0,1,,
inglaterra-copa-da-liga-inglesa-2023-2024,64 AVOS DE FINAL,2024-08-08,Plymouth,Leyton Orient,2,0,2,0,,
inglaterra-copa-da-liga-inglesa-2023-2024,64 AVOS DE FINAL,2024-08-08,Port Vale,Fleetwood,3,2,1,1,,
inglaterra-copa-da-liga-inglesa-2023-2024,64 AVOS DE FINAL,2024-08-08,Preston,Salford,2,3,1,2,2,2
inglaterra-copa-da-liga-inglesa-2023-2024,64 AVOS DE FINAL,2024-08-08,Rotherham,Morecambe,2,1,1,1,1,1
inglaterra-copa-da-liga-inglesa-2023-2024,64 AVOS DE FINAL,2024-08-08,Sheffield Wednesday,Stockport,2,1,0,1,1,1
inglaterra-copa-da-liga-inglesa-2023-2024,64 AVOS DE FINAL,2024-08-08,Stevenage,Watford,2,1,1,1,1,1
inglaterra-copa-da-liga-inglesa-2023-2024,64 AVOS DE FINAL,2024-08-08,Stoke,West Bromwich,2,1,1,0,,
inglaterra-copa-da-liga-inglesa-2023-2024,64 AVOS DE FINAL,2024-08-08,Sunderland,Crewe,1,2,0,1,1,1
inglaterra-copa-da-liga-inglesa-2023-2024,64 AVOS DE FINAL,2024-08-08,Sutton,Cambridge Utd,3,2,1,1,2,2
inglaterra-copa-da-liga-inglesa-2023-2024,64 AVOS DE FINAL,2024-08-08,Mansfield,Grimsby,2,0,1,0,,
inglaterra-copa-da-liga-inglesa-2023-2024,64 AVOS DE FINAL,2024-08-08,Newport,Charlton,3,1,0,1,,
inglaterra-copa-da-liga-inglesa-2023-2024,64 AVOS DE FINAL,2024-08-08,Peterborough,Swindon,2,1,1,0,1,1
inglaterra-copa-da-liga-inglesa-2023-2024,64 AVOS DE FINAL,2024-08-08,Swansea,Northampton,3,0,1,0,,
inglaterra-copa-da-liga-inglesa-2023-2024,64 AVOS DE FINAL,2024-08-08,Huddersfield,Middlesbrough,2,3,1,1,,
