Campeonato,Rodada,Data,Home,Away,Gols_home,Gols_away,Gols_1T_home,Gols_1T_away,Gols_2T_home,Gols_2T_away
inglaterra-copa-da-liga-inglesa-2021-2022,FINAL,2022-02-27,Chelsea,Liverpool,0,1,0,0,0,0
inglaterra-copa-da-liga-inglesa-2021-2022,SEMIFINAIS,2022-01-20,Arsenal,Liverpool,0,2,0,1,,
inglaterra-copa-da-liga-inglesa-2021-2022,SEMIFINAIS,2022-01-13,Liverpool,Arsenal,0,0,0,0,,
inglaterra-copa-da-liga-inglesa-2021-2022,SEMIFINAIS,2022-01-12,Tottenham,Chelsea,0,1,0,1,,
inglaterra-copa-da-liga-inglesa-2021-2022,SEMIFINAIS,2022-01-05,Chelsea,Tottenham,2,0,2,0,,
inglaterra-copa-da-liga-inglesa-2021-2022,QUARTAS DE FINAL,2021-12-22,Brentford,Chelsea,0,2,0,0,,
inglaterra-copa-da-liga-inglesa-2021-2022,QUARTAS DE FINAL,2021-12-22,Liverpool,Leicester,4,3,1,3,3,3
inglaterra-copa-da-liga-inglesa-2021-2022,QUARTAS DE FINAL,2021-12-22,Tottenham,West Ham,2,1,2,1,,
inglaterra-copa-da-liga-inglesa-2021-2022,QUARTAS DE FINAL,2021-12-21,Arsenal,Sunderland,5,1,2,1,,
inglaterra-copa-da-liga-inglesa-2021-2022,OITAVAS DE FINAL,2021-10-27,Burnley,Tottenham,0,1,0,0,,
inglaterra-copa-da-liga-inglesa-2021-2022,OITAVAS DE FINAL,2021-10-27,Leicester,Brighton,3,2,2,1,2,2
inglaterra-copa-da-liga-inglesa-2021-2022,OITAVAS DE FINAL,2021-10-27,Preston,Liverpool,0,2,0,0,,
inglaterra-copa-da-liga-inglesa-2021-2022,OITAVAS DE FINAL,2021-10-27,Stoke,Brentford,1,2,0,2,,
inglaterra-copa-da-liga-inglesa-2021-2022,OITAVAS DE FINAL,2021-10-27,West Ham,Manchester City,1,0,0,0,0,0
inglaterra-copa-da-liga-inglesa-2021-2022,OITAVAS DE FINAL,2021-10-26,Arsenal,Leeds,2,0,0,0,,
inglaterra-copa-da-liga-inglesa-2021-2022,OITAVAS DE FINAL,2021-10-26,Chelsea,Southampton,2,1,1,0,1,1
inglaterra-copa-da-liga-inglesa-2021-2022,OITAVAS DE FINAL,2021-10-26,QPR,Sunderland,0,1,0,0,0,0
inglaterra-copa-da-liga-inglesa-2021-2022,16 AVOS DE FINAL,2021-09-22,Arsenal,Wimbledon,3,0,1,0,,
inglaterra-copa-da-liga-inglesa-2021-2022,16 AVOS DE FINAL,2021-09-22,Chelsea,Aston Villa,2,1,0,0,1,1
