Campeonato,Rodada,Data,Home,Away,Gols_home,Gols_away,Gols_1T_home,Gols_1T_away,Gols_2T_home,Gols_2T_away
inglaterra-premier-league-2021-2022,RODADA 38,2022-05-22,Arsenal,Everton,5,1,2,1,,
inglaterra-premier-league-2021-2022,RODADA 38,2022-05-22,Brentford,Leeds,1,2,0,0,,
inglaterra-premier-league-2021-2022,RODADA 38,2022-05-22,Brighton,West Ham,3,1,0,1,,
inglaterra-premier-league-2021-2022,RODADA 38,2022-05-22,Burnley,Newcastle,1,2,0,1,,
inglaterra-premier-league-2021-2022,RODADA 38,2022-05-22,Chelsea,Watford,2,1,1,0,,
inglaterra-premier-league-2021-2022,RODADA 38,2022-05-22,Crystal Palace,Manchester Utd,1,0,1,0,,
inglaterra-premier-league-2021-2022,RODADA 38,2022-05-22,Leicester,Southampton,4,1,0,0,,
inglaterra-premier-league-2021-2022,RODADA 38,2022-05-22,Liverpool,Wolverhampton,3,1,1,1,,
inglaterra-premier-league-2021-2022,RODADA 38,2022-05-22,Manchester City,Aston Villa,3,2,0,1,,
inglaterra-premier-league-2021-2022,RODADA 38,2022-05-22,Norwich,Tottenham,0,5,0,2,,
inglaterra-premier-league-2021-2022,RODADA 18,2022-05-19,Aston Villa,Burnley,1,1,0,1,,
inglaterra-premier-league-2021-2022,RODADA 27,2022-05-19,Chelsea,Leicester,1,1,1,1,,
inglaterra-premier-league-2021-2022,RODADA 33,2022-05-19,Everton,Crystal Palace,3,2,0,2,,
inglaterra-premier-league-2021-2022,RODADA 37,2022-05-17,Southampton,Liverpool,1,2,1,1,,
inglaterra-premier-league-2021-2022,RODADA 37,2022-05-16,Newcastle,Arsenal,2,0,0,0,,
inglaterra-premier-league-2021-2022,RODADA 37,2022-05-15,Everton,Brentford,2,3,2,1,,
inglaterra-premier-league-2021-2022,RODADA 37,2022-05-15,Aston Villa,Crystal Palace,1,1,0,0,,
inglaterra-premier-league-2021-2022,RODADA 37,2022-05-15,Leeds,Brighton,1,1,0,1,,
inglaterra-premier-league-2021-2022,RODADA 37,2022-05-15,Watford,Leicester,1,5,1,2,,
inglaterra-premier-league-2021-2022,RODADA 37,2022-05-15,West Ham,Manchester City,2,2,2,0,,
inglaterra-premier-league-2021-2022,RODADA 37,2022-05-15,Wolverhampton,Norwich,1,1,0,1,,
inglaterra-premier-league-2021-2022,RODADA 37,2022-05-15,Tottenham,Burnley,1,0,1,0,,
inglaterra-premier-league-2021-2022,RODADA 22,2022-05-12,Tottenham,Arsenal,3,0,2,0,,
inglaterra-premier-league-2021-2022,RODADA 33,2022-05-11,Wolverhampton,Manchester City,1,5,1,3,,
inglaterra-premier-league-2021-2022,RODADA 21,2022-05-11,Leicester,Norwich,3,0,0,0,,
inglaterra-premier-league-2021-2022,RODADA 30,2022-05-11,Watford,Everton,0,0,0,0,,
inglaterra-premier-league-2021-2022,RODADA 33,2022-05-11,Leeds,Chelsea,0,3,0,1,,
inglaterra-premier-league-2021-2022,RODADA 33,2022-05-10,Aston Villa,Liverpool,1,2,1,1,,
inglaterra-premier-league-2021-2022,RODADA 36,2022-05-08,Manchester City,Newcastle,5,0,2,0,,
inglaterra-premier-league-2021-2022,RODADA 36,2022-05-08,Arsenal,Leeds,2,1,2,0,,
inglaterra-premier-league-2021-2022,RODADA 36,2022-05-08,Leicester,Everton,1,2,1,2,,
inglaterra-premier-league-2021-2022,RODADA 36,2022-05-08,Norwich,West Ham,0,4,0,3,,
inglaterra-premier-league-2021-2022,RODADA 36,2022-05-07,Liverpool,Tottenham,1,1,0,0,,
inglaterra-premier-league-2021-2022,RODADA 36,2022-05-07,Brighton,Manchester Utd,4,0,1,0,,
inglaterra-premier-league-2021-2022,RODADA 36,2022-05-07,Brentford,Southampton,3,0,2,0,,
inglaterra-premier-league-2021-2022,RODADA 36,2022-05-07,Burnley,Aston Villa,1,3,0,2,,
inglaterra-premier-league-2021-2022,RODADA 36,2022-05-07,Chelsea,Wolverhampton,2,2,0,0,,
inglaterra-premier-league-2021-2022,RODADA 36,2022-05-07,Crystal Palace,Watford,1,0,1,0,,
inglaterra-premier-league-2021-2022,RODADA 35,2022-05-02,Manchester Utd,Brentford,3,0,1,0,,
inglaterra-premier-league-2021-2022,RODADA 35,2022-05-01,West Ham,Arsenal,1,2,1,1,,
inglaterra-premier-league-2021-2022,RODADA 35,2022-05-01,Everton,Chelsea,1,0,0,0,,
inglaterra-premier-league-2021-2022,RODADA 35,2022-05-01,Tottenham,Leicester,3,1,1,0,,
inglaterra-premier-league-2021-2022,RODADA 35,2022-04-30,Leeds,Manchester City,0,4,0,1,,
inglaterra-premier-league-2021-2022,RODADA 35,2022-04-30,Aston Villa,Norwich,2,0,1,0,,
inglaterra-premier-league-2021-2022,RODADA 35,2022-04-30,Southampton,Crystal Palace,1,2,1,0,,
inglaterra-premier-league-2021-2022,RODADA 35,2022-04-30,Watford,Burnley,1,2,1,0,,
inglaterra-premier-league-2021-2022,RODADA 35,2022-04-30,Wolverhampton,Brighton,0,3,0,1,,
inglaterra-premier-league-2021-2022,RODADA 35,2022-04-30,Newcastle,Liverpool,0,1,0,1,,
inglaterra-premier-league-2021-2022,RODADA 37,2022-04-28,Manchester Utd,Chelsea,1,1,0,0,,
inglaterra-premier-league-2021-2022,RODADA 34,2022-04-25,Crystal Palace,Leeds,0,0,0,0,,
inglaterra-premier-league-2021-2022,RODADA 34,2022-04-24,Liverpool,Everton,2,0,0,0,,
