Campeonato,Rodada,Data,Home,Away,Gols_home,Gols_away,GOLS_1T_HOME,GOLS_1T_AWAY,GOLS_2T_HOME,GOLS_2T_AWAY
italia-serie-a-2023-2024,RODADA 15,2024-12-11,Cagliari,Sassuolo,2,1,0,1,,
italia-serie-a-2023-2024,RODADA 15,2024-12-11,Empoli,Lecce,1,1,0,0,,
italia-serie-a-2023-2024,RODADA 15,2024-12-10,AS Roma,Fiorentina,1,1,1,0,,
italia-serie-a-2023-2024,RODADA 15,2024-12-10,Salernitana,Bologna,1,2,0,2,,
italia-serie-a-2023-2024,RODADA 15,2024-12-10,Monza,Genoa,1,0,0,0,,
italia-serie-a-2023-2024,RODADA 15,2024-12-10,Frosinone,Torino,0,0,0,0,,
italia-serie-a-2023-2024,RODADA 15,2024-12-09,Inter,Udinese,4,0,3,0,,
italia-serie-a-2023-2024,RODADA 15,2024-12-09,Atalanta,AC Milan,3,2,1,1,,
italia-serie-a-2023-2024,RODADA 15,2024-12-09,Verona,Lazio,1,1,0,1,,
italia-serie-a-2023-2024,RODADA 15,2024-12-08,Juventus,Napoli,1,0,0,0,,
italia-serie-a-2023-2024,RODADA 14,2024-12-04,Torino,Atalanta,3,0,1,0,,
italia-serie-a-2023-2024,RODADA 14,2024-12-03,Napoli,Inter,0,3,0,1,,
italia-serie-a-2023-2024,RODADA 14,2024-12-03,Sassuolo,AS Roma,1,2,1,0,,
italia-serie-a-2023-2024,RODADA 14,2024-12-03,Fiorentina,Salernitana,3,0,2,0,,
italia-serie-a-2023-2024,RODADA 14,2024-12-03,Udinese,Verona,3,3,2,1,,
italia-serie-a-2023-2024,RODADA 14,2024-12-03,Lecce,Bologna,1,1,0,0,,
italia-serie-a-2023-2024,RODADA 14,2024-12-02,AC Milan,Frosinone,3,1,1,0,,
italia-serie-a-2023-2024,RODADA 14,2024-12-02,Lazio,Cagliari,1,0,1,0,,
italia-serie-a-2023-2024,RODADA 14,2024-12-02,Genoa,Empoli,1,1,1,0,,
italia-serie-a-2023-2024,RODADA 14,2024-12-01,Monza,Juventus,1,2,0,1,,
italia-serie-a-2023-2024,RODADA 13,2024-11-27,Bologna,Torino,2,0,0,0,,
italia-serie-a-2023-2024,RODADA 13,2024-11-27,Verona,Lecce,2,2,1,1,,
italia-serie-a-2023-2024,RODADA 13,2024-11-26,Juventus,Inter,1,1,1,1,,
italia-serie-a-2023-2024,RODADA 13,2024-11-26,AS Roma,Udinese,3,1,1,0,,
italia-serie-a-2023-2024,RODADA 13,2024-11-26,Empoli,Sassuolo,3,4,2,2,,
italia-serie-a-2023-2024,RODADA 13,2024-11-26,Frosinone,Genoa,2,1,1,1,,
italia-serie-a-2023-2024,RODADA 13,2024-11-26,Cagliari,Monza,1,1,1,0,,
italia-serie-a-2023-2024,RODADA 13,2024-11-25,AC Milan,Fiorentina,1,0,1,0,,
italia-serie-a-2023-2024,RODADA 13,2024-11-25,Atalanta,Napoli,1,2,0,1,,
italia-serie-a-2023-2024,RODADA 13,2024-11-25,Salernitana,Lazio,2,1,0,1,,
italia-serie-a-2023-2024,RODADA 12,2024-11-12,Inter,Frosinone,2,0,1,0,,
italia-serie-a-2023-2024,RODADA 12,2024-11-12,Lazio,AS Roma,0,0,0,0,,
italia-serie-a-2023-2024,RODADA 12,2024-11-12,Fiorentina,Bologna,2,1,1,1,,
italia-serie-a-2023-2024,RODADA 12,2024-11-12,Udinese,Atalanta,1,1,1,0,,
italia-serie-a-2023-2024,RODADA 12,2024-11-12,Napoli,Empoli,0,1,0,0,,
italia-serie-a-2023-2024,RODADA 12,2024-11-11,Monza,Torino,1,1,0,0,,
italia-serie-a-2023-2024,RODADA 12,2024-11-11,Juventus,Cagliari,2,1,0,0,,
italia-serie-a-2023-2024,RODADA 12,2024-11-11,Lecce,AC Milan,2,2,0,2,,
italia-serie-a-2023-2024,RODADA 12,2024-11-10,Genoa,Verona,1,0,1,0,,
italia-serie-a-2023-2024,RODADA 12,2024-11-10,Sassuolo,Salernitana,2,2,1,2,,
italia-serie-a-2023-2024,RODADA 11,2024-11-06,Torino,Sassuolo,2,1,1,1,,
italia-serie-a-2023-2024,RODADA 11,2024-11-06,Frosinone,Empoli,2,1,0,0,,
italia-serie-a-2023-2024,RODADA 11,2024-11-05,Fiorentina,Juventus,0,1,0,1,,
italia-serie-a-2023-2024,RODADA 11,2024-11-05,AS Roma,Lecce,2,1,0,0,,
italia-serie-a-2023-2024,RODADA 11,2024-11-05,Cagliari,Genoa,2,1,0,0,,
italia-serie-a-2023-2024,RODADA 11,2024-11-05,Verona,Monza,1,3,0,1,,
italia-serie-a-2023-2024,RODADA 11,2024-11-04,AC Milan,Udinese,0,1,0,0,,
italia-serie-a-2023-2024,RODADA 11,2024-11-04,Atalanta,Inter,1,2,0,1,,
italia-serie-a-2023-2024,RODADA 11,2024-11-04,Salernitana,Napoli,0,2,0,1,,
italia-serie-a-2023-2024,RODADA 11,2024-11-03,Bologna,Lazio,1,0,0,0,,
italia-serie-a-2023-2024,RODADA 10,2024-10-30,Lazio,Fiorentina,1,0,0,0,,
italia-serie-a-2023-2024,RODADA 10,2024-10-30,Empoli,Atalanta,0,3,0,2,,
italia-serie-a-2023-2024,RODADA 10,2024-10-29,Napoli,AC Milan,2,2,0,2,,
italia-serie-a-2023-2024,RODADA 10,2024-10-29,Inter,AS Roma,1,0,0,0,,
italia-serie-a-2023-2024,RODADA 10,2024-10-29,Monza,Udinese,1,1,1,0,,
italia-serie-a-2023-2024,RODADA 10,2024-10-29,Cagliari,Frosinone,4,3,0,2,,
italia-serie-a-2023-2024,RODADA 10,2024-10-28,Juventus,Verona,1,0,0,0,,
italia-serie-a-2023-2024,RODADA 10,2024-10-28,Lecce,Torino,0,1,0,1,,
italia-serie-a-2023-2024,RODADA 10,2024-10-28,Sassuolo,Bologna,1,1,1,1,,
italia-serie-a-2023-2024,RODADA 10,2024-10-27,Genoa,Salernitana,1,0,1,0,,
italia-serie-a-2023-2024,RODADA 9,2024-10-23,Fiorentina,Empoli,0,2,0,1,,
italia-serie-a-2023-2024,RODADA 9,2024-10-23,Udinese,Lecce,1,1,0,0,,
italia-serie-a-2023-2024,RODADA 9,2024-10-22,AC Milan,Juventus,0,1,0,0,,
italia-serie-a-2023-2024,RODADA 9,2024-10-22,Atalanta,Genoa,2,0,0,0,,
italia-serie-a-2023-2024,RODADA 9,2024-10-22,Bologna,Frosinone,2,1,2,0,,
italia-serie-a-2023-2024,RODADA 9,2024-10-22,Salernitana,Cagliari,2,2,0,0,,
italia-serie-a-2023-2024,RODADA 9,2024-10-22,AS Roma,Monza,1,0,0,0,,
italia-serie-a-2023-2024,RODADA 9,2024-10-21,Sassuolo,Lazio,0,2,0,2,,
italia-serie-a-2023-2024,RODADA 9,2024-10-21,Torino,Inter,0,3,0,0,,
italia-serie-a-2023-2024,RODADA 9,2024-10-21,Verona,Napoli,1,3,0,2,,
italia-serie-a-2023-2024,RODADA 8,2024-10-08,Napoli,Fiorentina,1,3,1,1,,
italia-serie-a-2023-2024,RODADA 8,2024-10-08,Cagliari,AS Roma,1,4,0,2,,
italia-serie-a-2023-2024,RODADA 8,2024-10-08,Frosinone,Verona,2,1,1,0,,
italia-serie-a-2023-2024,RODADA 8,2024-10-08,Lazio,Atalanta,3,2,2,1,,
italia-serie-a-2023-2024,RODADA 8,2024-10-08,Monza,Salernitana,3,0,2,0,,
italia-serie-a-2023-2024,RODADA 8,2024-10-07,Genoa,AC Milan,0,1,0,0,,
italia-serie-a-2023-2024,RODADA 8,2024-10-07,Juventus,Torino,2,0,0,0,,
italia-serie-a-2023-2024,RODADA 8,2024-10-07,Inter,Bologna,2,2,2,1,,
italia-serie-a-2023-2024,RODADA 8,2024-10-06,Lecce,Sassuolo,1,1,0,1,,
italia-serie-a-2023-2024,RODADA 8,2024-10-06,Empoli,Udinese,0,0,0,0,,
italia-serie-a-2023-2024,RODADA 7,2024-10-02,Fiorentina,Cagliari,3,0,2,0,,
italia-serie-a-2023-2024,RODADA 7,2024-10-02,Sassuolo,Monza,0,1,0,0,,
italia-serie-a-2023-2024,RODADA 7,2024-10-02,Torino,Verona,0,0,0,0,,
italia-serie-a-2023-2024,RODADA 7,2024-10-01,AS Roma,Frosinone,2,0,1,0,,
italia-serie-a-2023-2024,RODADA 7,2024-10-01,Atalanta,Juventus,0,0,0,0,,
italia-serie-a-2023-2024,RODADA 7,2024-10-01,Udinese,Genoa,2,2,1,2,,
italia-serie-a-2023-2024,RODADA 7,2024-10-01,Bologna,Empoli,3,0,1,0,,
italia-serie-a-2023-2024,RODADA 7,2024-09-30,Salernitana,Inter,0,4,0,0,,
italia-serie-a-2023-2024,RODADA 7,2024-09-30,AC Milan,Lazio,2,0,0,0,,
italia-serie-a-2023-2024,RODADA 7,2024-09-30,Lecce,Napoli,0,4,0,1,,
italia-serie-a-2023-2024,RODADA 6,2024-09-28,Genoa,AS Roma,4,1,2,1,,
italia-serie-a-2023-2024,RODADA 6,2024-09-28,Frosinone,Fiorentina,1,1,0,1,,
italia-serie-a-2023-2024,RODADA 6,2024-09-28,Monza,Bologna,0,0,0,0,,
italia-serie-a-2023-2024,RODADA 6,2024-09-27,Inter,Sassuolo,1,2,1,0,,
italia-serie-a-2023-2024,RODADA 6,2024-09-27,Lazio,Torino,2,0,0,0,,
italia-serie-a-2023-2024,RODADA 6,2024-09-27,Napoli,Udinese,4,1,2,0,,
italia-serie-a-2023-2024,RODADA 6,2024-09-27,Cagliari,AC Milan,1,3,1,2,,
italia-serie-a-2023-2024,RODADA 6,2024-09-27,Empoli,Salernitana,1,0,1,0,,
italia-serie-a-2023-2024,RODADA 6,2024-09-27,Verona,Atalanta,0,1,0,1,,
italia-serie-a-2023-2024,RODADA 6,2024-09-26,Juventus,Lecce,1,0,0,0,,
italia-serie-a-2023-2024,RODADA 5,2024-09-24,Torino,AS Roma,1,1,0,0,,
italia-serie-a-2023-2024,RODADA 5,2024-09-24,Bologna,Napoli,0,0,0,0,,
italia-serie-a-2023-2024,RODADA 5,2024-09-24,Atalanta,Cagliari,2,0,1,0,,
italia-serie-a-2023-2024,RODADA 5,2024-09-24,Udinese,Fiorentina,0,2,0,1,,
italia-serie-a-2023-2024,RODADA 5,2024-09-24,Empoli,Inter,0,1,0,0,,
italia-serie-a-2023-2024,RODADA 5,2024-09-23,Lazio,Monza,1,1,1,1,,
italia-serie-a-2023-2024,RODADA 5,2024-09-23,Sassuolo,Juventus,4,2,2,1,,
italia-serie-a-2023-2024,RODADA 5,2024-09-23,AC Milan,Verona,1,0,1,0,,
italia-serie-a-2023-2024,RODADA 5,2024-09-22,Lecce,Genoa,1,0,0,0,,
italia-serie-a-2023-2024,RODADA 5,2024-09-22,Salernitana,Frosinone,1,1,0,1,,
