Campeonato,Rodada,Data,Home,Away,Gols_home,Gols_away,Gols_1T_home,Gols_1T_away,Gols_2T_home,Gols_2T_away
italia-serie-a-2022-2023,FINAL,2023-06-11,Spezia,Verona,1,3,1,3,,
italia-serie-a-2022-2023,RODADA 38,2023-06-04,AC Milan,Verona,3,1,1,0,,
italia-serie-a-2022-2023,RODADA 38,2023-06-04,AS Roma,Spezia,2,1,1,1,,
italia-serie-a-2022-2023,RODADA 38,2023-06-04,Atalanta,Monza,5,2,2,0,,
italia-serie-a-2022-2023,RODADA 38,2023-06-04,Lecce,Bologna,2,3,1,0,,
italia-serie-a-2022-2023,RODADA 38,2023-06-04,Udinese,Juventus,0,1,0,0,,
italia-serie-a-2022-2023,RODADA 38,2023-06-04,Napoli,Sampdoria,2,0,0,0,,
italia-serie-a-2022-2023,RODADA 38,2023-06-03,Cremonese,Salernitana,2,0,1,0,,
italia-serie-a-2022-2023,RODADA 38,2023-06-03,Empoli,Lazio,0,2,0,0,,
italia-serie-a-2022-2023,RODADA 38,2023-06-03,Torino,Inter,0,1,0,1,,
italia-serie-a-2022-2023,RODADA 38,2023-06-02,Sassuolo,Fiorentina,1,3,0,0,,
italia-serie-a-2022-2023,RODADA 37,2023-05-28,Juventus,AC Milan,0,1,0,1,,
italia-serie-a-2022-2023,RODADA 37,2023-05-28,Lazio,Cremonese,3,2,2,0,,
italia-serie-a-2022-2023,RODADA 37,2023-05-28,Bologna,Napoli,2,2,0,1,,
italia-serie-a-2022-2023,RODADA 37,2023-05-28,Monza,Lecce,0,1,0,0,,
italia-serie-a-2022-2023,RODADA 37,2023-05-28,Verona,Empoli,1,1,0,0,,
italia-serie-a-2022-2023,RODADA 37,2023-05-27,Inter,Atalanta,3,2,2,1,,
italia-serie-a-2022-2023,RODADA 37,2023-05-27,Fiorentina,AS Roma,2,1,0,1,,
italia-serie-a-2022-2023,RODADA 37,2023-05-27,Salernitana,Udinese,3,2,1,2,,
italia-serie-a-2022-2023,RODADA 37,2023-05-27,Spezia,Torino,0,4,0,1,,
italia-serie-a-2022-2023,RODADA 37,2023-05-26,Sampdoria,Sassuolo,2,2,1,2,,
italia-serie-a-2022-2023,RODADA 36,2023-05-22,Empoli,Juventus,4,1,2,0,,
italia-serie-a-2022-2023,RODADA 36,2023-05-22,AS Roma,Salernitana,2,2,0,1,,
italia-serie-a-2022-2023,RODADA 36,2023-05-21,Udinese,Lazio,0,1,0,0,,
