Campeonato,Rodada,Data,Home,Away,Gols_home,Gols_away,GOLS_1T_HOME,GOLS_1T_AWAY,GOLS_2T_HOME,GOLS_2T_AWAY
mundo-amistoso-internacional-2023,RODADA 1,2023-10-19,Somália,Líbia,0,0,0,0,,
mundo-amistoso-internacional-2023,RODADA 1,2023-10-17,EUA U23,Japão U23,4,1,2,1,,
mundo-amistoso-internacional-2023,RODADA 1,2023-10-17,EUA,Gana,4,0,4,0,,
mundo-amistoso-internacional-2023,RODADA 1,2023-10-17,México,Alemanha,2,2,1,1,,
mundo-amistoso-internacional-2023,RODADA 1,2023-10-17,Costa Rica U23,Colombia U23,3,2,1,2,,
mundo-amistoso-internacional-2023,RODADA 1,2023-10-17,Costa do Marfim,África do Sul,1,1,0,1,,
mundo-amistoso-internacional-2023,RODADA 1,2023-10-17,França,Escócia,4,1,3,1,,
mundo-amistoso-internacional-2023,RODADA 1,2023-10-17,Austrália,Nova Zelândia,2,0,1,0,,
mundo-amistoso-internacional-2023,RODADA 1,2023-10-17,Mauritânia,Burkina Faso,1,2,0,1,,
mundo-amistoso-internacional-2023,RODADA 1,2023-10-17,Catar,Irã,0,4,0,0,,
mundo-amistoso-internacional-2023,RODADA 1,2023-10-17,Guiné,Gabão,1,1,1,0,,
mundo-amistoso-internacional-2023,RODADA 1,2023-10-17,Albânia,Bulgária,2,0,1,0,,
mundo-amistoso-internacional-2023,RODADA 1,2023-10-17,Bahrein,Filipinas,1,0,1,0,,
mundo-amistoso-internacional-2023,RODADA 1,2023-10-17,Emirados Árabes Unidos,Líbano,2,1,1,1,,
mundo-amistoso-internacional-2023,RODADA 1,2023-10-17,Estônia,Tailândia,1,1,0,0,,
mundo-amistoso-internacional-2023,RODADA 1,2023-10-17,Síria,Kuwait,1,2,1,2,,
mundo-amistoso-internacional-2023,RODADA 1,2023-10-17,Sudão,Chade,1,0,1,0,,
mundo-amistoso-internacional-2023,RODADA 1,2023-10-17,Inglaterra U18,Coreia do Sul U18,2,1,1,1,1,1
mundo-amistoso-internacional-2023,RODADA 1,2023-10-17,Líbia,Níger,1,1,0,0,,
mundo-amistoso-internacional-2023,RODADA 1,2023-10-17,Somália,Serra Leoa,0,2,0,1,,
mundo-amistoso-internacional-2023,RODADA 1,2023-10-17,Arábia Saudita,Mali,1,3,0,2,,
mundo-amistoso-internacional-2023,RODADA 1,2023-10-17,Madagascar,Benin,2,1,1,1,,
mundo-amistoso-internacional-2023,RODADA 1,2023-10-17,Zâmbia,Uganda,3,0,1,0,,
mundo-amistoso-internacional-2023,RODADA 1,2023-10-17,Angola,R. D. Congo,0,0,0,0,,
mundo-amistoso-internacional-2023,RODADA 1,2023-10-17,Jordânia,Iraque,2,3,1,0,2,2
mundo-amistoso-internacional-2023,RODADA 1,2023-10-17,Países Baixos U18,Noruega U18,2,1,1,1,,
mundo-amistoso-internacional-2023,RODADA 1,2023-10-17,Emirados Árabes Unidos U20,Iraque U20,1,3,,,,
mundo-amistoso-internacional-2023,RODADA 1,2023-10-17,Cabo Verde,Comores,1,2,1,0,,
mundo-amistoso-internacional-2023,RODADA 1,2023-10-17,Eslováquia U21,Banska Bystrica,3,0,1,0,,
mundo-amistoso-internacional-2023,RODADA 1,2023-10-17,Estônia U19,Grécia U19,0,3,0,2,,
mundo-amistoso-internacional-2023,RODADA 1,2023-10-17,Macedônia do Norte,Armênia,3,1,1,0,,
mundo-amistoso-internacional-2023,RODADA 1,2023-10-17,Polónia U18,República Tcheca U18,5,0,3,0,,
mundo-amistoso-internacional-2023,RODADA 1,2023-10-17,Austrália U19,Dinamarca U19,2,2,1,1,,
mundo-amistoso-internacional-2023,RODADA 1,2023-10-17,Coreia do Sul,Vietnã,6,0,2,0,,
mundo-amistoso-internacional-2023,RODADA 1,2023-10-17,Turquia U19,Albânia U19,1,0,1,0,,
mundo-amistoso-internacional-2023,RODADA 1,2023-10-17,Japão,Tunísia,2,0,1,0,,
mundo-amistoso-internacional-2023,RODADA 1,2023-10-17,Países Baixos U19,Bélgica U19,5,1,3,0,,
mundo-amistoso-internacional-2023,RODADA 1,2023-10-17,Croácia U19,Bulgária U19,3,4,1,2,,
mundo-amistoso-internacional-2023,RODADA 1,2023-10-17,Croácia U18,Dinamarca U18,1,0,0,0,,
mundo-amistoso-internacional-2023,RODADA 1,2023-10-17,França U19,Suíça U19,3,3,2,2,,
mundo-amistoso-internacional-2023,RODADA 1,2023-10-17,Marrocos U17,Malaga U20,2,1,,,,
mundo-amistoso-internacional-2023,RODADA 1,2023-10-17,Montenegro U17,Romênia U17,0,3,0,1,,
mundo-amistoso-internacional-2023,RODADA 1,2023-10-17,Lituânia U19,Armênia U19,1,1,0,0,,
mundo-amistoso-internacional-2023,RODADA 1,2023-10-16,Marrocos U23,República Dominicana U23,3,1,0,1,,
mundo-amistoso-internacional-2023,RODADA 1,2023-10-16,Senegal,Camarões,1,0,1,0,,
mundo-amistoso-internacional-2023,RODADA 1,2023-10-16,Egito,Argélia,1,1,0,0,,
mundo-amistoso-internacional-2023,RODADA 1,2023-10-16,Espanha U18,Portugal U18,0,1,0,1,,
mundo-amistoso-internacional-2023,RODADA 1,2023-10-16,Rússia,Quênia,2,2,1,2,,
mundo-amistoso-internacional-2023,RODADA 1,2023-10-16,Nigéria,Moçambique,3,2,3,1,,
mundo-amistoso-internacional-2023,RODADA 1,2023-10-16,Botsuana,eSwatini,2,1,1,0,,
mundo-amistoso-internacional-2023,RODADA 1,2023-10-16,São Paulo U20,Rússia U21,1,1,1,1,,
mundo-amistoso-internacional-2023,RODADA 1,2023-10-16,Túnisia U20,DR Congo U20,2,1,2,0,,
mundo-amistoso-internacional-2023,RODADA 1,2023-10-16,Uzbequistão U23,Egipto U23,1,2,1,0,,
mundo-amistoso-internacional-2023,RODADA 1,2023-10-16,Suiça U18,França U18,0,1,0,0,,
mundo-amistoso-internacional-2023,RODADA 1,2023-10-16,China,Uzbequistão,1,2,1,0,,
mundo-amistoso-internacional-2023,RODADA 1,2023-10-16,Roménia U18,Turquia U18,1,2,0,1,,
mundo-amistoso-internacional-2023,RODADA 1,2023-10-16,Albânia U17,Kosovo U17,3,1,3,0,,
mundo-amistoso-internacional-2023,RODADA 1,2023-10-16,Polónia U16,Alemanha U16,1,5,0,3,,
mundo-amistoso-internacional-2023,RODADA 1,2023-10-15,Kuwait U23,Qatar U23,0,1,0,0,,
mundo-amistoso-internacional-2023,RODADA 1,2023-10-15,Sudão,Tanzânia,1,1,1,1,,
mundo-amistoso-internacional-2023,RODADA 1,2023-10-15,Montenegro U17,Romênia U17,2,2,1,2,,
mundo-amistoso-internacional-2023,RODADA 1,2023-10-15,Lituânia U19,Armênia U19,2,0,0,0,,
mundo-amistoso-internacional-2023,RODADA 1,2023-10-15,República Tcheca U18,Suécia U18,4,3,2,1,,
mundo-amistoso-internacional-2023,RODADA 1,2023-10-15,Estônia U17,Republica Tcheca U17,0,3,0,2,,
mundo-amistoso-internacional-2023,RODADA 1,2023-10-15,Escócia U19,Portugal U19,1,2,0,1,,
mundo-amistoso-internacional-2023,RODADA 1,2023-10-15,Coreia do Sul U18,Vietnam U18,2,0,0,0,,
mundo-amistoso-internacional-2023,RODADA 1,2023-10-15,Quirguistão,Filipinas,0,1,0,0,,
mundo-amistoso-internacional-2023,RODADA 1,2023-10-15,Marrocos U20,Ucrânia U18,3,4,2,2,,
mundo-amistoso-internacional-2023,RODADA 1,2023-10-14,Costa Rica U23,Colombia U23,2,2,0,1,,
mundo-amistoso-internacional-2023,RODADA 1,2023-10-14,México,Gana,2,0,0,0,,
mundo-amistoso-internacional-2023,RODADA 1,2023-10-14,México U23,Japão U23,1,4,0,2,,
mundo-amistoso-internacional-2023,RODADA 1,2023-10-14,Portugal U18,Turquia U18,4,1,2,1,,
mundo-amistoso-internacional-2023,RODADA 1,2023-10-14,EUA,Alemanha,1,3,1,1,,
mundo-amistoso-internacional-2023,RODADA 1,2023-10-14,Libéria,Líbia,2,3,1,1,,
mundo-amistoso-internacional-2023,RODADA 1,2023-10-14,Mauritânia,Madagascar,2,1,1,0,,
mundo-amistoso-internacional-2023,RODADA 1,2023-10-14,Costa do Marfim,Marrocos,1,1,1,0,,
mundo-amistoso-internacional-2023,RODADA 1,2023-10-14,Países Baixos U19,Austrália U19,1,1,1,0,,
mundo-amistoso-internacional-2023,RODADA 1,2023-10-14,Espanha U18,Roménia U18,2,1,1,0,,
mundo-amistoso-internacional-2023,RODADA 1,2023-10-14,Benin,Serra Leoa,1,1,0,1,,
mundo-amistoso-internacional-2023,RODADA 1,2023-10-14,Níger,Somália,3,0,2,0,,
mundo-amistoso-internacional-2023,RODADA 1,2023-10-14,Dinamarca U19,Suíça U19,3,1,2,1,,
mundo-amistoso-internacional-2023,RODADA 1,2023-10-14,Sérvia U19,Itália U19,1,3,0,2,,
mundo-amistoso-internacional-2023,RODADA 1,2023-10-14,Bulgária U19,Estônia U19,1,0,0,0,,
mundo-amistoso-internacional-2023,RODADA 1,2023-10-14,Croácia U18,Noruega U18,1,1,0,0,,
mundo-amistoso-internacional-2023,RODADA 1,2023-10-14,Emirados Árabes Unidos U20,Iraque U20,3,1,,,,
mundo-amistoso-internacional-2023,RODADA 1,2023-10-14,Santos U20,Rússia U21,4,6,2,2,,
mundo-amistoso-internacional-2023,RODADA 1,2023-10-14,Eslováquia U19,Suécia U19,4,1,2,0,,
mundo-amistoso-internacional-2023,RODADA 1,2023-10-14,Inglaterra U18,Marrocos U18,1,0,,,,
mundo-amistoso-internacional-2023,RODADA 1,2023-10-14,Albânia U17,Kosovo U17,2,1,0,1,,
mundo-amistoso-internacional-2023,RODADA 1,2023-10-14,França U19,Bélgica U19,2,0,0,0,,
mundo-amistoso-internacional-2023,RODADA 1,2023-10-14,Turquia U19,Albânia U19,1,1,0,1,,
mundo-amistoso-internacional-2023,RODADA 1,2023-10-14,Croácia U19,Grécia U19,1,1,0,1,,
mundo-amistoso-internacional-2023,RODADA 1,2023-10-14,Irlanda U19,Ilhas Faroé U19,3,0,2,0,,
mundo-amistoso-internacional-2023,RODADA 1,2023-10-14,Países Baixos U18,Dinamarca U18,1,3,0,1,,
mundo-amistoso-internacional-2023,RODADA 1,2023-10-14,Coreia do Sul U18,Bélgica U18,3,3,2,1,,
mundo-amistoso-internacional-2023,RODADA 1,2023-10-14,Ilhas Salomão,Nova Caledônia,1,0,0,0,,
