Campeonato,Rodada,Data,Home,Away,Gols_home,Gols_away,GOLS_1T_HOME,GOLS_1T_AWAY,GOLS_2T_HOME,GOLS_2T_AWAY
mundo-copa-do-mundo-2026,RODADA 6,2026-11-21,Peru,Venezuela,1,1,1,0,,
mundo-copa-do-mundo-2026,RODADA 6,2026-11-21,Brasil,Argentina,0,1,0,0,,
mundo-copa-do-mundo-2026,RODADA 6,2026-11-21,Equador,Chile,1,0,1,0,,
mundo-copa-do-mundo-2026,RODADA 6,2026-11-21,Uruguai,Bolívia,3,0,2,0,,
mundo-copa-do-mundo-2026,RODADA 6,2026-11-21,Paraguai,Colômbia,0,1,0,1,,
mundo-copa-do-mundo-2026,RODADA 2,2026-11-21,Níger,Zâmbia,2,1,2,0,,
mundo-copa-do-mundo-2026,RODADA 2,2026-11-21,Tanzânia,Marrocos,0,2,0,1,,
mundo-copa-do-mundo-2026,RODADA 2,2026-11-21,Afeganistão,Kuwait,0,4,0,1,,
mundo-copa-do-mundo-2026,RODADA 2,2026-11-21,Comores,Gana,1,0,1,0,,
mundo-copa-do-mundo-2026,RODADA 2,2026-11-21,Ilhas Maurício,Angola,0,0,0,0,,
mundo-copa-do-mundo-2026,RODADA 2,2026-11-21,Líbia,Camarões,1,1,1,1,,
mundo-copa-do-mundo-2026,RODADA 2,2026-11-21,São Tomé e Príncipe,Namíbia,0,2,0,1,,
mundo-copa-do-mundo-2026,RODADA 2,2026-11-21,Sudão do Sul,Mauritânia,0,0,0,0,,
mundo-copa-do-mundo-2026,RODADA 2,2026-11-21,Togo,Senegal,0,0,0,0,,
mundo-copa-do-mundo-2026,RODADA 2,2026-11-21,Jordânia,Arábia Saudita,0,2,0,2,,
mundo-copa-do-mundo-2026,RODADA 2,2026-11-21,Bahrein,Emirados Árabes Unidos,0,2,0,1,,
mundo-copa-do-mundo-2026,RODADA 2,2026-11-21,Síria,Japão,0,5,0,3,,
mundo-copa-do-mundo-2026,RODADA 2,2026-11-21,Palestina,Austrália,0,1,0,1,,
mundo-copa-do-mundo-2026,RODADA 2,2026-11-21,Quirguistão,Omã,1,0,0,0,,
