Campeonato,Rodada,Data,Home,Away,Gols_home,Gols_away,Gols_1T_home,Gols_1T_away,Gols_2T_home,Gols_2T_away
mundo-copa-do-mundo-2022,FINAL,2022-12-18,Argentina,França,4,3,2,0,2,2
mundo-copa-do-mundo-2022,3º LUGAR,2022-12-17,Croácia,Marrocos,2,1,2,1,,
mundo-copa-do-mundo-2022,SEMIFINAIS,2022-12-14,França,Marrocos,2,0,1,0,,
mundo-copa-do-mundo-2022,SEMIFINAIS,2022-12-13,Argentina,Croácia,3,0,2,0,,
mundo-copa-do-mundo-2022,QUARTAS DE FINAL,2022-12-10,Inglaterra,França,1,2,0,1,,
mundo-copa-do-mundo-2022,QUARTAS DE FINAL,2022-12-10,Marrocos,Portugal,1,0,1,0,,
mundo-copa-do-mundo-2022,QUARTAS DE FINAL,2022-12-09,Países Baixos,Argentina,2,3,0,1,2,2
mundo-copa-do-mundo-2022,QUARTAS DE FINAL,2022-12-09,Croácia,Brasil,2,1,0,0,0,0
mundo-copa-do-mundo-2022,OITAVAS DE FINAL,2022-12-06,Portugal,Suíça,6,1,2,0,,
mundo-copa-do-mundo-2022,OITAVAS DE FINAL,2022-12-06,Marrocos,Espanha,1,0,0,0,0,0
mundo-copa-do-mundo-2022,OITAVAS DE FINAL,2022-12-05,Brasil,Coreia do Sul,4,1,4,0,,
mundo-copa-do-mundo-2022,OITAVAS DE FINAL,2022-12-05,Japão,Croácia,1,2,1,0,1,1
mundo-copa-do-mundo-2022,OITAVAS DE FINAL,2022-12-04,Inglaterra,Senegal,3,0,2,0,,
mundo-copa-do-mundo-2022,OITAVAS DE FINAL,2022-12-04,França,Polônia,3,1,1,0,,
mundo-copa-do-mundo-2022,OITAVAS DE FINAL,2022-12-03,Argentina,Austrália,2,1,1,0,,
mundo-copa-do-mundo-2022,OITAVAS DE FINAL,2022-12-03,Países Baixos,EUA,3,1,2,0,,
mundo-copa-do-mundo-2022,RODADA 3,2022-12-02,Camarões,Brasil,1,0,0,0,,
mundo-copa-do-mundo-2022,RODADA 3,2022-12-02,Sérvia,Suíça,2,3,2,2,,
mundo-copa-do-mundo-2022,RODADA 3,2022-12-02,Coreia do Sul,Portugal,2,1,1,1,,
mundo-copa-do-mundo-2022,RODADA 3,2022-12-02,Gana,Uruguai,0,2,0,2,,
mundo-copa-do-mundo-2022,RODADA 3,2022-12-01,Costa Rica,Alemanha,2,4,0,1,,
mundo-copa-do-mundo-2022,RODADA 3,2022-12-01,Japão,Espanha,2,1,0,1,,
mundo-copa-do-mundo-2022,RODADA 3,2022-12-01,Canadá,Marrocos,1,2,1,2,,
mundo-copa-do-mundo-2022,RODADA 3,2022-12-01,Croácia,Bélgica,0,0,0,0,,
mundo-copa-do-mundo-2022,RODADA 3,2022-11-30,Arábia Saudita,México,1,2,0,0,,
mundo-copa-do-mundo-2022,RODADA 3,2022-11-30,Polônia,Argentina,0,2,0,0,,
mundo-copa-do-mundo-2022,RODADA 3,2022-11-30,Austrália,Dinamarca,1,0,0,0,,
mundo-copa-do-mundo-2022,RODADA 3,2022-11-30,Tunísia,França,1,0,0,0,,
mundo-copa-do-mundo-2022,RODADA 3,2022-11-29,Irã,EUA,0,1,0,1,,
mundo-copa-do-mundo-2022,RODADA 3,2022-11-29,País de Gales,Inglaterra,0,3,0,0,,
mundo-copa-do-mundo-2022,RODADA 3,2022-11-29,Equador,Senegal,1,2,0,1,,
mundo-copa-do-mundo-2022,RODADA 3,2022-11-29,Países Baixos,Catar,2,0,1,0,,
mundo-copa-do-mundo-2022,RODADA 2,2022-11-28,Portugal,Uruguai,2,0,0,0,,
mundo-copa-do-mundo-2022,RODADA 2,2022-11-28,Brasil,Suíça,1,0,0,0,,
mundo-copa-do-mundo-2022,RODADA 2,2022-11-28,Coreia do Sul,Gana,2,3,0,2,,
mundo-copa-do-mundo-2022,RODADA 2,2022-11-28,Camarões,Sérvia,3,3,1,2,,
mundo-copa-do-mundo-2022,RODADA 2,2022-11-27,Espanha,Alemanha,1,1,0,0,,
mundo-copa-do-mundo-2022,RODADA 2,2022-11-27,Croácia,Canadá,4,1,2,1,,
mundo-copa-do-mundo-2022,RODADA 2,2022-11-27,Bélgica,Marrocos,0,2,0,0,,
